民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,13066416.0,100.0,13711750.0,100.0,
營業收入合計,13066416.0,100.0,13711750.0,100.0,
銷貨成本,11712905.0,89.64,12639505.0,92.18,
營業成本合計,11712905.0,89.64,12639505.0,92.18,
營業毛利（毛損）,1353511.0,10.36,1072245.0,7.82,
營業毛利（毛損）淨額,1353511.0,10.36,1072245.0,7.82,
營業費用,,,,,
推銷費用,497967.0,3.81,430758.0,3.14,
管理費用,305574.0,2.34,267842.0,1.95,
研究發展費用,129245.0,0.99,85940.0,0.63,
營業費用合計,932786.0,7.14,784540.0,5.72,
營業利益（損失）,420725.0,3.22,287705.0,2.1,
營業外收入及支出,,,,,
其他收入,89154.0,0.68,66072.0,0.48,
其他利益及損失淨額,10292.0,0.08,-43184.0,-0.31,
財務成本淨額,59621.0,0.46,57294.0,0.42,
採用權益法認列之關聯企業及合資損益之份額淨額,999.0,0.01,0.0,0.0,
營業外收入及支出合計,40824.0,0.31,-34406.0,-0.25,
稅前淨利（淨損）,461549.0,3.53,253299.0,1.85,
所得稅費用（利益）合計,63523.0,0.49,64013.0,0.47,
繼續營業單位本期淨利（淨損）,398026.0,3.05,189286.0,1.38,
停業單位損益,,,,,
停業單位損益合計,-6614.0,-0.05,-7838.0,-0.06,
本期淨利（淨損）,391412.0,3.0,181448.0,1.32,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-181639.0,-1.39,175973.0,1.28,
備供出售金融資產未實現評價損益,-3755.0,-0.03,-22150.0,-0.16,
與可能重分類之項目相關之所得稅,-18131.0,-0.14,16382.0,0.12,
其他綜合損益（淨額）,-167263.0,-1.28,137441.0,1.0,
本期綜合損益總額,224149.0,1.72,318889.0,2.33,
母公司業主（淨利／損）,187745.0,1.44,140727.0,1.03,
非控制權益（淨利／損）,203667.0,1.56,40721.0,0.3,
母公司業主（綜合損益）,46289.0,0.35,202660.0,1.48,
非控制權益（綜合損益）,177860.0,1.36,116229.0,0.85,
基本每股盈餘,,,,,
基本每股盈餘,0.18,,0.14,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.18,,0.14,,
