會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,3434011.0,9053585.0,14159440.0,15196977.0
本期稅前淨利（淨損）,3434011.0,9053585.0,14159440.0,15196977.0
折舊費用,1133218.0,2277325.0,3381148.0,4478360.0
攤銷費用,73934.0,146983.0,219652.0,290975.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-230156.0,-72275.0,-122663.0,-140185.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-128798.0,-300252.0,-1235481.0,-1242903.0
利息費用,225041.0,475470.0,841918.0,1295075.0
利息收入,-176944.0,-355612.0,-613563.0,-946116.0
股利收入,-9192.0,-679691.0,-885611.0,-1071915.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-720887.0,-2679586.0,-4446297.0,-4311008.0
處分及報廢不動產、廠房及設備損失（利益）,5178.0,8146.0,5533.0,6968.0
處分投資損失（利益）,-176741.0,0.0,0.0,0.0
非金融資產減損迴轉利益,0.0,-177372.0,-177372.0,0.0
未實現外幣兌換損失（利益）,-222189.0,0.0,0.0,-177373.0
投資性不動產公允價值調整損失(利益),-52650.0,-383487.0,-794276.0,0.0
其他項目,0.0,137923.0,102474.0,663141.0
收益費損項目合計,-280186.0,0.0,3062.0,0.0
強制透過損益按公允價值衡量之金融資產（增加）減少,-519496.0,-1602428.0,-3721476.0,-1015399.0
合約資產（增加）減少,-594.0,-961985.0,-978738.0,-327080.0
應收票據（增加）減少,542286.0,-52099.0,34514.0,3062.0
應收帳款（增加）減少,1697574.0,2955765.0,3286197.0,-2494398.0
其他應收款（增加）減少,52301.0,1769077.0,1862108.0,-996300.0
存貨（增加）減少,271441.0,53353.0,-18096.0,52709.0
預付款項（增加）減少,-506208.0,-21147.0,-263477.0,3132592.0
其他流動資產（增加）減少,-54918.0,90456.0,-609402.0,1228284.0
與營業活動相關之資產之淨變動合計,1482386.0,-174951.0,40554.0,54359.0
合約負債增加（減少）,54662.0,3658469.0,3353660.0,5354.0
應付帳款增加（減少）,-2470102.0,16079.0,0.0,277388.0
負債準備增加（減少）,-27940.0,-2420180.0,328053.0,-59869.0
淨確定福利負債增加(減少),-7784.0,14334.0,-2107436.0,3694517.0
遞延貸項增加（減少）,-18978.0,-10688.0,-68764.0,0.0
與營業活動相關之負債之淨變動合計,-2470142.0,-37956.0,-13572.0,-226181.0
與營業活動相關之資產及負債之淨變動合計,-987756.0,-2438411.0,-56933.0,-1117609.0
調整項目合計,-1267942.0,1220058.0,-1918652.0,-44183.0
營運產生之現金流入（流出）,2166069.0,-382370.0,1435008.0,-15466.0
收取之利息,98224.0,8671215.0,-2286468.0,-75912.0
收取之股利,163555.0,198071.0,11872972.0,-1479351.0
支付之利息,-144452.0,194678.0,386319.0,2215166.0
退還（支付）之所得稅,-1579465.0,-459371.0,4219638.0,-279232.0
營業活動之淨現金流入（流出）,703931.0,-2927591.0,-857299.0,14917745.0
投資活動之現金流量,,5677002.0,-3430405.0,621039.0
處分透過其他綜合損益按公允價值衡量之金融資產,28297.0,,12191225.0,4783260.0
處分按攤銷後成本衡量之金融資產,5709550.0,0.0,,-1294044.0
取得採用權益法之投資,-110520.0,39203.0,-7392.0,-3719369.0
預付投資款增加,-1383.0,0.0,39203.0,15308631.0
取得不動產、廠房及設備,-757793.0,8991101.0,26282.0,
處分不動產、廠房及設備,1195.0,-110520.0,4148690.0,-411565.0
存出保證金增加,-42010.0,-2991.0,-110520.0,39172.0
存出保證金減少,0.0,-1371053.0,0.0,26282.0
取得無形資產,-305.0,7702.0,-408456.0,4363549.0
取得使用權資產,0.0,-58808.0,-420.0,-189913.0
取得投資性不動產,-203.0,-1169.0,-2005815.0,0.0
其他投資活動,0.0,-499.0,12577.0,-5760.0
投資活動之淨現金流入（流出）,4826828.0,-609.0,-59390.0,-420.0
籌資活動之現金流量,,0.0,-1169.0,-2666315.0
短期借款增加,0.0,7492357.0,-499.0,11237.0
短期借款減少,-38505.0,,-782.0,-103004.0
應付短期票券減少,-946400.0,2586411.0,0.0,-7261.0
舉借長期借款,1827651.0,-3460526.0,1632309.0,-500.0
償還長期借款,-2601550.0,7378045.0,,-782.0
存入保證金減少,-20.0,-5347569.0,6799785.0,0.0
租賃本金償還,-60435.0,837.0,0.0,1054720.0
其他非流動負債增加,2581.0,0.0,0.0,
其他非流動負債減少,0.0,-126295.0,-2288396.0,4564715.0
取得子公司股權,-83.0,1948.0,0.0,-796900.0
籌資活動之淨現金流入（流出）,-1816761.0,-186.0,0.0,0.0
匯率變動對現金及約當現金之影響,1288799.0,0.0,14282585.0,0.0
本期現金及約當現金增加（減少）數,5002797.0,1032665.0,-11275258.0,21563103.0
期初現金及約當現金餘額,33450618.0,1269593.0,2291.0,-19496086.0
期末現金及約當現金餘額,38453415.0,15471617.0,0.0,1995.0
資產負債表帳列之現金及約當現金,38453415.0,33450618.0,-194549.0,-260466.0
