民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,4750989.0,100.0,5526932.0,100.0,
營業成本合計,4306393.0,90.64,5074869.0,91.82,
營業毛利（毛損）,444596.0,9.36,452063.0,8.18,
營業毛利（毛損）淨額,444596.0,9.36,452063.0,8.18,
營業費用,,,,,
推銷費用,102143.0,2.15,95774.0,1.73,
管理費用,48601.0,1.02,44422.0,0.8,
研究發展費用,903.0,0.02,946.0,0.02,
營業費用合計,151647.0,3.19,141142.0,2.55,
營業利益（損失）,292949.0,6.17,310921.0,5.63,
營業外收入及支出,,,,,
其他收入,8760.0,0.18,5034.0,0.09,
其他利益及損失淨額,-7324.0,-0.15,35774.0,0.65,
財務成本淨額,641.0,0.01,810.0,0.01,
營業外收入及支出合計,795.0,0.02,39998.0,0.72,
稅前淨利（淨損）,293744.0,6.18,350919.0,6.35,
所得稅費用（利益）合計,49784.0,1.05,60263.0,1.09,
繼續營業單位本期淨利（淨損）,243960.0,5.13,290656.0,5.26,
本期淨利（淨損）,243960.0,5.13,290656.0,5.26,
後續可能重分類至損益之項目：,,,,,
備供出售金融資產未實現評價損益,222.0,0.0,-1091.0,-0.02,
其他綜合損益（淨額）,222.0,0.0,-1091.0,-0.02,
本期綜合損益總額,244182.0,5.14,289565.0,5.24,
母公司業主（淨利／損）,241953.0,5.09,289066.0,5.23,
非控制權益（淨利／損）,2007.0,0.04,1590.0,0.03,
母公司業主（綜合損益）,242175.0,5.1,287975.0,5.21,
非控制權益（綜合損益）,2007.0,0.04,1590.0,0.03,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.51,,1.81,,
基本每股盈餘,1.51,,1.81,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.51,,1.81,,
稀釋每股盈餘,1.51,,1.81,,
