會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,1762311.0,100.0,1649308.0,100.0,1358219.0,100.0,6006806.0,100.0
營業成本合計,1476921.0,83.81,1431381.0,86.79,1326137.0,97.64,5486038.0,91.33
營業毛利（毛損）,285390.0,16.19,217927.0,13.21,32082.0,2.36,520768.0,8.67
營業毛利（毛損）淨額,285390.0,16.19,217927.0,13.21,32082.0,2.36,520768.0,8.67
營業費用,,,,,,,,
推銷費用,16876.0,0.96,16862.0,1.02,14144.0,1.04,62240.0,1.04
管理費用,67829.0,3.85,73600.0,4.46,57180.0,4.21,255073.0,4.25
研究發展費用,44425.0,2.52,46913.0,2.84,39519.0,2.91,165769.0,2.76
預期信用減損損失（利益）,-334.0,-0.02,233.0,0.01,-471.0,-0.03,-494.0,-0.01
營業費用合計,128796.0,7.31,137608.0,8.34,110372.0,8.13,482588.0,8.03
營業利益（損失）,156594.0,8.89,80319.0,4.87,-78290.0,-5.76,38180.0,0.64
營業外收入及支出,,,,,,,,
利息收入,999.0,0.06,1749.0,0.11,2513.0,0.19,10281.0,0.17
其他收入,14091.0,0.8,12222.0,0.74,15137.0,1.11,99255.0,1.65
其他利益及損失淨額,12005.0,0.68,13477.0,0.82,26400.0,1.94,32364.0,0.54
財務成本淨額,3991.0,0.23,4702.0,0.29,6058.0,0.45,22755.0,0.38
營業外收入及支出合計,23104.0,1.31,22746.0,1.38,37992.0,2.8,119145.0,1.98
稅前淨利（淨損）,179698.0,10.2,103065.0,6.25,-40298.0,-2.97,157325.0,2.62
所得稅費用（利益）合計,37253.0,2.11,6400.0,0.39,-3950.0,-0.29,-43328.0,-0.72
繼續營業單位本期淨利（淨損）,142445.0,8.08,96665.0,5.86,-36348.0,-2.68,200653.0,3.34
本期淨利（淨損）,142445.0,8.08,96665.0,5.86,-36348.0,-2.68,200653.0,3.34
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,621.0,0.04,-608.0,-0.04,-989.0,-0.07,117280.0,1.95
不重分類至損益之項目：,621.0,0.04,-608.0,-0.04,-989.0,-0.07,-392.0,-0.01
國外營運機構財務報表換算之兌換差額,7897.0,0.45,-415.0,-0.03,5655.0,0.42,23456.0,0.39
後續可能重分類至損益之項目：,7897.0,0.45,-415.0,-0.03,5655.0,0.42,93432.0,1.56
其他綜合損益（淨額）,8518.0,0.48,-1023.0,-0.06,4666.0,0.34,9298.0,0.15
本期綜合損益總額,150963.0,8.57,95642.0,5.8,-31682.0,-2.33,9298.0,0.15
淨利（損）歸屬於：,,,,,,,102730.0,1.71
母公司業主（淨利∕損）,134320.0,7.62,92608.0,5.61,-31621.0,-2.33,303383.0,5.05
非控制權益（淨利∕損）,8125.0,0.46,4057.0,0.25,-4727.0,-0.35,,
母公司業主（綜合損益）,142838.0,8.11,91585.0,5.55,-26955.0,-1.98,207291.0,3.45
非控制權益（綜合損益）,8125.0,0.46,4057.0,0.25,-4727.0,-0.35,-6638.0,-0.11
基本每股盈餘,,,,,,,310021.0,5.16
繼續營業單位淨利（淨損）,0.36,,0.25,,-0.08,,-6638.0,-0.11
基本每股盈餘,0.36,,0.25,,-0.08,,,
稀釋每股盈餘,,,,,,,0.56,
繼續營業單位淨利（淨損）,0.36,,0.25,,-0.08,,0.56,
稀釋每股盈餘,0.36,,0.25,,-0.08,,,
