民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,1469867.0,3550846.0,,,,
本期稅前淨利（淨損）,1469867.0,3550846.0,,,,
折舊費用,1711428.0,1594505.0,,,,
攤銷費用,92691.0,81395.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,74.0,5517.0,,,,
利息費用,482383.0,482195.0,,,,
利息收入,-126367.0,-56227.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-181127.0,-271861.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,5362.0,-137596.0,,,,
處分投資損失（利益）,-438.0,-96.0,,,,
金融資產減損損失,51290.0,0.0,,,,
非金融資產減損迴轉利益,-72877.0,50107.0,,,,
未實現外幣兌換損失（利益）,-116556.0,392934.0,,,,
其他項目,55093.0,47969.0,,,,
收益費損項目合計,1900956.0,2188842.0,,,,
持有供交易之金融資產（增加）減少,30417.0,34423.0,,,,
應收票據（增加）減少,3826186.0,2498317.0,,,,
應收帳款（增加）減少,1219119.0,643541.0,,,,
應收帳款－關係人（增加）減少,-360075.0,44700.0,,,,
其他應收款（增加）減少,370995.0,-2384.0,,,,
其他應收款－關係人（增加）減少,657261.0,7429.0,,,,
存貨（增加）減少,679041.0,-1310774.0,,,,
預付款項（增加）減少,-261314.0,-232969.0,,,,
其他流動資產（增加）減少,-127419.0,-180275.0,,,,
其他金融資產（增加）減少,-743988.0,654733.0,,,,
其他營業資產（增加）減少,-2040.0,-15656.0,,,,
與營業活動相關之資產之淨變動合計,5288183.0,2141085.0,,,,
應付帳款增加（減少）,-420251.0,1300867.0,,,,
應付帳款－關係人增加（減少）,-20629.0,-40714.0,,,,
其他應付款增加（減少）,-1264695.0,-1413349.0,,,,
預收款項增加（減少）,-113323.0,235834.0,,,,
其他流動負債增加（減少）,-51552.0,-199428.0,,,,
淨確定福利負債增加(減少),-8743.0,-7357.0,,,,
與營業活動相關之負債之淨變動合計,-1879193.0,-124147.0,,,,
與營業活動相關之資產及負債之淨變動合計,3408990.0,2016938.0,,,,
調整項目合計,5309946.0,4205780.0,,,,
營運產生之現金流入（流出）,6779813.0,7756626.0,,,,
退還（支付）之所得稅,-1125661.0,-860794.0,,,,
營業活動之淨現金流入（流出）,5654152.0,6895832.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,0.0,-15000.0,,,,
對子公司之收購（扣除所取得之現金）,-594733.0,0.0,,,,
取得不動產、廠房及設備,-818460.0,-940633.0,,,,
處分不動產、廠房及設備,754.0,260378.0,,,,
取得無形資產,-213360.0,-167.0,,,,
長期應收租賃款減少,100480.0,83637.0,,,,
其他金融資產減少,3023.0,18356.0,,,,
其他非流動資產增加,-68146.0,226778.0,,,,
其他預付款項增加,-34405.0,-145349.0,,,,
收取之利息,100140.0,53695.0,,,,
收取之股利,24620.0,51954.0,,,,
投資活動之淨現金流入（流出）,-1500087.0,-406351.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,2101256.0,5592753.0,,,,
舉借長期借款,5134654.0,3351397.0,,,,
償還長期借款,-9803366.0,-11094275.0,,,,
附買回票券及債券負債減少,-245853.0,144862.0,,,,
其他非流動負債減少,-3924.0,11274.0,,,,
取得子公司股權,0.0,-1645.0,,,,
支付之利息,-427626.0,-449549.0,,,,
非控制權益變動,0.0,1919.0,,,,
籌資活動之淨現金流入（流出）,-3244859.0,-2443264.0,,,,
匯率變動對現金及約當現金之影響,-17032.0,-427867.0,,,,
本期現金及約當現金增加（減少）數,892174.0,3618350.0,,,,
期初現金及約當現金餘額,30514042.0,25711065.0,,,,
期末現金及約當現金餘額,31406216.0,29329415.0,,,,
資產負債表帳列之現金及約當現金,31406216.0,29329415.0,,,,
