民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,21440142.0,100.0,26716227.0,100.0,
營業成本合計,18579134.0,86.66,21852093.0,81.79,
營業毛利（毛損）,2861008.0,13.34,4864134.0,18.21,
營業毛利（毛損）淨額,2861008.0,13.34,4864134.0,18.21,
營業費用,,,,,
推銷費用,227338.0,1.06,233190.0,0.87,
管理費用,933763.0,4.36,936449.0,3.51,
研究發展費用,6399.0,0.03,10271.0,0.04,
營業費用合計,1167500.0,5.45,1179910.0,4.42,
營業利益（損失）,1693508.0,7.9,3684224.0,13.79,
營業外收入及支出,,,,,
其他收入,222029.0,1.04,230723.0,0.86,
其他利益及損失淨額,-144414.0,-0.67,-153767.0,-0.58,
財務成本淨額,482383.0,2.25,482195.0,1.8,
採用權益法認列之關聯企業及合資損益之份額淨額,181127.0,0.84,271861.0,1.02,
營業外收入及支出合計,-223641.0,-1.04,-133378.0,-0.5,
稅前淨利（淨損）,1469867.0,6.86,3550846.0,13.29,
所得稅費用（利益）合計,495349.0,2.31,759611.0,2.84,
繼續營業單位本期淨利（淨損）,974518.0,4.55,2791235.0,10.45,
本期淨利（淨損）,974518.0,4.55,2791235.0,10.45,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-789178.0,-3.68,-501010.0,-1.88,
備供出售金融資產未實現評價損益,114595.0,0.53,2318385.0,8.68,
現金流量避險中屬有效避險部分之避險工具利益(損失),-24727.0,-0.12,7397.0,0.03,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-72913.0,-0.34,17020.0,0.06,
其他綜合損益（淨額）,-772223.0,-3.6,1841792.0,6.89,
本期綜合損益總額,202295.0,0.94,4633027.0,17.34,
母公司業主（淨利／損）,808778.0,3.77,1833139.0,6.86,
非控制權益（淨利／損）,165740.0,0.77,958096.0,3.59,
母公司業主（綜合損益）,349121.0,1.63,4015175.0,15.03,
非控制權益（綜合損益）,-146826.0,-0.68,617852.0,2.31,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.22,,0.5,,
基本每股盈餘,0.22,,0.5,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.22,,0.5,,
稀釋每股盈餘,0.22,,0.5,,
