會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,147200.0,324438.0,536847.0,527223.0
本期稅前淨利（淨損）,147200.0,324438.0,536847.0,527223.0
折舊費用,91144.0,182508.0,275195.0,368991.0
攤銷費用,2583.0,5366.0,8157.0,7087.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,514.0,1627.0,7852.0,17511.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-62558.0,-35229.0,-55140.0,-39275.0
利息費用,3487.0,9788.0,14899.0,26327.0
利息收入,-511.0,-1646.0,-5519.0,-18751.0
股利收入,-800.0,-1520.0,-5532.0,-4958.0
處分及報廢不動產、廠房及設備損失（利益）,-23861.0,-41832.0,-3550.0,-3798.0
其他項目,-301.0,-601.0,-57409.0,-1099.0
收益費損項目合計,9697.0,118461.0,-902.0,352035.0
應收票據（增加）減少,23528.0,19669.0,178051.0,27974.0
應收帳款（增加）減少,-102747.0,-68515.0,14480.0,-109799.0
其他應收款（增加）減少,3431.0,1860.0,-130122.0,2445.0
存貨（增加）減少,3834.0,18885.0,7773.0,13498.0
其他流動資產（增加）減少,-35602.0,10833.0,5108.0,7000.0
與營業活動相關之資產之淨變動合計,-107556.0,-17268.0,-682.0,-58882.0
合約負債增加（減少）,-987.0,-1029.0,-103443.0,-3060.0
應付票據增加（減少）,4678.0,-5809.0,-8406.0,-15488.0
應付帳款增加（減少）,1063.0,-7071.0,68578.0,-16149.0
其他應付款增加（減少）,11241.0,24802.0,14346.0,-1620.0
其他流動負債增加（減少）,4492.0,-3043.0,-34095.0,-677.0
淨確定福利負債增加(減少),20487.0,7850.0,-3662.0,409.0
與營業活動相關之負債之淨變動合計,-87069.0,-9418.0,36761.0,-36585.0
與營業活動相關之資產及負債之淨變動合計,-77372.0,109043.0,-66682.0,-95467.0
調整項目合計,69828.0,433481.0,111369.0,256568.0
營運產生之現金流入（流出）,446.0,1284.0,648216.0,783791.0
收取之利息,-600.0,-5623.0,3942.0,16732.0
收取之股利,-11528.0,-22226.0,5532.0,4958.0
支付之利息,58146.0,406916.0,-14605.0,-26212.0
退還（支付）之所得稅,,,-27932.0,-31677.0
營業活動之淨現金流入（流出）,-107026.0,-14700.0,615153.0,747592.0
投資活動之現金流量,-63131.0,-135831.0,,
處分按攤銷後成本衡量之金融資產,3135.0,-83304.0,-33783.0,199416.0
取得透過損益按公允價值衡量之金融資產,-129010.0,17162.0,-90836.0,-102240.0
處分透過損益按公允價值衡量之金融資產,-1810.0,-184614.0,102691.0,95485.0
取得不動產、廠房及設備,1475.0,1520.0,-197627.0,-365716.0
處分不動產、廠房及設備,-1269.0,-1799.0,4073.0,5040.0
存出保證金增加,-1193.0,0.0,-1800.0,-1797.0
取得無形資產,-298829.0,-5034.0,-962.0,-937.0
其他金融資產減少,,1475.0,1475.0,2002.0
其他非流動資產增加,176475.0,-1684.0,-35937.0,0.0
其他非流動資產減少,-166299.0,-1193.0,-1193.0,-34707.0
其他投資活動,-26459.0,-408002.0,-253899.0,-1193.0
投資活動之淨現金流入（流出）,-150.0,,,-204647.0
籌資活動之現金流量,-16433.0,177289.0,226117.0,
短期借款增加,8025.0,-204598.0,-233484.0,289015.0
短期借款減少,-249091.0,-50000.0,-50000.0,-298582.0
應付短期票券減少,635392.0,-52917.0,192540.0,-50000.0
舉借長期借款,386301.0,-710.0,-79376.0,192540.0
償還長期借款,386301.0,-130936.0,-1102.0,-105835.0
