會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,29628489.0,,20375076.0,6.88,37609519.0,12.45,25911732.0,8.72
透過損益按公允價值衡量之金融資產－流動,4978032.0,,5254285.0,1.77,10138644.0,3.36,14864809.0,5.0
透過其他綜合損益按公允價值衡量之金融資產－流動,4257832.0,,4706162.0,1.59,3985225.0,1.32,4252727.0,1.43
按攤銷後成本衡量之金融資產－流動,30314689.0,,33290406.0,11.24,15747291.0,5.21,16575640.0,5.58
合約資產－流動,61605.0,,61620.0,0.02,64401.0,0.02,98607.0,0.03
應收票據淨額,8208583.0,,6022198.0,2.03,6337520.0,2.1,7046851.0,2.37
應收帳款淨額,9292582.0,,8631360.0,2.91,8651027.0,2.86,8850968.0,2.98
應收帳款－關係人淨額,905116.0,,697447.0,0.24,683712.0,0.23,650797.0,0.22
其他應收款淨額,602592.0,,4314225.0,1.46,660004.0,0.22,580809.0,0.2
本期所得稅資產,6589.0,,6782.0,0.0,6777.0,0.0,9434.0,0.0
存貨,8119424.0,,7600004.0,2.57,7351244.0,2.43,6596268.0,2.22
預付款項,1395090.0,,1171265.0,0.4,1329895.0,0.44,1050301.0,0.35
其他流動資產,546143.0,,459506.0,0.16,508274.0,0.17,535004.0,0.18
流動資產合計,98316766.0,,92590336.0,31.25,93073533.0,30.81,87023947.0,29.29
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,9857076.0,,10521536.0,3.55,10560890.0,3.5,11127995.0,3.75
按攤銷後成本衡量之金融資產－非流動,59662.0,,67101.0,0.02,52778.0,0.02,52778.0,0.02
採用權益法之投資,83040473.0,,81547199.0,27.52,83074354.0,27.5,84873235.0,28.57
不動產、廠房及設備,50983833.0,,50670070.0,17.1,51292721.0,16.98,52820212.0,17.78
使用權資產,5013651.0,,4917771.0,1.66,4879311.0,1.62,4938963.0,1.66
投資性不動產淨額,36372710.0,,36459618.0,12.31,36571620.0,12.11,36589248.0,12.32
無形資產,6896715.0,,6712841.0,2.27,7208746.0,2.39,7254262.0,2.44
遞延所得稅資產,530121.0,,535627.0,0.18,606031.0,0.2,690705.0,0.23
其他非流動資產,12367905.0,,12246004.0,4.13,14750090.0,4.88,11715510.0,3.94
非流動資產合計,205122146.0,,203677767.0,68.75,208996541.0,69.19,210062908.0,70.71
資產總額,303438912.0,,296268103.0,100.0,302070074.0,100.0,297086855.0,100.0
流動負債,,,,,,,,
短期借款,29338695.0,,26288464.0,8.87,26003606.0,8.61,19214889.0,6.47
應付短期票券,19801186.0,,17011438.0,5.74,20281892.0,6.71,13881948.0,4.67
透過損益按公允價值衡量之金融負債－流動,141430.0,,132360.0,0.04,231280.0,0.08,425693.0,0.14
合約負債－流動,854248.0,,910943.0,0.31,1583128.0,0.52,1117842.0,0.38
應付帳款,11676131.0,,9275996.0,3.13,8946631.0,2.96,9316509.0,3.14
應付帳款－關係人,287493.0,,238286.0,0.08,236701.0,0.08,247171.0,0.08
其他應付款,548389.0,,10828659.0,3.66,374815.0,0.12,377739.0,0.13
本期所得稅負債,1329008.0,,1466640.0,0.5,1842450.0,0.61,2954930.0,0.99
負債準備－流動,51246.0,,51831.0,0.02,51415.0,0.02,52000.0,0.02
租賃負債－流動,188677.0,,215888.0,0.07,215751.0,0.07,222101.0,0.07
其他流動負債,7172308.0,,9140517.0,3.09,12199391.0,4.04,16216788.0,5.46
流動負債合計,71388811.0,,75561022.0,25.5,71967060.0,23.82,64027610.0,21.55
非流動負債,,,,,,,,
應付公司債,19303063.0,,32525398.0,10.98,29400000.0,9.73,38800000.0,13.06
長期借款,33605606.0,,15387028.0,5.19,20697983.0,6.85,10944833.0,3.68
負債準備－非流動,725707.0,,732530.0,0.25,719894.0,0.24,749480.0,0.25
遞延所得稅負債,9968006.0,,9798841.0,3.31,10043588.0,3.32,10115317.0,3.4
租賃負債－非流動,1265396.0,,1249462.0,0.42,1175566.0,0.39,1158824.0,0.39
其他非流動負債,1349951.0,,1495029.0,0.5,1373542.0,0.45,1403839.0,0.47
非流動負債合計,66217729.0,,61188288.0,20.65,63410573.0,20.99,63172293.0,21.26
負債總額,137606540.0,,136749310.0,46.16,135377633.0,44.82,127199903.0,42.82
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,33614472.0,,33614472.0,11.35,33614472.0,11.13,33614472.0,11.31
股本合計,33614472.0,,33614472.0,11.35,33614472.0,11.13,33614472.0,11.31
資本公積,,,,,,,,
資本公積合計,1456060.0,,1458935.0,0.49,1459679.0,0.48,1492584.0,0.5
保留盈餘,,,,,,,,
法定盈餘公積,16727089.0,,18473057.0,6.24,18473057.0,6.12,18473057.0,6.22
特別盈餘公積,64463426.0,,65267773.0,22.03,65267773.0,21.61,65267773.0,21.97
未分配盈餘（或待彌補虧損）,28092169.0,,20071290.0,6.77,25053928.0,8.29,27842666.0,9.37
保留盈餘合計,109282684.0,,103812120.0,35.04,108794758.0,36.02,111583496.0,37.56
其他權益,,,,,,,,
其他權益合計,-2171373.0,,-2014089.0,-0.68,-1415587.0,-0.47,1078007.0,0.36
歸屬於母公司業主之權益合計,142181843.0,,136871438.0,46.2,142453322.0,47.16,147768559.0,49.74
非控制權益,23650529.0,,22647355.0,7.64,24239119.0,8.02,22118393.0,7.45
權益總額,165832372.0,,159518793.0,53.84,166692441.0,55.18,169886952.0,57.18
負債及權益總計,303438912.0,,296268103.0,100.0,302070074.0,100.0,297086855.0,100.0
