民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,565923.0,100.0,556674.0,100.0,
銷貨收入淨額,565923.0,100.0,556674.0,100.0,
營業收入合計,565923.0,100.0,556674.0,100.0,
營業成本合計,230412.0,40.71,214911.0,38.61,
營業毛利（毛損）,335511.0,59.29,341763.0,61.39,
營業毛利（毛損）淨額,335511.0,59.29,341763.0,61.39,
營業費用,,,,,
推銷費用,213693.0,37.76,210253.0,37.77,
管理費用,50200.0,8.87,42502.0,7.63,
研究發展費用,551.0,0.1,438.0,0.08,
營業費用合計,264444.0,46.73,253193.0,45.48,
營業利益（損失）,71067.0,12.56,88570.0,15.91,
營業外收入及支出,,,,,
其他收入,2765.0,0.49,8198.0,1.47,
其他利益及損失淨額,-842.0,-0.15,3586.0,0.64,
財務成本淨額,198.0,0.03,73.0,0.01,
營業外收入及支出合計,1725.0,0.3,11711.0,2.1,
稅前淨利（淨損）,72792.0,12.86,100281.0,18.01,
所得稅費用（利益）合計,12673.0,2.24,15704.0,2.82,
繼續營業單位本期淨利（淨損）,60119.0,10.62,84577.0,15.19,
停業單位損益,,,,,
停業單位損益合計,0.0,0.0,0.0,0.0,
本期淨利（淨損）,60119.0,10.62,84577.0,15.19,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-1238.0,-0.22,338.0,0.06,
備供出售金融資產未實現評價損益,-3288.0,-0.58,-26350.0,-4.73,
其他綜合損益（淨額）,-4526.0,-0.8,-26012.0,-4.67,
本期綜合損益總額,55593.0,9.82,58565.0,10.52,
母公司業主（淨利／損）,60104.0,10.62,83060.0,14.92,
非控制權益（淨利／損）,15.0,0.0,1517.0,0.27,
母公司業主（綜合損益）,56191.0,9.93,56882.0,10.22,
非控制權益（綜合損益）,-598.0,-0.11,1683.0,0.3,
基本每股盈餘,,,,,
基本每股盈餘,0.66,,0.92,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.66,,0.92,,
