民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,210408.0,10.8,202105.0,10.19,224598.0,11.51,,
無活絡市場之債務工具投資－流動淨額,0.0,0.0,0.0,0.0,4980.0,0.26,,
應收票據淨額,9547.0,0.49,9120.0,0.46,15945.0,0.82,,
應收帳款淨額,233047.0,11.96,221122.0,11.14,202412.0,10.38,,
應收帳款－關係人淨額,4472.0,0.23,34489.0,1.74,4284.0,0.22,,
其他應收款淨額,830.0,0.04,1809.0,0.09,955.0,0.05,,
存貨,270128.0,13.86,296173.0,14.93,235557.0,12.07,,
預付款項,4934.0,0.25,6927.0,0.35,4121.0,0.21,,
其他流動資產,3194.0,0.16,1084.0,0.05,1305.0,0.07,,
流動資產合計,736560.0,37.8,772829.0,38.95,694157.0,35.58,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,199248.0,10.23,202536.0,10.21,237335.0,12.17,,
以成本衡量之金融資產－非流動淨額,3853.0,0.2,3853.0,0.19,3853.0,0.2,,
不動產、廠房及設備,940056.0,48.24,944409.0,47.6,968611.0,49.65,,
無形資產,5818.0,0.3,6383.0,0.32,8080.0,0.41,,
遞延所得稅資產,5018.0,0.26,5492.0,0.28,7935.0,0.41,,
其他非流動資產,58013.0,2.98,48563.0,2.45,30889.0,1.58,,
非流動資產合計,1212006.0,62.2,1211236.0,61.05,1256703.0,64.42,,
資產總計,1948566.0,100.0,1984065.0,100.0,1950860.0,100.0,,
流動負債,,,,,,,,
短期借款,30000.0,1.54,45000.0,2.27,0.0,0.0,,
應付票據,78072.0,4.01,102849.0,5.18,80365.0,4.12,,
應付帳款,27361.0,1.4,23750.0,1.2,24487.0,1.26,,
其他應付款,118894.0,6.1,180552.0,9.1,116109.0,5.95,,
本期所得稅負債,33027.0,1.69,20942.0,1.06,35595.0,1.82,,
其他流動負債,27661.0,1.42,34077.0,1.72,29943.0,1.53,,
流動負債合計,315015.0,16.17,407170.0,20.52,286499.0,14.69,,
非流動負債,,,,,,,,
遞延所得稅負債,61889.0,3.18,61985.0,3.12,60099.0,3.08,,
其他非流動負債,63853.0,3.28,62694.0,3.16,83443.0,4.28,,
非流動負債合計,125742.0,6.45,124679.0,6.28,143542.0,7.36,,
負債總計,440757.0,22.62,531849.0,26.81,430041.0,22.04,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,905919.0,46.49,905919.0,45.66,905919.0,46.44,,
股本合計,905919.0,46.49,905919.0,45.66,905919.0,46.44,,
資本公積,,,,,,,,
資本公積－庫藏股票交易,56075.0,2.88,56075.0,2.83,60605.0,3.11,,
資本公積合計,56075.0,2.88,56075.0,2.83,60605.0,3.11,,
保留盈餘,,,,,,,,
法定盈餘公積,264155.0,13.56,264155.0,13.31,241059.0,12.36,,
特別盈餘公積,3547.0,0.18,3547.0,0.18,3547.0,0.18,,
未分配盈餘（或待彌補虧損）,306981.0,15.75,246877.0,12.44,310891.0,15.94,,
保留盈餘合計,574683.0,29.49,514579.0,25.94,555497.0,28.47,,
其他權益,,,,,,,,
國外營運機構財務報表換算之兌換差額,-586.0,-0.03,39.0,0.0,-400.0,-0.02,,
備供出售金融資產未實現損益,-41449.0,-2.13,-38161.0,-1.92,-3362.0,-0.17,,
其他權益合計,-42035.0,-2.16,-38122.0,-1.92,-3762.0,-0.19,,
庫藏股票,-2754.0,-0.14,-2754.0,-0.14,-4433.0,-0.23,,
歸屬於母公司業主之權益合計,1491888.0,76.56,1435697.0,72.36,1513826.0,77.6,,
非控制權益,15921.0,0.82,16519.0,0.83,6993.0,0.36,,
權益總計,1507809.0,77.38,1452216.0,73.19,1520819.0,77.96,,
負債及權益總計,1948566.0,100.0,1984065.0,100.0,1950860.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,60000.0,,60000.0,,60000.0,,,
