民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,88653.0,99559.0,,,,
本期稅前淨利（淨損）,88653.0,99559.0,,,,
折舊費用,59501.0,55841.0,,,,
攤銷費用,1079.0,726.0,,,,
呆帳費用提列（轉列收入）數,1418.0,8301.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,4085.0,-304.0,,,,
利息費用,307.0,564.0,,,,
利息收入,-62.0,-332.0,,,,
股份基礎給付酬勞成本,3380.0,0.0,,,,
非金融資產減損迴轉利益,-7704.0,0.0,,,,
未實現外幣兌換損失（利益）,1842.0,-2518.0,,,,
收益費損項目合計,63846.0,62278.0,,,,
持有供交易之金融資產（增加）減少,1059.0,1217.0,,,,
應收票據（增加）減少,-3123.0,3558.0,,,,
應收帳款（增加）減少,-17250.0,-1959.0,,,,
其他應收款（增加）減少,-812.0,-2034.0,,,,
存貨（增加）減少,25348.0,-27089.0,,,,
其他流動資產（增加）減少,-57257.0,23392.0,,,,
其他營業資產（增加）減少,0.0,-1500.0,,,,
與營業活動相關之資產之淨變動合計,-52035.0,-4415.0,,,,
應付票據增加（減少）,-6888.0,-9028.0,,,,
應付帳款增加（減少）,4198.0,-2502.0,,,,
其他應付款增加（減少）,6215.0,979.0,,,,
其他流動負債增加（減少）,-1606.0,2070.0,,,,
與營業活動相關之負債之淨變動合計,1919.0,-8481.0,,,,
與營業活動相關之資產及負債之淨變動合計,-50116.0,-12896.0,,,,
調整項目合計,13730.0,49382.0,,,,
營運產生之現金流入（流出）,102383.0,148941.0,,,,
收取之利息,91.0,246.0,,,,
支付之利息,-418.0,-673.0,,,,
退還（支付）之所得稅,-2675.0,-25.0,,,,
營業活動之淨現金流入（流出）,99381.0,148489.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,0.0,-27933.0,,,,
取得不動產、廠房及設備,-37545.0,-26726.0,,,,
存出保證金增加,75.0,124.0,,,,
預付設備款增加,-42255.0,-53788.0,,,,
投資活動之淨現金流入（流出）,-79725.0,-108323.0,,,,
籌資活動之現金流量,,,,,,
短期借款減少,-15000.0,0.0,,,,
償還長期借款,-187567.0,-12805.0,,,,
應付租賃款減少,-612.0,-7887.0,,,,
現金增資,927447.0,0.0,,,,
籌資活動之淨現金流入（流出）,724268.0,-20692.0,,,,
本期現金及約當現金增加（減少）數,743924.0,19474.0,,,,
期初現金及約當現金餘額,102170.0,133655.0,,,,
期末現金及約當現金餘額,846094.0,153129.0,,,,
資產負債表帳列之現金及約當現金,846094.0,153129.0,,,,
