民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,833170.0,99.11,1212775.0,99.4,
租賃收入,7442.0,0.89,7324.0,0.6,
營業收入合計,840612.0,100.0,1220099.0,100.0,
營業成本合計,660739.0,78.6,758476.0,62.17,
營業毛利（毛損）,179873.0,21.4,461623.0,37.83,
營業毛利（毛損）淨額,179873.0,21.4,461623.0,37.83,
營業費用,,,,,
推銷費用,15616.0,1.86,20168.0,1.65,
管理費用,80109.0,9.53,78971.0,6.47,
研究發展費用,14719.0,1.75,10665.0,0.87,
營業費用合計,110444.0,13.14,109804.0,9.0,
營業利益（損失）,69429.0,8.26,351819.0,28.84,
營業外收入及支出,,,,,
其他收入,39238.0,4.67,35498.0,2.91,
其他利益及損失淨額,-7552.0,-0.9,32957.0,2.7,
財務成本淨額,4123.0,0.49,11813.0,0.97,
營業外收入及支出合計,27563.0,3.28,56642.0,4.64,
稅前淨利（淨損）,96992.0,11.54,408461.0,33.48,
所得稅費用（利益）合計,28893.0,3.44,102514.0,8.4,
繼續營業單位本期淨利（淨損）,68099.0,8.1,305947.0,25.08,
本期淨利（淨損）,68099.0,8.1,305947.0,25.08,
不重分類至損益之項目：,,,,,
不重分類至損益之其他項目,-99418.0,-11.83,-40236.0,-3.3,
後續可能重分類至損益之項目：,,,,,
其他綜合損益（淨額）,-99418.0,-11.83,-40236.0,-3.3,
本期綜合損益總額,-31319.0,-3.73,265711.0,21.78,
母公司業主（淨利／損）,68099.0,8.1,305947.0,25.08,
母公司業主（綜合損益）,-31319.0,-3.73,265711.0,21.78,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.27,,1.22,,
基本每股盈餘,0.27,,1.22,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.27,,1.02,,
稀釋每股盈餘,0.27,,1.02,,
