民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,3025593.0,101.82,2886552.0,102.14,
銷貨退回,29369.0,0.99,28038.0,0.99,
銷貨折讓,24640.0,0.83,32574.0,1.15,
銷貨收入淨額,2971584.0,100.0,2825940.0,100.0,
營業收入合計,2971584.0,100.0,2825940.0,100.0,
營業成本合計,2163111.0,72.79,2117296.0,74.92,
營業毛利（毛損）,808473.0,27.21,708644.0,25.08,
營業毛利（毛損）淨額,808473.0,27.21,708644.0,25.08,
營業費用,,,,,
推銷費用,156677.0,5.27,138078.0,4.89,
管理費用,176252.0,5.93,189024.0,6.69,
研究發展費用,95127.0,3.2,102982.0,3.64,
營業費用合計,428056.0,14.4,430084.0,15.22,
營業利益（損失）,380417.0,12.8,278560.0,9.86,
營業外收入及支出,,,,,
其他收入,6189.0,0.21,9277.0,0.33,
其他利益及損失淨額,-27240.0,-0.92,28065.0,0.99,
財務成本淨額,10640.0,0.36,10000.0,0.35,
營業外收入及支出合計,-31691.0,-1.07,27342.0,0.97,
稅前淨利（淨損）,348726.0,11.74,305902.0,10.82,
所得稅費用（利益）合計,64319.0,2.16,41152.0,1.46,
繼續營業單位本期淨利（淨損）,284407.0,9.57,264750.0,9.37,
本期淨利（淨損）,284407.0,9.57,264750.0,9.37,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-73435.0,-2.47,109438.0,3.87,
備供出售金融資產未實現評價損益,-3168.0,-0.11,-2647.0,-0.09,
其他綜合損益（淨額）,-76603.0,-2.58,106791.0,3.78,
本期綜合損益總額,207804.0,6.99,371541.0,13.15,
母公司業主（淨利／損）,284407.0,9.57,264750.0,9.37,
母公司業主（綜合損益）,207804.0,6.99,371541.0,13.15,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.76,,0.71,,
基本每股盈餘,0.76,,0.71,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.76,,0.7,,
稀釋每股盈餘,0.76,,0.7,,
