民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,5008775.0,100.0,6201713.0,100.0,
營業成本合計,4403208.0,87.91,5730792.0,92.41,
營業毛利（毛損）,605567.0,12.09,470921.0,7.59,
營業毛利（毛損）淨額,605567.0,12.09,470921.0,7.59,
營業費用,,,,,
推銷費用,73156.0,1.46,71805.0,1.16,
管理費用,206438.0,4.12,199391.0,3.22,
研究發展費用,9483.0,0.19,14195.0,0.23,
營業費用合計,289077.0,5.77,285391.0,4.6,
營業利益（損失）,316490.0,6.32,185530.0,2.99,
營業外收入及支出,,,,,
其他收入,13166.0,0.26,13446.0,0.22,
其他利益及損失淨額,-21746.0,-0.43,7551.0,0.12,
財務成本淨額,9961.0,0.2,6790.0,0.11,
採用權益法認列之關聯企業及合資損益之份額淨額,89251.0,1.78,-6113.0,-0.1,
營業外收入及支出合計,70710.0,1.41,8094.0,0.13,
稅前淨利（淨損）,387200.0,7.73,193624.0,3.12,
所得稅費用（利益）合計,60394.0,1.21,37415.0,0.6,
繼續營業單位本期淨利（淨損）,326806.0,6.52,156209.0,2.52,
本期淨利（淨損）,326806.0,6.52,156209.0,2.52,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-68737.0,-1.37,112656.0,1.82,
備供出售金融資產未實現評價損益,134552.0,2.69,-171911.0,-2.77,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,8468.0,0.17,-136216.0,-2.2,
與可能重分類之項目相關之所得稅,847.0,0.02,-23157.0,-0.37,
其他綜合損益（淨額）,73436.0,1.47,-172314.0,-2.78,
本期綜合損益總額,400242.0,7.99,-16105.0,-0.26,
母公司業主（淨利／損）,292522.0,5.84,131043.0,2.11,
非控制權益（淨利／損）,34284.0,0.68,25166.0,0.41,
母公司業主（綜合損益）,332275.0,6.63,18195.0,0.29,
非控制權益（綜合損益）,67967.0,1.36,-34300.0,-0.55,
基本每股盈餘,,,,,
基本每股盈餘,0.32,,0.14,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.32,,0.14,,
