民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,103年01月01日,103年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
流動資產,,,,,,,,,,
現金及約當現金,713687.0,2.93,1081542.0,4.43,802214.0,3.23,855816.0,3.43,,
透過損益按公允價值衡量之金融資產－流動,154073.0,0.63,25644.0,0.11,0.0,0.0,0.0,0.0,,
應收票據淨額,452229.0,1.85,438793.0,1.8,453277.0,1.83,443898.0,1.78,,
應收帳款淨額,2240719.0,9.19,2020005.0,8.28,2336046.0,9.41,2657821.0,10.66,,
其他應收款淨額,264173.0,1.08,78937.0,0.32,81973.0,0.33,53472.0,0.21,,
本期所得稅資產,71.0,0.0,0.0,0.0,158.0,0.0,69.0,0.0,,
存貨,1602462.0,6.57,1838716.0,7.54,2456547.0,9.9,2133996.0,8.56,,
預付款項,66282.0,0.27,42900.0,0.18,91105.0,0.37,63392.0,0.25,,
待出售非流動資產（淨額）,250280.0,1.03,250280.0,1.03,0.0,0.0,0.0,0.0,,
其他流動資產,1356786.0,5.56,1210451.0,4.96,1418974.0,5.72,1206313.0,4.84,,
流動資產合計,7100762.0,29.12,6987268.0,28.65,7640294.0,30.78,7414777.0,29.75,,
非流動資產,,,,,,,,,,
備供出售金融資產－非流動淨額,2911429.0,11.94,2776877.0,11.39,2589645.0,10.43,2761556.0,11.08,,
以成本衡量之金融資產－非流動淨額,438340.0,1.8,177857.0,0.73,190568.0,0.77,190322.0,0.76,,
採用權益法之投資淨額,4373345.0,17.93,4556160.0,18.68,4259973.0,17.16,4306289.0,17.28,,
不動產、廠房及設備,8541222.0,35.02,8707755.0,35.7,9250751.0,37.26,9331804.0,37.44,,
投資性不動產淨額,84614.0,0.35,85038.0,0.35,86310.0,0.35,86735.0,0.35,,
無形資產,674733.0,2.77,674886.0,2.77,675425.0,2.72,675258.0,2.71,,
遞延所得稅資產,31492.0,0.13,49949.0,0.2,31341.0,0.13,35693.0,0.14,,
其他非流動資產,231961.0,0.95,374023.0,1.53,100107.0,0.4,122924.0,0.49,,
非流動資產合計,17287136.0,70.88,17402545.0,71.35,17184120.0,69.22,17510581.0,70.25,,
資產總計,24387898.0,100.0,24389813.0,100.0,24824414.0,100.0,24925358.0,100.0,,
流動負債,,,,,,,,,,
短期借款,1125456.0,4.61,1365670.0,5.6,581447.0,2.34,725365.0,2.91,,
應付短期票券,342969.0,1.41,434952.0,1.78,624929.0,2.52,399923.0,1.6,,
應付票據,83808.0,0.34,87917.0,0.36,69390.0,0.28,78788.0,0.32,,
應付帳款,1654419.0,6.78,1674136.0,6.86,2062218.0,8.31,1817129.0,7.29,,
其他應付款,194320.0,0.8,278729.0,1.14,272414.0,1.1,463960.0,1.86,,
本期所得稅負債,211876.0,0.87,171953.0,0.71,331249.0,1.33,301967.0,1.21,,
負債準備－流動,12228.0,0.05,12783.0,0.05,11973.0,0.05,12373.0,0.05,,
其他流動負債,29339.0,0.12,26976.0,0.11,28162.0,0.11,36765.0,0.15,,
流動負債合計,3654415.0,14.98,4053116.0,16.62,3981782.0,16.04,3836270.0,15.39,,
非流動負債,,,,,,,,,,
長期借款,900000.0,3.69,900000.0,3.69,1100000.0,4.43,1300000.0,5.22,,
負債準備－非流動,3112.0,0.01,3046.0,0.01,3143.0,0.01,3075.0,0.01,,
遞延所得稅負債,1157306.0,4.75,1156085.0,4.74,1127682.0,4.54,1152395.0,4.62,,
其他非流動負債,418779.0,1.72,423522.0,1.74,403160.0,1.62,408866.0,1.64,,
非流動負債合計,2479197.0,10.17,2482653.0,10.18,2633985.0,10.61,2864336.0,11.49,,
負債總計,6133612.0,25.15,6535769.0,26.8,6615767.0,26.65,6700606.0,26.88,,
歸屬於母公司業主之權益,,,,,,,,,,
股本,,,,,,,,,,
普通股股本,9066203.0,37.18,9066203.0,37.17,9066203.0,36.52,9066203.0,36.37,,
特別股股本,200000.0,0.82,200000.0,0.82,200000.0,0.81,200000.0,0.8,,
股本合計,9266203.0,38.0,9266203.0,37.99,9266203.0,37.33,9266203.0,37.18,,
資本公積,,,,,,,,,,
資本公積合計,112393.0,0.46,112393.0,0.46,103073.0,0.42,103073.0,0.41,,
保留盈餘,,,,,,,,,,
法定盈餘公積,749036.0,3.07,749036.0,3.07,553968.0,2.23,553968.0,2.22,,
特別盈餘公積,1647209.0,6.75,1647209.0,6.75,1890742.0,7.62,1890742.0,7.59,,
未分配盈餘（或待彌補虧損）,3308159.0,13.56,3015637.0,12.36,3805027.0,15.33,3673984.0,14.74,,
保留盈餘合計,5704404.0,23.39,5411882.0,22.19,6249737.0,25.18,6118694.0,24.55,,
其他權益,,,,,,,,,,
國外營運機構財務報表換算之兌換差額,419416.0,1.72,472924.0,1.94,286786.0,1.16,288897.0,1.16,,
備供出售金融資產未實現損益,605704.0,2.48,512443.0,2.1,378305.0,1.52,489042.0,1.96,,
其他權益合計,1025120.0,4.2,985367.0,4.04,665091.0,2.68,777939.0,3.12,,
庫藏股票,-199604.0,-0.82,-199604.0,-0.82,-199604.0,-0.8,-199604.0,-0.8,,
歸屬於母公司業主之權益合計,15908516.0,65.23,15576241.0,63.86,16084500.0,64.79,16066305.0,64.46,,
非控制權益,2345770.0,9.62,2277803.0,9.34,2124147.0,8.56,2158447.0,8.66,,
權益總計,18254286.0,74.85,17854044.0,73.2,18208647.0,73.35,18224752.0,73.12,,
負債及權益總計,24387898.0,100.0,24389813.0,100.0,24824414.0,100.0,24925358.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,8254473.0,,8254473.0,,8254473.0,,8254473.0,,,
