民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,1174720.0,93.69,1176751.0,94.52,
租賃收入,79069.0,6.31,68277.0,5.48,
營業收入合計,1253789.0,100.0,1245028.0,100.0,
銷貨成本,1069680.0,85.32,1066732.0,85.68,
租賃成本,28005.0,2.23,24164.0,1.94,
營業成本合計,1097685.0,87.55,1090896.0,87.62,
營業毛利（毛損）,156104.0,12.45,154132.0,12.38,
營業毛利（毛損）淨額,156104.0,12.45,154132.0,12.38,
營業費用,,,,,
推銷費用,57669.0,4.6,51215.0,4.11,
管理費用,39249.0,3.13,44271.0,3.56,
研究發展費用,6835.0,0.55,6843.0,0.55,
營業費用合計,103753.0,8.28,102329.0,8.22,
營業利益（損失）,52351.0,4.18,51803.0,4.16,
營業外收入及支出,,,,,
其他收入,2415.0,0.19,1998.0,0.16,
其他利益及損失淨額,-2297.0,-0.18,6927.0,0.56,
財務成本淨額,10072.0,0.8,12025.0,0.97,
採用權益法認列之關聯企業及合資損益之份額淨額,246433.0,19.66,628395.0,50.47,
營業外收入及支出合計,236479.0,18.86,625295.0,50.22,
稅前淨利（淨損）,288830.0,23.04,677098.0,54.38,
所得稅費用（利益）合計,6352.0,0.51,16266.0,1.31,
繼續營業單位本期淨利（淨損）,282478.0,22.53,660832.0,53.08,
本期淨利（淨損）,282478.0,22.53,660832.0,53.08,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-14986.0,-1.2,5847.0,0.47,
備供出售金融資產未實現評價損益,-104833.0,-8.36,86849.0,6.98,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-340347.0,-27.15,149623.0,12.02,
其他綜合損益（淨額）,-460166.0,-36.7,242319.0,19.46,
本期綜合損益總額,-177688.0,-14.17,903151.0,72.54,
母公司業主（淨利／損）,281506.0,22.45,666867.0,53.56,
非控制權益（淨利／損）,972.0,0.08,-6035.0,-0.48,
母公司業主（綜合損益）,-178127.0,-14.21,909474.0,73.05,
非控制權益（綜合損益）,439.0,0.04,-6323.0,-0.51,
基本每股盈餘,,,,,
基本每股盈餘,0.33,,0.78,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.33,,0.78,,
