會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,147267.0,425351.0,678740.0,992754.0
本期稅前淨利（淨損）,147267.0,425351.0,678740.0,992754.0
折舊費用,77821.0,156047.0,232473.0,308107.0
攤銷費用,963.0,1934.0,-2996.0,3863.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,1800.0,4.0,4.0,126.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,142.0,10339.0,5039.0,-136.0
利息費用,-5666.0,293.0,571.0,870.0
利息收入,920.0,-13180.0,-25009.0,-41584.0
股利收入,0.0,-1700.0,-9985.0,-9985.0
處分及報廢不動產、廠房及設備損失（利益）,75980.0,922.0,1731.0,1135.0
不動產、廠房及設備轉列費用數,492446.0,-634.0,-654.0,0.0
其他項目,99549.0,154025.0,201174.0,-549.0
收益費損項目合計,-754.0,851225.0,897657.0,261847.0
應收票據（增加）減少,-16680.0,131963.0,101017.0,879030.0
應收帳款（增加）減少,-21525.0,-531.0,-1679.0,14709.0
其他應收款（增加）減少,-141.0,-140984.0,124010.0,269.0
存貨（增加）減少,552895.0,-16799.0,-35977.0,-103994.0
預付款項（增加）減少,15263.0,24.0,31.0,-26676.0
其他流動資產（增加）減少,60204.0,824898.0,1085059.0,-5.0
與營業活動相關之資產之淨變動合計,-599.0,30801.0,28333.0,763333.0
合約負債增加（減少）,-308758.0,-29336.0,195857.0,-29640.0
應付票據增加（減少）,-126923.0,-389.0,-614.0,190809.0
應付票據－關係人增加（減少）,3005.0,75610.0,-64491.0,-372.0
應付帳款增加（減少）,-352.0,-101164.0,-107797.0,-45874.0
其他應付款增加（減少）,-358160.0,-287.0,1389.0,-96057.0
其他流動負債增加（減少）,194735.0,-633.0,-932.0,-370.0
淨確定福利負債增加(減少),270715.0,-25398.0,51745.0,-3228.0
與營業活動相關之負債之淨變動合計,417982.0,799500.0,1136804.0,15268.0
與營業活動相關之資產及負債之淨變動合計,-142.0,953525.0,1337978.0,778601.0
調整項目合計,-134747.0,1378876.0,2016718.0,1040448.0
營運產生之現金流入（流出）,283093.0,-293.0,-571.0,2033202.0
支付之利息,,-356222.0,-509698.0,-870.0
退還（支付）之所得稅,-79991.0,1022361.0,1506449.0,-538474.0
營業活動之淨現金流入（流出）,72332.0,,,1493858.0
投資活動之現金流量,-621550.0,-147583.0,-300306.0,
取得按攤銷後成本衡量之金融資產,403677.0,173646.0,246638.0,-782924.0
處分按攤銷後成本衡量之金融資產,-31397.0,-1077869.0,-1366074.0,285887.0
取得透過損益按公允價值衡量之金融資產,2541.0,984248.0,1401196.0,-1675704.0
處分透過損益按公允價值衡量之金融資產,0.0,-100918.0,-150861.0,1743398.0
取得不動產、廠房及設備,792.0,2541.0,2636.0,-252728.0
處分不動產、廠房及設備,0.0,0.0,0.0,4789.0
存出保證金增加,8270.0,2411.0,1960.0,0.0
存出保證金減少,-12231.0,0.0,0.0,1205.0
取得投資性不動產,0.0,8037.0,10010.0,-520.0
其他非流動資產減少,4579.0,-23988.0,-42467.0,11783.0
收取之利息,-252978.0,13496.0,22417.0,36512.0
收取之股利,,1700.0,9985.0,9985.0
投資活動之淨現金流入（流出）,-673.0,-164279.0,-164866.0,-618317.0
籌資活動之現金流量,-877.0,,,
存入保證金增加,447.0,-2089.0,0.0,0.0
存入保證金減少,-1103.0,-4469.0,-1411.0,-6353.0
租賃本金償還,89215.0,-2878.0,-5510.0,-5132.0
發放現金股利,118227.0,-276190.0,-512937.0,-512937.0
庫藏股票買回成本,2643843.0,447.0,-15755.0,-15755.0
非控制權益變動,2762070.0,-285179.0,-276190.0,-276190.0
其他籌資活動,2762070.0,73800.0,447.0,447.0
