會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,269734.0,671506.0,983038.0,1471598.0
本期稅前淨利（淨損）,269734.0,671506.0,983038.0,1471598.0
折舊費用,33314.0,66721.0,100673.0,134733.0
攤銷費用,2077.0,3179.0,5197.0,6895.0
呆帳費用提列（轉列收入）數,431.0,639.0,2017.0,2612.0
利息費用,3267.0,6679.0,10458.0,14594.0
利息收入,-557.0,-1200.0,-1859.0,-2850.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-239156.0,-163526.0,-163529.0,-163469.0
處分及報廢不動產、廠房及設備損失（利益）,0.0,-446383.0,-690388.0,-1100028.0
不動產、廠房及設備轉列費用數,0.0,-43.0,-463.0,-463.0
處分投資損失（利益）,1672.0,0.0,0.0,0.0
收益費損項目合計,-198952.0,1672.0,1672.0,1673.0
應收票據（增加）減少,129333.0,-532262.0,-736222.0,227.0
應收票據－關係人（增加）減少,-1997.0,129776.0,150670.0,-1106076.0
應收帳款（增加）減少,47330.0,0.0,0.0,127026.0
應收帳款－關係人（增加）減少,22357.0,100567.0,114296.0,0.0
其他應收款（增加）減少,-4864.0,13337.0,29907.0,11382.0
存貨（增加）減少,-4144.0,-14566.0,-4213.0,23881.0
預付款項（增加）減少,2551.0,8921.0,39908.0,-2215.0
其他流動資產（增加）減少,-2944.0,-3936.0,-8777.0,-12076.0
與營業活動相關之資產之淨變動合計,187622.0,3611.0,-1916.0,-10608.0
應付票據增加（減少）,-34426.0,237710.0,319875.0,-5860.0
應付票據－關係人增加（減少）,-14554.0,-74749.0,-97545.0,131530.0
應付帳款增加（減少）,-26424.0,4768.0,13745.0,-78582.0
應付帳款－關係人增加（減少）,-34915.0,-35959.0,-94346.0,28717.0
其他應付款增加（減少）,-36937.0,-49171.0,-48057.0,24834.0
其他流動負債增加（減少）,7362.0,-40871.0,-31074.0,-9244.0
淨確定福利負債增加(減少),819.0,5067.0,7945.0,-4702.0
與營業活動相關之負債之淨變動合計,-139075.0,-8577.0,-10238.0,259.0
與營業活動相關之資產及負債之淨變動合計,48547.0,-199492.0,-259570.0,-7456.0
調整項目合計,-150405.0,38218.0,60305.0,-46174.0
營運產生之現金流入（流出）,119329.0,-494044.0,-675917.0,85356.0
收取之利息,556.0,177462.0,307121.0,-1020720.0
退還（支付）之所得稅,-9.0,1181.0,1849.0,450878.0
營業活動之淨現金流入（流出）,119876.0,34946.0,436384.0,2840.0
投資活動之現金流量,,-39840.0,-40341.0,436326.0
取得備供出售金融資產,-12978.0,173749.0,705013.0,-42436.0
處分備供出售金融資產,165.0,,,847608.0
取得不動產、廠房及設備,-343834.0,-12977.0,-12977.0,
處分不動產、廠房及設備,0.0,0.0,0.0,-13204.0
其他金融資產增加,-13436.0,165.0,165.0,0.0
其他非流動資產增加,-74.0,-460122.0,-502501.0,165.0
其他非流動資產減少,0.0,43.0,463.0,-600661.0
投資活動之淨現金流入（流出）,-370157.0,-92.0,-92.0,463.0
籌資活動之現金流量,,-8616.0,3538.0,-303.0
短期借款增加,-247000.0,-60.0,-158.0,478.0
應付短期票券增加,400096.0,-481659.0,-511562.0,52.0
應付短期票券減少,0.0,,,-613010.0
存入保證金增加,0.0,297000.0,-109000.0,
發放現金股利,0.0,-100006.0,500022.0,58000.0
支付之利息,-3693.0,-30.0,-20.0,330000.0
非控制權益變動,-26.0,0.0,-615970.0,-20.0
籌資活動之淨現金流入（流出）,149377.0,-6794.0,-11185.0,-615970.0
匯率變動對現金及約當現金之影響,-40.0,-9042.0,7254.0,-14787.0
本期現金及約當現金增加（減少）數,-100944.0,181128.0,-228899.0,7201.0
期初現金及約當現金餘額,396132.0,-89.0,137.0,-235576.0
期末現金及約當現金餘額,295188.0,-126871.0,-35311.0,-127.0
資產負債表帳列之現金及約當現金,295188.0,396132.0,396132.0,-1105.0
