會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,1754515.0,3.16,1682615.0,2.98,1797936.0,3.16,2126513.0,3.88
透過損益按公允價值衡量之金融資產－流動,242254.0,0.44,191872.0,0.34,216235.0,0.38,162736.0,0.3
合約資產－流動,4161152.0,7.5,4638894.0,8.22,4291443.0,7.54,3828719.0,6.99
應收票據淨額,308358.0,0.56,389662.0,0.69,322604.0,0.57,220725.0,0.4
應收帳款淨額,3788634.0,6.83,3503083.0,6.2,3106627.0,5.46,3368530.0,6.15
其他應收款淨額,365605.0,0.66,51639.0,0.09,12926.0,0.02,28234.0,0.05
存貨,20204566.0,36.4,21454557.0,38.0,20154088.0,35.4,18821299.0,34.37
預付款項,321684.0,0.58,314710.0,0.56,452390.0,0.79,252390.0,0.46
其他流動資產,865858.0,1.56,944023.0,1.67,923857.0,1.62,845902.0,1.54
流動資產合計,32012626.0,57.68,33171055.0,58.75,31278106.0,54.94,29655048.0,54.15
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,640202.0,1.15,538332.0,0.95,480983.0,0.84,524816.0,0.96
採用權益法之投資,1441656.0,2.6,1463563.0,2.59,1482559.0,2.6,1557111.0,2.84
不動產、廠房及設備,18235582.0,32.85,18105893.0,32.07,20224467.0,35.52,20038567.0,36.59
礦產資源淨額,24154.0,0.04,24447.0,0.04,25447.0,0.04,11543.0,0.02
使用權資產,391264.0,0.7,403912.0,0.72,395144.0,0.69,350563.0,0.64
投資性不動產淨額,1927592.0,3.47,1926244.0,3.41,1925143.0,3.38,1924962.0,3.51
無形資產,187085.0,0.34,187108.0,0.33,189907.0,0.33,179458.0,0.33
遞延所得稅資產,86431.0,0.16,86431.0,0.15,86431.0,0.15,85542.0,0.16
其他非流動資產,557192.0,1.0,558087.0,0.99,843120.0,1.48,438937.0,0.8
非流動資產合計,23491158.0,42.32,23294017.0,41.25,25653201.0,45.06,25111499.0,45.85
資產總額,55503784.0,100.0,56465072.0,100.0,56931307.0,100.0,54766547.0,100.0
流動負債,,,,,,,,
短期借款,10637583.0,19.17,16341442.0,28.94,15843296.0,27.83,13994974.0,25.55
應付短期票券,204950.0,0.37,289895.0,0.51,749854.0,1.32,599500.0,1.09
透過損益按公允價值衡量之金融負債－流動,0.0,0.0,0.0,0.0,0.0,0.0,14979.0,0.03
合約負債－流動,2699999.0,4.86,2773322.0,4.91,2755623.0,4.84,2859004.0,5.22
應付票據,101938.0,0.18,111656.0,0.2,68559.0,0.12,77748.0,0.14
應付帳款,3488974.0,6.29,2806192.0,4.97,2660260.0,4.67,2128721.0,3.89
其他應付款,6583186.0,11.86,1688308.0,2.99,1810140.0,3.18,2104826.0,3.84
本期所得稅負債,1244634.0,2.24,713842.0,1.26,187047.0,0.33,579559.0,1.06
負債準備－流動,155.0,0.0,326.0,0.0,662.0,0.0,1909.0,0.0
租賃負債－流動,42722.0,0.08,47340.0,0.08,45903.0,0.08,41431.0,0.08
其他流動負債,752477.0,1.36,678197.0,1.2,711573.0,1.25,202601.0,0.37
