民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,502207.0,480618.0,,,,
本期稅前淨利（淨損）,502207.0,480618.0,,,,
折舊費用,643758.0,580447.0,,,,
攤銷費用,57173.0,52298.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,0.0,173.0,,,,
利息費用,36291.0,29030.0,,,,
利息收入,-1846.0,-1810.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-76851.0,-85580.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-2302.0,-1135.0,,,,
處分投資損失（利益）,0.0,1711.0,,,,
已實現銷貨損失（利益）,-145.0,-145.0,,,,
收益費損項目合計,656078.0,574989.0,,,,
應收票據（增加）減少,115783.0,1764.0,,,,
應收帳款（增加）減少,108823.0,1406.0,,,,
應收帳款－關係人（增加）減少,10074.0,-6577.0,,,,
其他應收款（增加）減少,-307787.0,-1107.0,,,,
存貨（增加）減少,7997.0,61325.0,,,,
其他流動資產（增加）減少,-72767.0,-34604.0,,,,
其他營業資產（增加）減少,26280.0,-1769.0,,,,
與營業活動相關之資產之淨變動合計,-111597.0,20438.0,,,,
應付票據增加（減少）,41482.0,-42292.0,,,,
應付帳款增加（減少）,-137190.0,138663.0,,,,
應付帳款－關係人增加（減少）,-22357.0,-17107.0,,,,
其他應付款增加（減少）,-494383.0,-173151.0,,,,
負債準備增加（減少）,1923.0,2801.0,,,,
其他流動負債增加（減少）,-40404.0,26204.0,,,,
淨確定福利負債增加(減少),-7599.0,-7112.0,,,,
其他營業負債增加（減少）,-1111.0,-2309.0,,,,
與營業活動相關之負債之淨變動合計,-659639.0,-74303.0,,,,
與營業活動相關之資產及負債之淨變動合計,-771236.0,-53865.0,,,,
調整項目合計,-115158.0,521124.0,,,,
營運產生之現金流入（流出）,387049.0,1001742.0,,,,
收取之利息,1846.0,1829.0,,,,
收取之股利,307800.0,0.0,,,,
退還（支付）之所得稅,-26650.0,-29712.0,,,,
營業活動之淨現金流入（流出）,670045.0,973859.0,,,,
投資活動之現金流量,,,,,,
取得無活絡市場之債務工具投資,-47442.0,0.0,,,,
處分無活絡市場之債務工具投資,0.0,41621.0,,,,
處分以成本衡量之金融資產,0.0,6223.0,,,,
取得不動產、廠房及設備,-1106479.0,-743555.0,,,,
處分不動產、廠房及設備,30194.0,22532.0,,,,
取得無形資產,-46177.0,-45655.0,,,,
預付設備款增加,0.0,-46918.0,,,,
預付設備款減少,93571.0,0.0,,,,
投資活動之淨現金流入（流出）,-1076333.0,-765752.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,403026.0,,,,
短期借款減少,-115667.0,0.0,,,,
應付短期票券增加,0.0,469440.0,,,,
應付短期票券減少,-199999.0,0.0,,,,
發行公司債,1200000.0,0.0,,,,
舉借長期借款,700000.0,374751.0,,,,
償還長期借款,-995151.0,-1141053.0,,,,
取得子公司股權,-17073.0,0.0,,,,
支付之利息,-51104.0,-44128.0,,,,
非控制權益變動,-17074.0,0.0,,,,
籌資活動之淨現金流入（流出）,503932.0,62036.0,,,,
匯率變動對現金及約當現金之影響,-5395.0,-12801.0,,,,
本期現金及約當現金增加（減少）數,92249.0,257342.0,,,,
期初現金及約當現金餘額,1195358.0,1071829.0,,,,
期末現金及約當現金餘額,1287607.0,1329171.0,,,,
資產負債表帳列之現金及約當現金,1287607.0,1329171.0,,,,
