民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,47697112.0,100.0,51989871.0,100.0,
營業成本合計,42125233.0,88.32,48208250.0,92.73,
營業毛利（毛損）,5571879.0,11.68,3781621.0,7.27,
營業毛利（毛損）淨額,5571879.0,11.68,3781621.0,7.27,
營業費用,,,,,
推銷費用,1370949.0,2.87,1249892.0,2.4,
管理費用,1061923.0,2.23,1221631.0,2.35,
研究發展費用,200024.0,0.42,220729.0,0.42,
營業費用合計,2632896.0,5.52,2692252.0,5.18,
營業利益（損失）,2938983.0,6.16,1089369.0,2.1,
營業外收入及支出,,,,,
其他收入,111009.0,0.23,155642.0,0.3,
其他利益及損失淨額,-139201.0,-0.29,2925497.0,5.63,
財務成本淨額,361212.0,0.76,379665.0,0.73,
採用權益法認列之關聯企業及合資損益之份額淨額,1902405.0,3.99,4182677.0,8.05,
營業外收入及支出合計,1513001.0,3.17,6884151.0,13.24,
稅前淨利（淨損）,4451984.0,9.33,7973520.0,15.34,
所得稅費用（利益）合計,808299.0,1.69,790546.0,1.52,
繼續營業單位本期淨利（淨損）,3643685.0,7.64,7182974.0,13.82,
本期淨利（淨損）,3643685.0,7.64,7182974.0,13.82,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-1059813.0,-2.22,1356292.0,2.61,
備供出售金融資產未實現評價損益,3211590.0,6.73,-5359605.0,-10.31,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,601755.0,1.26,-722480.0,-1.39,
與可能重分類之項目相關之所得稅,-121236.0,-0.25,184284.0,0.35,
其他綜合損益（淨額）,2874768.0,6.03,-4910077.0,-9.44,
本期綜合損益總額,6518453.0,13.67,2272897.0,4.37,
母公司業主（淨利／損）,3643685.0,7.64,7182974.0,13.82,
母公司業主（綜合損益）,6518453.0,13.67,2272897.0,4.37,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.57,,1.13,,
基本每股盈餘,0.57,,1.13,,
