民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,4451984.0,7973520.0,,,,
本期稅前淨利（淨損）,4451984.0,7973520.0,,,,
折舊費用,1895668.0,1903069.0,,,,
攤銷費用,241165.0,152302.0,,,,
呆帳費用提列（轉列收入）數,197.0,-1126.0,,,,
利息費用,361212.0,379665.0,,,,
利息收入,-80637.0,-128835.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-1902405.0,-4182677.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-5705.0,-16456.0,,,,
不動產、廠房及設備轉列費用數,0.0,854.0,,,,
處分投資損失（利益）,-159813.0,0.0,,,,
處分採用權益法之投資損失（利益）,0.0,-2627625.0,,,,
未實現外幣兌換損失（利益）,-381420.0,-137243.0,,,,
收益費損項目合計,-31738.0,-4658072.0,,,,
應收票據（增加）減少,38830.0,85096.0,,,,
應收帳款（增加）減少,181302.0,1231295.0,,,,
應收帳款－關係人（增加）減少,-179472.0,-261867.0,,,,
其他應收款（增加）減少,13185.0,431482.0,,,,
其他應收款－關係人（增加）減少,-143039.0,-153168.0,,,,
存貨（增加）減少,3892369.0,-3305058.0,,,,
其他流動資產（增加）減少,149892.0,-412895.0,,,,
與營業活動相關之資產之淨變動合計,3953067.0,-2385115.0,,,,
應付帳款增加（減少）,-3903561.0,-2373657.0,,,,
應付帳款－關係人增加（減少）,1760949.0,-998624.0,,,,
其他應付款增加（減少）,1149840.0,106705.0,,,,
其他應付款－關係人增加（減少）,76908.0,-20731.0,,,,
其他流動負債增加（減少）,2846849.0,1651007.0,,,,
淨確定福利負債增加(減少),-112597.0,-36699.0,,,,
與營業活動相關之負債之淨變動合計,1818388.0,-1671999.0,,,,
與營業活動相關之資產及負債之淨變動合計,5771455.0,-4057114.0,,,,
調整項目合計,5739717.0,-8715186.0,,,,
營運產生之現金流入（流出）,10191701.0,-741666.0,,,,
收取之利息,82055.0,87913.0,,,,
收取之股利,120300.0,0.0,,,,
支付之利息,-184061.0,-164290.0,,,,
退還（支付）之所得稅,-8732.0,-135120.0,,,,
營業活動之淨現金流入（流出）,10201263.0,-953163.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,0.0,-965.0,,,,
處分備供出售金融資產,308707.0,0.0,,,,
取得以成本衡量之金融資產,-25000.0,0.0,,,,
處分採用權益法之投資,0.0,3776928.0,,,,
取得不動產、廠房及設備,-865048.0,-2739134.0,,,,
處分不動產、廠房及設備,7398.0,16701.0,,,,
其他應收款－關係人減少,932255.0,874309.0,,,,
其他非流動資產增加,-475463.0,-601172.0,,,,
投資活動之淨現金流入（流出）,-117151.0,1326667.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,22562214.0,48951384.0,,,,
短期借款減少,-25403685.0,-50045732.0,,,,
應付短期票券減少,0.0,-3099844.0,,,,
舉借長期借款,3100000.0,5363750.0,,,,
償還長期借款,-4737464.0,-633514.0,,,,
其他應付款－關係人增加,0.0,11816.0,,,,
其他應付款－關係人減少,-6712.0,0.0,,,,
其他非流動負債增加,26336.0,49460.0,,,,
發放現金股利,-3712.0,-2576.0,,,,
籌資活動之淨現金流入（流出）,-4463023.0,594744.0,,,,
匯率變動對現金及約當現金之影響,102070.0,-32336.0,,,,
本期現金及約當現金增加（減少）數,5723159.0,935912.0,,,,
期初現金及約當現金餘額,5392825.0,7672877.0,,,,
期末現金及約當現金餘額,11115984.0,8608789.0,,,,
資產負債表帳列之現金及約當現金,11115984.0,8608789.0,,,,
