會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,26569.0,55967.0,95792.0,84755.0
本期稅前淨利（淨損）,26569.0,55967.0,95792.0,84755.0
折舊費用,43682.0,90363.0,138527.0,181886.0
攤銷費用,2442.0,5047.0,7682.0,10127.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,0.0,0.0,0.0,0.0
利息費用,997.0,2349.0,3906.0,5356.0
利息收入,-20.0,-67.0,-77.0,-296.0
採用權益法認列之關聯企業及合資損失（利益）之份額,2678.0,20437.0,48647.0,102654.0
處分及報廢不動產、廠房及設備損失（利益）,10.0,10.0,-61.0,-59.0
未實現銷貨利益（損失）,0.0,0.0,0.0,1473.0
已實現銷貨損失（利益）,-884.0,-1089.0,0.0,-1762.0
未實現外幣兌換損失（利益）,-6422.0,-14858.0,-1578.0,-8912.0
收益費損項目合計,42483.0,102192.0,-25152.0,290467.0
應收票據（增加）減少,13864.0,13931.0,171894.0,13840.0
應收帳款（增加）減少,6777.0,16996.0,13892.0,30895.0
應收帳款－關係人（增加）減少,-49470.0,-41817.0,-73943.0,-76436.0
其他應收款（增加）減少,-7627.0,-6068.0,-27426.0,-3290.0
其他應收款－關係人（增加）減少,5524.0,7.0,-11484.0,5523.0
存貨（增加）減少,68926.0,3588.0,10295.0,108406.0
預付款項（增加）減少,-17561.0,4067.0,20281.0,-33716.0
其他流動資產（增加）減少,-8766.0,-11616.0,-21831.0,-492.0
與營業活動相關之資產之淨變動合計,11667.0,-20912.0,-7129.0,44730.0
合約負債增加（減少）,-17017.0,-12084.0,-97345.0,75201.0
應付票據增加（減少）,4388.0,37355.0,84909.0,-6438.0
應付帳款增加（減少）,0.0,101050.0,-3.0,976.0
應付帳款－關係人增加（減少）,87491.0,-9295.0,43725.0,-5393.0
其他應付款增加（減少）,-26338.0,-26523.0,-13621.0,1227.0
其他應付款－關係人增加（減少）,-55356.0,361.0,-17435.0,-4142.0
負債準備增加（減少）,-23157.0,193.0,-25695.0,-416.0
其他流動負債增加（減少）,3.0,-13349.0,66.0,158.0
淨確定福利負債增加(減少),-12740.0,77708.0,-13957.0,-14177.0
與營業活動相關之負債之淨變動合計,-42726.0,56796.0,57989.0,46996.0
與營業活動相關之資產及負債之淨變動合計,-31059.0,158988.0,-39356.0,91726.0
調整項目合計,11424.0,214955.0,132538.0,382193.0
營運產生之現金流入（流出）,37993.0,67.0,228330.0,466948.0
收取之利息,20.0,-2303.0,77.0,296.0
支付之利息,-964.0,-13494.0,-3961.0,-5424.0
退還（支付）之所得稅,-1558.0,199225.0,-18034.0,-18616.0
營業活動之淨現金流入（流出）,35491.0,,206412.0,443204.0
投資活動之現金流量,,-78004.0,,
取得按攤銷後成本衡量之金融資產,-11359.0,-1209.0,-107296.0,-5600.0
取得不動產、廠房及設備,-479.0,1900.0,80.0,-137483.0
處分不動產、廠房及設備,1300.0,-4036.0,-1805.0,80.0
存出保證金增加,-1096.0,-81349.0,2829.0,-2409.0
存出保證金減少,-11634.0,,-4036.0,4397.0
取得無形資產,,1643065.0,-110228.0,-4932.0
投資活動之淨現金流入（流出）,799560.0,-1661895.0,,-145947.0
籌資活動之現金流量,-736500.0,130000.0,3343065.0,
短期借款增加,100000.0,-190000.0,-3291895.0,3913065.0
短期借款減少,-190000.0,-4510.0,260000.0,-3991895.0
應付短期票券增加,-1263.0,121.0,-350000.0,260000.0
應付短期票券減少,121.0,-83219.0,-7631.0,-350000.0
租賃本金償還,-28082.0,58.0,-45738.0,-10680.0
發放現金股利,27.0,34715.0,121.0,-45738.0
其他籌資活動,-4198.0,82641.0,-92078.0,99.0
籌資活動之淨現金流入（流出）,82641.0,117356.0,116.0,-225149.0
匯率變動對現金及約當現金之影響,78443.0,117356.0,4222.0,84.0
本期現金及約當現金增加（減少）數,78443.0,,82641.0,72192.0
