民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,1285005.0,100.48,1295766.0,100.37,
銷貨退回,737.0,0.06,593.0,0.05,
銷貨折讓,5412.0,0.42,4136.0,0.32,
銷貨收入淨額,1278856.0,100.0,1291037.0,100.0,
營業收入合計,1278856.0,100.0,1291037.0,100.0,
銷貨成本,1195252.0,93.46,1216439.0,94.22,
營業成本合計,1195252.0,93.46,1216439.0,94.22,
營業毛利（毛損）,83604.0,6.54,74598.0,5.78,
營業毛利（毛損）淨額,83604.0,6.54,74598.0,5.78,
營業費用,,,,,
推銷費用,57208.0,4.47,53077.0,4.11,
管理費用,35444.0,2.77,38061.0,2.95,
研究發展費用,2375.0,0.19,2437.0,0.19,
營業費用合計,95027.0,7.43,93575.0,7.25,
營業利益（損失）,-11423.0,-0.89,-18977.0,-1.47,
營業外收入及支出,,,,,
其他收入,3113.0,0.24,3936.0,0.3,
其他利益及損失淨額,13571.0,1.06,7083.0,0.55,
財務成本淨額,3943.0,0.31,5992.0,0.46,
採用權益法認列之關聯企業及合資損益之份額淨額,2906.0,0.23,15396.0,1.19,
營業外收入及支出合計,15647.0,1.22,20423.0,1.58,
稅前淨利（淨損）,4224.0,0.33,1446.0,0.11,
所得稅費用（利益）合計,-1.0,0.0,0.0,0.0,
繼續營業單位本期淨利（淨損）,4225.0,0.33,1446.0,0.11,
本期淨利（淨損）,4225.0,0.33,1446.0,0.11,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-5526.0,-0.43,-2131.0,-0.17,
備供出售金融資產未實現評價損益,5898.0,0.46,-715.0,-0.06,
與可能重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,
其他綜合損益（淨額）,372.0,0.03,-2846.0,-0.22,
本期綜合損益總額,4597.0,0.36,-1400.0,-0.11,
母公司業主（淨利／損）,4225.0,0.33,1446.0,0.11,
母公司業主（綜合損益）,4597.0,0.36,-1400.0,-0.11,
基本每股盈餘,,,,,
基本每股盈餘,0.02,,0.01,,
