民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,346981.0,3.44,262191.0,2.69,189203.0,2.06,,
透過損益按公允價值衡量之金融資產－流動,22324.0,0.22,20826.0,0.21,20756.0,0.23,,
應收票據淨額,42321.0,0.42,57742.0,0.59,62064.0,0.68,,
應收帳款淨額,518900.0,5.14,359517.0,3.69,434198.0,4.73,,
其他應收款淨額,24244.0,0.24,27122.0,0.28,36352.0,0.4,,
本期所得稅資產,25.0,0.0,26.0,0.0,44.0,0.0,,
存貨,577709.0,5.72,714141.0,7.33,739729.0,8.06,,
預付款項,37709.0,0.37,21317.0,0.22,41130.0,0.45,,
其他流動資產,5981.0,0.06,4475.0,0.05,654.0,0.01,,
流動資產合計,1576194.0,15.62,1467357.0,15.07,1524130.0,16.6,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,83331.0,0.83,104646.0,1.07,90675.0,0.99,,
以成本衡量之金融資產－非流動淨額,262851.0,2.6,262851.0,2.7,289797.0,3.16,,
採用權益法之投資淨額,335295.0,3.32,332389.0,3.41,351852.0,3.83,,
不動產、廠房及設備,7438602.0,73.71,7196116.0,73.91,6573895.0,71.59,,
投資性不動產淨額,304489.0,3.02,284053.0,2.92,284053.0,3.09,,
遞延所得稅資產,11277.0,0.11,11277.0,0.12,10603.0,0.12,,
其他非流動資產,79580.0,0.79,78153.0,0.8,57094.0,0.62,,
非流動資產合計,8515425.0,84.38,8269485.0,84.93,7657969.0,83.4,,
資產總計,10091619.0,100.0,9736842.0,100.0,9182099.0,100.0,,
流動負債,,,,,,,,
短期借款,363586.0,3.6,333260.0,3.42,659344.0,7.18,,
透過損益按公允價值衡量之金融負債－流動,0.0,0.0,0.0,0.0,0.0,0.0,,
應付票據,79584.0,0.79,97119.0,1.0,9153.0,0.1,,
應付帳款,450277.0,4.46,379895.0,3.9,416849.0,4.54,,
其他應付款,239950.0,2.38,272196.0,2.8,226636.0,2.47,,
其他應付款項－關係人,2827.0,0.03,1977.0,0.02,1698.0,0.02,,
本期所得稅負債,30.0,0.0,30.0,0.0,55.0,0.0,,
負債準備－流動,388.0,0.0,392.0,0.0,0.0,0.0,,
其他流動負債,25789.0,0.26,19223.0,0.2,57803.0,0.63,,
流動負債合計,1162431.0,11.52,1104092.0,11.34,1371538.0,14.94,,
非流動負債,,,,,,,,
長期借款,2150000.0,21.3,1850000.0,19.0,870000.0,9.47,,
負債準備－非流動,7835.0,0.08,7625.0,0.08,8197.0,0.09,,
遞延所得稅負債,1356115.0,13.44,1356115.0,13.93,1351974.0,14.72,,
其他非流動負債,454082.0,4.5,462451.0,4.75,491490.0,5.35,,
非流動負債合計,3968032.0,39.32,3676191.0,37.76,2721661.0,29.64,,
負債總計,5130463.0,50.84,4780283.0,49.09,4093199.0,44.58,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,2272283.0,22.52,2272283.0,23.34,2272283.0,24.75,,
股本合計,2272283.0,22.52,2272283.0,23.34,2272283.0,24.75,,
資本公積,,,,,,,,
資本公積－庫藏股票交易,7112.0,0.07,7112.0,0.07,7112.0,0.08,,
資本公積－其他,680.0,0.01,680.0,0.01,680.0,0.01,,
資本公積合計,7792.0,0.08,7792.0,0.08,7792.0,0.08,,
保留盈餘,,,,,,,,
法定盈餘公積,0.0,0.0,0.0,0.0,0.0,0.0,,
特別盈餘公積,2978245.0,29.51,2978245.0,30.59,2978245.0,32.44,,
未分配盈餘（或待彌補虧損）,-268340.0,-2.66,-272565.0,-2.8,-116713.0,-1.27,,
保留盈餘合計,2709905.0,26.85,2705680.0,27.79,2861532.0,31.16,,
其他權益,,,,,,,,
國外營運機構財務報表換算之兌換差額,17271.0,0.17,22798.0,0.23,4880.0,0.05,,
備供出售金融資產未實現損益,-9906.0,-0.1,-15805.0,-0.16,-21398.0,-0.23,,
其他權益合計,7365.0,0.07,6993.0,0.07,-16518.0,-0.18,,
庫藏股票,-36189.0,-0.36,-36189.0,-0.37,-36189.0,-0.39,,
歸屬於母公司業主之權益合計,4961156.0,49.16,4956559.0,50.91,5088900.0,55.42,,
權益總計,4961156.0,49.16,4956559.0,50.91,5088900.0,55.42,,
負債及權益總計,10091619.0,100.0,9736842.0,100.0,9182099.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,6542716.0,,6542716.0,,6542716.0,,,
