民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,4224.0,1446.0,,,,
本期稅前淨利（淨損）,4224.0,1446.0,,,,
折舊費用,36468.0,36886.0,,,,
攤銷費用,350.0,345.0,,,,
呆帳費用提列（轉列收入）數,247.0,555.0,,,,
利息費用,3943.0,5992.0,,,,
利息收入,-269.0,-270.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-2906.0,-15396.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,252.0,-11.0,,,,
處分投資損失（利益）,-27554.0,0.0,,,,
收益費損項目合計,10531.0,28101.0,,,,
持有供交易之金融資產（增加）減少,-1498.0,-593.0,,,,
應收票據（增加）減少,15421.0,-2133.0,,,,
應收帳款（增加）減少,-159566.0,174753.0,,,,
其他應收款（增加）減少,2878.0,-15321.0,,,,
存貨（增加）減少,136432.0,-132558.0,,,,
預付款項（增加）減少,-16392.0,-1850.0,,,,
其他流動資產（增加）減少,3813.0,987.0,,,,
與營業活動相關之資產之淨變動合計,-18912.0,23285.0,,,,
持有供交易之金融負債增加（減少）,0.0,0.0,,,,
應付票據增加（減少）,-17535.0,1200.0,,,,
應付帳款增加（減少）,70382.0,-123018.0,,,,
其他應付款增加（減少）,-33403.0,-56202.0,,,,
其他應付款－關係人增加（減少）,850.0,-166.0,,,,
負債準備增加（減少）,210.0,217.0,,,,
其他流動負債增加（減少）,6566.0,5485.0,,,,
淨確定福利負債增加(減少),-8369.0,-13824.0,,,,
與營業活動相關之負債之淨變動合計,18701.0,-186308.0,,,,
與營業活動相關之資產及負債之淨變動合計,-211.0,-163023.0,,,,
調整項目合計,10320.0,-134922.0,,,,
營運產生之現金流入（流出）,14544.0,-133476.0,,,,
收取之利息,269.0,270.0,,,,
支付之利息,-3827.0,-5549.0,,,,
退還（支付）之所得稅,2.0,1.0,,,,
營業活動之淨現金流入（流出）,10988.0,-138754.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,0.0,0.0,,,,
處分備供出售金融資產,54767.0,6585.0,,,,
取得不動產、廠房及設備,-303196.0,-226534.0,,,,
處分不動產、廠房及設備,-238.0,0.0,,,,
存出保證金增加,55.0,-16.0,,,,
取得投資性不動產,0.0,0.0,,,,
預付設備款增加,-2386.0,-1000.0,,,,
投資活動之淨現金流入（流出）,-250998.0,-220965.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,30326.0,250000.0,,,,
舉借長期借款,300000.0,0.0,,,,
償還長期借款,0.0,-20000.0,,,,
籌資活動之淨現金流入（流出）,330326.0,230000.0,,,,
匯率變動對現金及約當現金之影響,-5526.0,-2131.0,,,,
本期現金及約當現金增加（減少）數,84790.0,-131850.0,,,,
期初現金及約當現金餘額,262191.0,321053.0,,,,
期末現金及約當現金餘額,346981.0,189203.0,,,,
資產負債表帳列之現金及約當現金,346981.0,189203.0,,,,
