民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,7834.0,135997.0,,,,
本期稅前淨利（淨損）,7834.0,135997.0,,,,
折舊費用,72568.0,65913.0,,,,
攤銷費用,1368.0,1321.0,,,,
呆帳費用提列（轉列收入）數,51.0,0.0,,,,
利息費用,6515.0,10592.0,,,,
利息收入,-2161.0,-3915.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,220.0,0.0,,,,
處分投資損失（利益）,-134.0,-5762.0,,,,
其他項目,985.0,970.0,,,,
收益費損項目合計,79412.0,69119.0,,,,
應收票據（增加）減少,129661.0,-19452.0,,,,
應收票據－關係人（增加）減少,5199.0,-3443.0,,,,
應收帳款（增加）減少,105635.0,9419.0,,,,
應收帳款－關係人（增加）減少,65.0,2026.0,,,,
其他應收款（增加）減少,15758.0,41981.0,,,,
存貨（增加）減少,-34280.0,-59358.0,,,,
預付款項（增加）減少,-47654.0,12874.0,,,,
其他流動資產（增加）減少,-236.0,-8472.0,,,,
與營業活動相關之資產之淨變動合計,174148.0,-24425.0,,,,
應付票據增加（減少）,-46519.0,-23243.0,,,,
應付票據－關係人增加（減少）,-447.0,-454.0,,,,
應付帳款增加（減少）,-20255.0,-26845.0,,,,
應付帳款－關係人增加（減少）,-283.0,0.0,,,,
其他應付款增加（減少）,-29829.0,-18128.0,,,,
其他流動負債增加（減少）,276.0,-4451.0,,,,
淨確定福利負債增加(減少),-231.0,-340.0,,,,
與營業活動相關之負債之淨變動合計,-97288.0,-73461.0,,,,
與營業活動相關之資產及負債之淨變動合計,76860.0,-97886.0,,,,
調整項目合計,156272.0,-28767.0,,,,
營運產生之現金流入（流出）,164106.0,107230.0,,,,
支付之利息,-6018.0,-10593.0,,,,
退還（支付）之所得稅,-2824.0,-18015.0,,,,
營業活動之淨現金流入（流出）,155264.0,78622.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-95333.0,-200095.0,,,,
處分備供出售金融資產,60581.0,117197.0,,,,
取得不動產、廠房及設備,-80069.0,-13254.0,,,,
存出保證金減少,977.0,5.0,,,,
其他非流動資產增加,0.0,19566.0,,,,
其他非流動資產減少,-5435.0,0.0,,,,
收取之利息,2153.0,3529.0,,,,
投資活動之淨現金流入（流出）,-117126.0,-73052.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,3186.0,127890.0,,,,
舉借長期借款,927864.0,0.0,,,,
償還長期借款,-928651.0,-149653.0,,,,
存入保證金增加,787.0,372.0,,,,
其他非流動負債增加,0.0,1500.0,,,,
其他非流動負債減少,-43290.0,0.0,,,,
籌資活動之淨現金流入（流出）,-40104.0,-19891.0,,,,
匯率變動對現金及約當現金之影響,-1402.0,-9933.0,,,,
本期現金及約當現金增加（減少）數,-3368.0,-24254.0,,,,
期初現金及約當現金餘額,746356.0,929771.0,,,,
期末現金及約當現金餘額,742988.0,905517.0,,,,
資產負債表帳列之現金及約當現金,742988.0,905517.0,,,,
