民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,21820.0,97.72,37581.0,99.77,
金融資產（負債）出售淨利益,510.0,2.28,88.0,0.23,
投資收入,510.0,2.28,88.0,0.23,
營業收入合計,22330.0,100.0,37669.0,100.0,
銷貨成本,21691.0,97.14,35296.0,93.7,
營業成本合計,21691.0,97.14,35296.0,93.7,
營業毛利（毛損）,639.0,2.86,2373.0,6.3,
營業毛利（毛損）淨額,639.0,2.86,2373.0,6.3,
營業費用,,,,,
推銷費用,356.0,1.59,449.0,1.19,
管理費用,4324.0,19.36,5660.0,15.03,
研究發展費用,185.0,0.83,152.0,0.4,
營業費用合計,4865.0,21.79,6261.0,16.62,
營業利益（損失）,-4226.0,-18.93,-3888.0,-10.32,
營業外收入及支出,,,,,
其他收入,1843.0,8.25,6912.0,18.35,
其他利益及損失淨額,4757.0,21.3,6520.0,17.31,
財務成本淨額,5604.0,25.1,3653.0,9.7,
採用權益法認列之關聯企業及合資損益之份額淨額,3182.0,14.25,21773.0,57.8,
營業外收入及支出合計,4178.0,18.71,31552.0,83.76,
稅前淨利（淨損）,-48.0,-0.21,27664.0,73.44,
所得稅費用（利益）合計,144.0,0.64,-48.0,-0.13,
繼續營業單位本期淨利（淨損）,-192.0,-0.86,27712.0,73.57,
本期淨利（淨損）,-192.0,-0.86,27712.0,73.57,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-6.0,-0.03,63.0,0.17,
備供出售金融資產未實現評價損益,20718.0,92.78,96569.0,256.36,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,1542.0,6.91,22766.0,60.44,
與可能重分類之項目相關之所得稅,-1.0,0.0,11.0,0.03,
其他綜合損益（淨額）,22255.0,99.66,119387.0,316.94,
本期綜合損益總額,22063.0,98.8,147099.0,390.5,
母公司業主（淨利／損）,-192.0,-0.86,27812.0,73.83,
非控制權益（淨利／損）,0.0,0.0,-100.0,-0.27,
母公司業主（綜合損益）,22063.0,98.8,147199.0,390.77,
非控制權益（綜合損益）,0.0,0.0,-100.0,-0.27,
基本每股盈餘,,,,,
基本每股盈餘,0.0,,0.51,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.0,,0.51,,
