會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,331380.0,714879.0,968552.0,591084.0
本期稅前淨利（淨損）,331380.0,714879.0,968552.0,591084.0
折舊費用,158696.0,327311.0,498858.0,667263.0
攤銷費用,18700.0,39102.0,59975.0,81287.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-3400.0,-4131.0,-5320.0,-3008.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-5209.0,-16699.0,-75730.0,-13374.0
利息費用,13423.0,27979.0,45982.0,66560.0
利息收入,-6559.0,-13576.0,-22748.0,-35791.0
股利收入,-37741.0,-100604.0,-2508.0,-2508.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-5.0,-340.0,-101010.0,-27260.0
處分及報廢不動產、廠房及設備損失（利益）,-41.0,-167.0,-1517.0,-2895.0
處分投資損失（利益）,-25747.0,-6610.0,-47.0,-51.0
非金融資產減損損失,-210.0,-180.0,34276.0,107625.0
未實現銷貨利益（損失）,-34145.0,5927.0,-68.0,-988.0
未實現外幣兌換損失（利益）,77762.0,-2963.0,-50756.0,-25692.0
其他項目,45.0,255049.0,-10947.0,-10958.0
收益費損項目合計,184679.0,36171.0,368440.0,800210.0
強制透過損益按公允價值衡量之金融資產（增加）減少,117345.0,178196.0,67262.0,67266.0
應收票據（增加）減少,-688165.0,162359.0,177614.0,94139.0
應收帳款（增加）減少,-48165.0,-849963.0,255584.0,397429.0
存貨（增加）減少,-1367.0,56749.0,-395462.0,-60292.0
預付款項（增加）減少,221667.0,6.0,70932.0,157869.0
其他流動資產（增加）減少,-526.0,217495.0,15994.0,-44.0
其他金融資產（增加）減少,-214487.0,1632.0,449962.0,383982.0
其他營業資產（增加）減少,-99738.0,-197355.0,-1371.0,-743.0
與營業活動相關之資產之淨變動合計,89264.0,-108760.0,640515.0,1039606.0
應付票據增加（減少）,-73411.0,-292536.0,-130310.0,-96702.0
應付帳款增加（減少）,202438.0,-132683.0,-501659.0,-592724.0
其他應付款增加（減少）,2364.0,-119696.0,-76696.0,-118149.0
其他流動負債增加（減少）,120917.0,-5902.0,-136275.0,-169881.0
淨確定福利負債增加(減少),-93570.0,-659577.0,-5222.0,-14119.0
與營業活動相關之負債之淨變動合計,-15808.0,-856932.0,-850162.0,-991575.0
與營業活動相關之資產及負債之淨變動合計,315572.0,-601883.0,-209647.0,48031.0
調整項目合計,6846.0,112996.0,158793.0,848241.0
營運產生之現金流入（流出）,-13546.0,14675.0,1127345.0,1439325.0
收取之利息,-2436.0,21479.0,23450.0,34969.0
收取之股利,306436.0,-27337.0,23693.0,39874.0
支付之利息,,-19556.0,-44895.0,-65131.0
退還（支付）之所得稅,-241658.0,102257.0,-22259.0,-19581.0
營業活動之淨現金流入（流出）,5.0,,1107334.0,1429456.0
投資活動之現金流量,-2444.0,-7332.0,,
取得採用權益法之投資,-1293.0,0.0,-34306.0,-34306.0
處分採用權益法之投資,-245390.0,-344658.0,5994.0,5994.0
取得不動產、廠房及設備,,702.0,-327059.0,-524036.0
處分不動產、廠房及設備,390410.0,0.0,2102.0,3668.0
存出保證金增加,-200000.0,-2448.0,0.0,-2385.0
存出保證金減少,300000.0,-29000.0,-2558.0,0.0
其他應收款－關係人增加,-375000.0,-2008.0,8000.0,-32000.0
取得無形資產,1416.0,-384744.0,-3296.0,-4260.0
取得投資性不動產,-343204.0,,-351123.0,0.0
投資活動之淨現金流入（流出）,-1756.0,264497.0,,-587325.0
籌資活動之現金流量,-228134.0,-990000.0,696880.0,
短期借款增加,28672.0,800000.0,-960000.0,134263.0
應付短期票券增加,-138416.0,-675000.0,1200000.0,0.0
應付短期票券減少,1743244.0,1054.0,-1075000.0,-910000.0
舉借長期借款,1604828.0,74153.0,-484.0,1500000.0
償還長期借款,1604828.0,-4006.0,-440728.0,-1275000.0
