會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
營業收入合計,3870828.0,100.0,3852164.0,100.0,4093050.0,100.0,16189529.0,100.0
營業成本合計,3166249.0,81.8,3075046.0,79.83,3199645.0,78.17,12907654.0,79.73
營業毛利（毛損）,704579.0,18.2,777118.0,20.17,893405.0,21.83,3281875.0,20.27
營業毛利（毛損）淨額,704579.0,18.2,777118.0,20.17,893405.0,21.83,3281875.0,20.27
營業費用,,,,,,,,
推銷費用,342680.0,8.85,382954.0,9.94,426796.0,10.43,1608761.0,9.94
管理費用,112297.0,2.9,115113.0,2.99,118854.0,2.9,463276.0,2.86
研究發展費用,106954.0,2.76,109677.0,2.85,124999.0,3.05,462335.0,2.86
預期信用減損損失（利益）,3009.0,0.08,5964.0,0.15,339.0,0.01,16310.0,0.1
營業費用合計,564940.0,14.59,613708.0,15.93,670988.0,16.39,2550682.0,15.76
營業利益（損失）,139639.0,3.61,163410.0,4.24,222417.0,5.43,731193.0,4.52
營業外收入及支出,,,,,,,,
利息收入,353.0,0.01,1265.0,0.03,1238.0,0.03,5786.0,0.04
其他收入,7105.0,0.18,15565.0,0.4,11454.0,0.28,43720.0,0.27
其他利益及損失淨額,15179.0,0.39,17410.0,0.45,41889.0,1.02,40116.0,0.25
財務成本淨額,11047.0,0.29,14538.0,0.38,17462.0,0.43,61348.0,0.38
營業外收入及支出合計,11590.0,0.3,19702.0,0.51,37119.0,0.91,28274.0,0.17
稅前淨利（淨損）,151229.0,3.91,183112.0,4.75,259536.0,6.34,759467.0,4.69
所得稅費用（利益）合計,41110.0,1.06,35808.0,0.93,59516.0,1.45,162467.0,1.0
繼續營業單位本期淨利（淨損）,110119.0,2.84,147304.0,3.82,200020.0,4.89,597000.0,3.69
本期淨利（淨損）,110119.0,2.84,147304.0,3.82,200020.0,4.89,597000.0,3.69
其他綜合損益(淨額),,,,,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,1499.0,0.04,-4445.0,-0.12,17053.0,0.42,-2814.0,-0.02
不重分類至損益之項目：,1499.0,0.04,-4445.0,-0.12,17053.0,0.42,10984.0,0.07
國外營運機構財務報表換算之兌換差額,68015.0,1.76,12884.0,0.33,80219.0,1.96,-563.0,0.0
與可能重分類之項目相關之所得稅,0.0,0.0,0.0,0.0,0.0,0.0,8733.0,0.05
後續可能重分類至損益之項目：,68015.0,1.76,12884.0,0.33,80219.0,1.96,127086.0,0.78
其他綜合損益（淨額）,69514.0,1.8,8439.0,0.22,97272.0,2.38,0.0,0.0
本期綜合損益總額,179633.0,4.64,155743.0,4.04,297292.0,7.26,127086.0,0.78
淨利（損）歸屬於：,,,,,,,135819.0,0.84
母公司業主（淨利∕損）,83614.0,2.16,115338.0,2.99,194205.0,4.74,732819.0,4.53
非控制權益（淨利∕損）,26505.0,0.68,31966.0,0.83,0.0,0.0,,
母公司業主（綜合損益）,119711.0,3.09,112108.0,2.91,5815.0,0.14,528230.0,3.26
非控制權益（綜合損益）,59922.0,1.55,43635.0,1.13,253075.0,6.18,3394.0,0.02
基本每股盈餘,,,,,0.0,0.0,65376.0,0.4
基本每股盈餘,0.73,,1.01,,44217.0,1.08,603957.0,3.73
稀釋每股盈餘,,,,,,,3394.0,0.02
稀釋每股盈餘,0.73,,1.0,,1.69,,125468.0,0.77
