民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,118110.0,23641.0,,,,
本期稅前淨利（淨損）,118110.0,23641.0,,,,
折舊費用,53381.0,35663.0,,,,
攤銷費用,818.0,662.0,,,,
呆帳費用提列（轉列收入）數,0.0,-296.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-207.0,-13312.0,,,,
利息費用,8385.0,7533.0,,,,
利息收入,-142.0,-1238.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,289.0,-53.0,,,,
處分投資損失（利益）,0.0,-126.0,,,,
非金融資產減損損失,0.0,1106.0,,,,
未實現外幣兌換損失（利益）,-7482.0,5546.0,,,,
其他項目,221.0,213.0,,,,
收益費損項目合計,55263.0,35698.0,,,,
持有供交易之金融資產（增加）減少,6894.0,-78842.0,,,,
應收票據（增加）減少,-29398.0,-19830.0,,,,
應收帳款（增加）減少,-123821.0,117773.0,,,,
其他應收款（增加）減少,-418.0,544.0,,,,
存貨（增加）減少,131128.0,-141443.0,,,,
其他流動資產（增加）減少,-156127.0,-62658.0,,,,
與營業活動相關之資產之淨變動合計,-171742.0,-184456.0,,,,
應付帳款增加（減少）,-47042.0,-7490.0,,,,
其他應付款增加（減少）,-71985.0,-66929.0,,,,
其他流動負債增加（減少）,-4835.0,-116.0,,,,
淨確定福利負債增加(減少),-6462.0,-363.0,,,,
與營業活動相關之負債之淨變動合計,-130324.0,-74898.0,,,,
與營業活動相關之資產及負債之淨變動合計,-302066.0,-259354.0,,,,
調整項目合計,-246803.0,-223656.0,,,,
營運產生之現金流入（流出）,-128693.0,-200015.0,,,,
收取之利息,142.0,1238.0,,,,
支付之利息,-7822.0,-6639.0,,,,
退還（支付）之所得稅,0.0,6916.0,,,,
營業活動之淨現金流入（流出）,-136373.0,-198500.0,,,,
投資活動之現金流量,,,,,,
取得無活絡市場之債務工具投資,0.0,-556.0,,,,
取得不動產、廠房及設備,-27212.0,-190185.0,,,,
處分不動產、廠房及設備,54.0,53.0,,,,
存出保證金減少,56.0,226.0,,,,
取得無形資產,-2734.0,-500.0,,,,
投資活動之淨現金流入（流出）,-29836.0,-190962.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,196342.0,435253.0,,,,
舉借長期借款,0.0,70000.0,,,,
償還長期借款,-19764.0,-19764.0,,,,
其他非流動負債減少,-5.0,-1023.0,,,,
籌資活動之淨現金流入（流出）,176573.0,484466.0,,,,
匯率變動對現金及約當現金之影響,188.0,765.0,,,,
本期現金及約當現金增加（減少）數,10552.0,95769.0,,,,
期初現金及約當現金餘額,240860.0,211074.0,,,,
期末現金及約當現金餘額,251412.0,306843.0,,,,
資產負債表帳列之現金及約當現金,251412.0,306843.0,,,,
