民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,1677670.0,100.0,1290135.0,100.0,
營業成本合計,1310156.0,78.09,1013125.0,78.53,
營業毛利（毛損）,367514.0,21.91,277010.0,21.47,
未實現銷貨（損）益,0.0,0.0,0.0,0.0,
已實現銷貨（損）益,0.0,0.0,0.0,0.0,
營業毛利（毛損）淨額,367514.0,21.91,277010.0,21.47,
營業費用,,,,,
推銷費用,182364.0,10.87,192579.0,14.93,
管理費用,54194.0,3.23,50736.0,3.93,
研究發展費用,16837.0,1.0,23073.0,1.79,
營業費用合計,253395.0,15.1,266388.0,20.65,
營業利益（損失）,114119.0,6.8,10622.0,0.82,
營業外收入及支出,,,,,
其他收入,14188.0,0.85,11416.0,0.88,
其他利益及損失淨額,-1812.0,-0.11,9136.0,0.71,
財務成本淨額,8385.0,0.5,7533.0,0.58,
營業外收入及支出合計,3991.0,0.24,13019.0,1.01,
稅前淨利（淨損）,118110.0,7.04,23641.0,1.83,
所得稅費用（利益）合計,20127.0,1.2,-3061.0,-0.24,
繼續營業單位本期淨利（淨損）,97983.0,5.84,26702.0,2.07,
本期淨利（淨損）,97983.0,5.84,26702.0,2.07,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-2863.0,-0.17,1600.0,0.12,
其他綜合損益（淨額）,-2863.0,-0.17,1600.0,0.12,
本期綜合損益總額,95120.0,5.67,28302.0,2.19,
母公司業主（淨利／損）,98452.0,5.87,25917.0,2.01,
非控制權益（淨利／損）,-469.0,-0.03,785.0,0.06,
母公司業主（綜合損益）,95810.0,5.71,27392.0,2.12,
非控制權益（綜合損益）,-690.0,-0.04,910.0,0.07,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.66,,0.17,,
基本每股盈餘,0.66,,0.17,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.66,,0.17,,
稀釋每股盈餘,0.66,,0.17,,
