民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,2325248.0,100.0,2459447.0,100.0,
營業收入合計,2325248.0,100.0,2459447.0,100.0,
營業成本合計,2139275.0,92.0,2269671.0,92.28,
營業毛利（毛損）,185973.0,8.0,189776.0,7.72,
營業毛利（毛損）淨額,185973.0,8.0,189776.0,7.72,
營業費用,,,,,
推銷費用,112442.0,4.84,100878.0,4.1,
管理費用,45284.0,1.95,44239.0,1.8,
研究發展費用,6293.0,0.27,6396.0,0.26,
營業費用合計,164019.0,7.05,151513.0,6.16,
營業利益（損失）,21954.0,0.94,38263.0,1.56,
營業外收入及支出,,,,,
其他收入,7669.0,0.33,11641.0,0.47,
其他利益及損失淨額,-549.0,-0.02,469.0,0.02,
財務成本淨額,3839.0,0.17,2816.0,0.11,
採用權益法認列之關聯企業及合資損益之份額淨額,1146.0,0.05,3602.0,0.15,
營業外收入及支出合計,4427.0,0.19,12896.0,0.52,
稅前淨利（淨損）,26381.0,1.13,51159.0,2.08,
所得稅費用（利益）合計,7393.0,0.32,7748.0,0.32,
繼續營業單位本期淨利（淨損）,18988.0,0.82,43411.0,1.77,
本期淨利（淨損）,18988.0,0.82,43411.0,1.77,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-878.0,-0.04,71.0,0.0,
與可能重分類之項目相關之所得稅,-126.0,-0.01,9.0,0.0,
其他綜合損益（淨額）,-752.0,-0.03,62.0,0.0,
本期綜合損益總額,18236.0,0.78,43473.0,1.77,
母公司業主（淨利／損）,22504.0,0.97,43755.0,1.78,
非控制權益（淨利／損）,-3516.0,-0.15,-344.0,-0.01,
母公司業主（綜合損益）,21888.0,0.94,43800.0,1.78,
非控制權益（綜合損益）,-3652.0,-0.16,-327.0,-0.01,
基本每股盈餘,,,,,
基本每股盈餘,0.07,,0.14,,
