民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,-362603.0,320712.0,,,,
停業單位稅前淨利（淨損）,-11978.0,0.0,,,,
本期稅前淨利（淨損）,-374581.0,320712.0,,,,
折舊費用,321928.0,287376.0,,,,
攤銷費用,2486.0,2564.0,,,,
呆帳費用提列（轉列收入）數,324.0,323.0,,,,
利息費用,76193.0,63683.0,,,,
利息收入,-5178.0,-6849.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-1284.0,-3640.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,21553.0,27620.0,,,,
非金融資產減損損失,0.0,0.0,,,,
收益費損項目合計,416022.0,371077.0,,,,
應收票據（增加）減少,59745.0,1840.0,,,,
應收帳款（增加）減少,-22151.0,-289600.0,,,,
應收帳款－關係人（增加）減少,42914.0,-11818.0,,,,
應收建造合約款（增加）減少,0.0,-810.0,,,,
其他應收款（增加）減少,4291.0,56365.0,,,,
存貨（增加）減少,-54658.0,-179782.0,,,,
預付款項（增加）減少,126842.0,-232819.0,,,,
其他流動資產（增加）減少,105145.0,-20987.0,,,,
其他營業資產（增加）減少,-26194.0,-52711.0,,,,
與營業活動相關之資產之淨變動合計,235934.0,-730322.0,,,,
應付票據增加（減少）,5886.0,11734.0,,,,
應付帳款增加（減少）,101317.0,393492.0,,,,
應付帳款－關係人增加（減少）,5469.0,9802.0,,,,
應付建造合約款增加（減少）,0.0,4351.0,,,,
其他應付款增加（減少）,-395752.0,-523752.0,,,,
負債準備增加（減少）,-33984.0,-11848.0,,,,
其他流動負債增加（減少）,-29025.0,65440.0,,,,
其他營業負債增加（減少）,-143357.0,-4636.0,,,,
與營業活動相關之負債之淨變動合計,-489446.0,-55417.0,,,,
與營業活動相關之資產及負債之淨變動合計,-253512.0,-785739.0,,,,
調整項目合計,162510.0,-414662.0,,,,
營運產生之現金流入（流出）,-212071.0,-93950.0,,,,
收取之利息,5178.0,6849.0,,,,
支付之利息,-71500.0,-47543.0,,,,
退還（支付）之所得稅,-70723.0,-56405.0,,,,
營業活動之淨現金流入（流出）,-349116.0,-191049.0,,,,
投資活動之現金流量,,,,,,
取得不動產、廠房及設備,-487175.0,-736636.0,,,,
處分不動產、廠房及設備,24447.0,7146.0,,,,
存出保證金減少,170186.0,44255.0,,,,
取得無形資產,-1958.0,-2334.0,,,,
取得投資性不動產,0.0,0.0,,,,
預付設備款增加,0.0,-145116.0,,,,
預付設備款減少,20289.0,0.0,,,,
投資活動之淨現金流入（流出）,-274211.0,-832685.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,753095.0,,,,
短期借款減少,-636221.0,0.0,,,,
應付短期票券增加,0.0,46100.0,,,,
應付短期票券減少,-49956.0,0.0,,,,
舉借長期借款,538294.0,96830.0,,,,
償還長期借款,-579462.0,-30054.0,,,,
存入保證金增加,22042.0,0.0,,,,
存入保證金減少,0.0,-3932.0,,,,
其他應付款－關係人增加,997900.0,0.0,,,,
其他非流動負債減少,0.0,0.0,,,,
發放現金股利,0.0,0.0,,,,
非控制權益變動,32.0,143.0,,,,
籌資活動之淨現金流入（流出）,292629.0,862182.0,,,,
匯率變動對現金及約當現金之影響,-13813.0,-1536.0,,,,
本期現金及約當現金增加（減少）數,-344511.0,-163088.0,,,,
期初現金及約當現金餘額,2651159.0,2933196.0,,,,
期末現金及約當現金餘額,2306648.0,2770108.0,,,,
資產負債表帳列之現金及約當現金,2306648.0,2770108.0,,,,
