民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,4742993.0,100.0,6611781.0,100.0,
營業成本合計,3481869.0,73.41,4551910.0,68.85,
營業毛利（毛損）,1261124.0,26.59,2059871.0,31.15,
營業毛利（毛損）淨額,1261124.0,26.59,2059871.0,31.15,
營業費用,,,,,
推銷費用,1235638.0,26.05,1327881.0,20.08,
管理費用,268814.0,5.67,268813.0,4.07,
研究發展費用,62092.0,1.31,68050.0,1.03,
營業費用合計,1566544.0,33.03,1664744.0,25.18,
營業利益（損失）,-305420.0,-6.44,395127.0,5.98,
營業外收入及支出,,,,,
其他收入,27582.0,0.58,28170.0,0.43,
其他利益及損失淨額,-9856.0,-0.21,-42542.0,-0.64,
財務成本淨額,76193.0,1.61,63683.0,0.96,
採用權益法認列之關聯企業及合資損益之份額淨額,1284.0,0.03,3640.0,0.06,
營業外收入及支出合計,-57183.0,-1.21,-74415.0,-1.13,
稅前淨利（淨損）,-362603.0,-7.65,320712.0,4.85,
所得稅費用（利益）合計,-45329.0,-0.96,84384.0,1.28,
繼續營業單位本期淨利（淨損）,-317274.0,-6.69,236328.0,3.57,
停業單位損益,,,,,
停業單位損益合計,-11978.0,-0.25,0.0,0.0,
本期淨利（淨損）,-329252.0,-6.94,236328.0,3.57,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-72042.0,-1.52,-19206.0,-0.29,
備供出售金融資產未實現評價損益,6635.0,0.14,4662.0,0.07,
與可能重分類之項目相關之所得稅,4669.0,0.1,0.0,0.0,
其他綜合損益（淨額）,-70076.0,-1.48,-14544.0,-0.22,
本期綜合損益總額,-399328.0,-8.42,221784.0,3.35,
母公司業主（淨利／損）,-293436.0,-6.19,254496.0,3.85,
非控制權益（淨利／損）,-35816.0,-0.76,-18168.0,-0.27,
母公司業主（綜合損益）,-358480.0,-7.56,241425.0,3.65,
非控制權益（綜合損益）,-40848.0,-0.86,-19641.0,-0.3,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,-0.57,,0.5,,
停業單位淨利（淨損）,-0.01,,0.0,,
基本每股盈餘,-0.58,,0.5,,
