民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,87374.0,32404.0,,,,
停業單位稅前淨利（淨損）,0.0,0.0,,,,
本期稅前淨利（淨損）,87374.0,32404.0,,,,
折舊費用,34511.0,32342.0,,,,
攤銷費用,6143.0,7542.0,,,,
利息費用,1301.0,1735.0,,,,
利息收入,-327.0,-572.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-448.0,8.0,,,,
其他項目,-3600.0,-4444.0,,,,
收益費損項目合計,37580.0,36611.0,,,,
應收票據（增加）減少,-31437.0,-5257.0,,,,
應收帳款（增加）減少,-61509.0,33530.0,,,,
其他應收款（增加）減少,4294.0,-1552.0,,,,
存貨（增加）減少,67621.0,56198.0,,,,
預付費用（增加）減少,-16411.0,2251.0,,,,
其他流動資產（增加）減少,-5228.0,-2680.0,,,,
與營業活動相關之資產之淨變動合計,-42670.0,82490.0,,,,
應付票據增加（減少）,-23326.0,-93204.0,,,,
應付帳款增加（減少）,-37991.0,-48067.0,,,,
其他應付款增加（減少）,-44279.0,-71311.0,,,,
負債準備增加（減少）,-243.0,0.0,,,,
其他流動負債增加（減少）,-6885.0,958.0,,,,
與營業活動相關之負債之淨變動合計,-112724.0,-211624.0,,,,
與營業活動相關之資產及負債之淨變動合計,-155394.0,-129134.0,,,,
調整項目合計,-117814.0,-92523.0,,,,
營運產生之現金流入（流出）,-30440.0,-60119.0,,,,
收取之利息,327.0,572.0,,,,
支付之利息,-478.0,-1728.0,,,,
退還（支付）之所得稅,-31.0,-12.0,,,,
營業活動之淨現金流入（流出）,-30622.0,-61287.0,,,,
投資活動之現金流量,,,,,,
處分備供出售金融資產,0.0,4944.0,,,,
取得不動產、廠房及設備,-72886.0,-79632.0,,,,
處分不動產、廠房及設備,448.0,0.0,,,,
存出保證金增加,606.0,-485.0,,,,
預付設備款增加,0.0,0.0,,,,
其他投資活動,-1189.0,-7837.0,,,,
投資活動之淨現金流入（流出）,-73021.0,-83010.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,16677.0,54109.0,,,,
應付短期票券增加,0.0,90000.0,,,,
舉借長期借款,-50000.0,-20000.0,,,,
存入保證金增加,12567.0,-1112.0,,,,
籌資活動之淨現金流入（流出）,-20756.0,122997.0,,,,
匯率變動對現金及約當現金之影響,3582.0,61.0,,,,
本期現金及約當現金增加（減少）數,-120817.0,-21239.0,,,,
期初現金及約當現金餘額,219165.0,206502.0,,,,
期末現金及約當現金餘額,98348.0,185263.0,,,,
資產負債表帳列之現金及約當現金,98348.0,185263.0,,,,
