民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,705960.0,100.0,661979.0,100.0,
營業收入合計,705960.0,100.0,661979.0,100.0,
銷貨成本,492919.0,69.82,494232.0,74.66,
營業成本合計,492919.0,69.82,494232.0,74.66,
營業毛利（毛損）,213041.0,30.18,167747.0,25.34,
營業毛利（毛損）淨額,213041.0,30.18,167747.0,25.34,
營業費用,,,,,
推銷費用,111205.0,15.75,125381.0,18.94,
管理費用,14764.0,2.09,15741.0,2.38,
營業費用合計,125969.0,17.84,141122.0,21.32,
營業利益（損失）,87072.0,12.33,26625.0,4.02,
營業外收入及支出,,,,,
其他收入,3798.0,0.54,8163.0,1.23,
其他利益及損失淨額,-2195.0,-0.31,-649.0,-0.1,
財務成本淨額,1301.0,0.18,1735.0,0.26,
營業外收入及支出合計,302.0,0.04,5779.0,0.87,
稅前淨利（淨損）,87374.0,12.38,32404.0,4.9,
所得稅費用（利益）合計,14314.0,2.03,9161.0,1.38,
繼續營業單位本期淨利（淨損）,73060.0,10.35,23243.0,3.51,
本期淨利（淨損）,73060.0,10.35,23243.0,3.51,
不重分類至損益之項目：,,,,,
不重分類至損益之其他項目,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-18.0,0.0,39.0,0.01,
備供出售金融資產未實現評價損益,-31947.0,-4.53,332767.0,50.27,
與可能重分類之項目相關之所得稅,-3.0,0.0,7.0,0.0,
其他綜合損益（淨額）,-31962.0,-4.53,332799.0,50.27,
本期綜合損益總額,41098.0,5.82,356042.0,53.78,
母公司業主（淨利／損）,73060.0,10.35,23243.0,3.51,
非控制權益（淨利／損）,0.0,0.0,0.0,0.0,
母公司業主（綜合損益）,41098.0,5.82,356042.0,53.78,
非控制權益（綜合損益）,0.0,0.0,0.0,0.0,
基本每股盈餘,,,,,
基本每股盈餘,0.67,,0.21,,
