民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,31441.0,61690.0,,,,
本期稅前淨利（淨損）,31441.0,61690.0,,,,
折舊費用,6206.0,8927.0,,,,
攤銷費用,51.0,51.0,,,,
呆帳費用提列（轉列收入）數,-140.0,-718.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-608.0,-5179.0,,,,
利息費用,388.0,391.0,,,,
利息收入,-1220.0,-1703.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,3057.0,3372.0,,,,
處分投資損失（利益）,0.0,-1322.0,,,,
未實現外幣兌換損失（利益）,449.0,-855.0,,,,
收益費損項目合計,8183.0,2964.0,,,,
持有供交易之金融資產（增加）減少,24236.0,-3871.0,,,,
應收票據（增加）減少,84982.0,39305.0,,,,
應收帳款（增加）減少,28939.0,32525.0,,,,
其他應收款（增加）減少,20.0,907.0,,,,
存貨（增加）減少,-55658.0,-91054.0,,,,
預付款項（增加）減少,-3230.0,-27789.0,,,,
其他金融資產（增加）減少,-18151.0,20148.0,,,,
與營業活動相關之資產之淨變動合計,61138.0,-29829.0,,,,
應付票據增加（減少）,898.0,0.0,,,,
應付帳款增加（減少）,19615.0,47696.0,,,,
其他應付款增加（減少）,-30936.0,-22267.0,,,,
負債準備增加（減少）,-42.0,74.0,,,,
其他流動負債增加（減少）,-37435.0,-4583.0,,,,
與營業活動相關之負債之淨變動合計,-47900.0,20920.0,,,,
與營業活動相關之資產及負債之淨變動合計,13238.0,-8909.0,,,,
調整項目合計,21421.0,-5945.0,,,,
營運產生之現金流入（流出）,52862.0,55745.0,,,,
收取之利息,1266.0,1792.0,,,,
支付之利息,-388.0,-391.0,,,,
退還（支付）之所得稅,-126.0,-178.0,,,,
營業活動之淨現金流入（流出）,53614.0,56968.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,0.0,-633.0,,,,
處分備供出售金融資產,0.0,10067.0,,,,
採用權益法之被投資公司減資退回股款,52870.0,0.0,,,,
取得不動產、廠房及設備,-6045.0,-5046.0,,,,
存出保證金減少,0.0,850.0,,,,
投資活動之淨現金流入（流出）,46825.0,5238.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,60670.0,,,,
存入保證金增加,348.0,0.0,,,,
存入保證金減少,0.0,-47.0,,,,
籌資活動之淨現金流入（流出）,348.0,60623.0,,,,
本期現金及約當現金增加（減少）數,100787.0,122829.0,,,,
期初現金及約當現金餘額,314885.0,241300.0,,,,
期末現金及約當現金餘額,415672.0,364129.0,,,,
資產負債表帳列之現金及約當現金,415672.0,364129.0,,,,
