民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,1844700.0,2014079.0,,,,
本期稅前淨利（淨損）,1844700.0,2014079.0,,,,
折舊費用,1374038.0,1198341.0,,,,
攤銷費用,82172.0,42243.0,,,,
呆帳費用提列（轉列收入）數,-29608.0,-8804.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,21598.0,-240496.0,,,,
利息費用,412287.0,385203.0,,,,
利息收入,-99019.0,-129874.0,,,,
股利收入,-1292.0,-1271.0,,,,
應付公司債匯率影響數,-150080.0,467137.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-960033.0,-1042631.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-7442.0,-4092.0,,,,
處分投資損失（利益）,-157608.0,-104530.0,,,,
非金融資產減損損失,18071.0,-16131.0,,,,
非金融資產減損迴轉利益,0.0,-76572.0,,,,
未實現外幣兌換損失（利益）,-273459.0,154735.0,,,,
買回應付公司債損失（利益）,0.0,356459.0,,,,
投資性不動產公允價值調整損失(利益),-162697.0,0.0,,,,
其他項目,2366.0,1460.0,,,,
收益費損項目合計,69294.0,981177.0,,,,
持有供交易之金融資產（增加）減少,14703.0,-3263387.0,,,,
應收票據（增加）減少,1121820.0,-875106.0,,,,
應收帳款（增加）減少,639337.0,104873.0,,,,
其他應收款（增加）減少,-206117.0,-282429.0,,,,
存貨（增加）減少,-446797.0,-545481.0,,,,
預付款項（增加）減少,-762417.0,-184112.0,,,,
其他流動資產（增加）減少,122042.0,208054.0,,,,
與營業活動相關之資產之淨變動合計,482571.0,-4837588.0,,,,
應付帳款增加（減少）,-1499208.0,169718.0,,,,
負債準備增加（減少）,5466.0,3509.0,,,,
預收款項增加（減少）,55949.0,130661.0,,,,
淨確定福利負債增加(減少),-25946.0,-172.0,,,,
遞延貸項增加（減少）,-17021.0,-17021.0,,,,
與營業活動相關之負債之淨變動合計,-1480760.0,286695.0,,,,
與營業活動相關之資產及負債之淨變動合計,-998189.0,-4550893.0,,,,
調整項目合計,-928895.0,-3569716.0,,,,
營運產生之現金流入（流出）,915805.0,-1555637.0,,,,
收取之利息,78641.0,119420.0,,,,
收取之股利,1292.0,25134.0,,,,
支付之利息,-407354.0,-488867.0,,,,
退還（支付）之所得稅,-238621.0,-471236.0,,,,
營業活動之淨現金流入（流出）,349763.0,-2371186.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-1192850.0,-29708.0,,,,
處分備供出售金融資產,1108613.0,763406.0,,,,
取得無活絡市場之債務工具投資,-2723597.0,-452925.0,,,,
取得採用權益法之投資,-795.0,-4503.0,,,,
取得不動產、廠房及設備,-892991.0,-1402773.0,,,,
處分不動產、廠房及設備,12970.0,126628.0,,,,
存出保證金減少,4905.0,20447.0,,,,
取得無形資產,-25659.0,-479.0,,,,
取得投資性不動產,-550.0,0.0,,,,
其他非流動資產減少,97678.0,1079.0,,,,
其他預付款項增加,-535.0,0.0,,,,
投資活動之淨現金流入（流出）,-3612811.0,-978828.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,443467.0,1099701.0,,,,
應付短期票券增加,3793800.0,1241000.0,,,,
償還公司債,-2500000.0,-12577483.0,,,,
舉借長期借款,2112826.0,15140996.0,,,,
償還長期借款,-2198727.0,-12734607.0,,,,
存入保證金增加,6343.0,0.0,,,,
存入保證金減少,0.0,-7650.0,,,,
其他非流動負債減少,-19655.0,-13927.0,,,,
非控制權益變動,0.0,-723321.0,,,,
籌資活動之淨現金流入（流出）,1638054.0,-8575291.0,,,,
匯率變動對現金及約當現金之影響,-161410.0,128350.0,,,,
本期現金及約當現金增加（減少）數,-1786404.0,-11796955.0,,,,
期初現金及約當現金餘額,12739834.0,19184742.0,,,,
期末現金及約當現金餘額,10953430.0,7387787.0,,,,
資產負債表帳列之現金及約當現金,10953430.0,7387787.0,,,,
