民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,85869.0,105231.0,,,,
本期稅前淨利（淨損）,85869.0,105231.0,,,,
折舊費用,55781.0,56647.0,,,,
攤銷費用,3751.0,5256.0,,,,
呆帳費用提列（轉列收入）數,-954.0,768.0,,,,
利息費用,5961.0,7031.0,,,,
利息收入,-2741.0,-1532.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,89.0,183.0,,,,
處分投資損失（利益）,-499.0,0.0,,,,
未實現外幣兌換損失（利益）,2674.0,-5449.0,,,,
收益費損項目合計,64062.0,62904.0,,,,
應收票據（增加）減少,9457.0,-2997.0,,,,
應收帳款（增加）減少,131888.0,-298.0,,,,
其他應收款（增加）減少,8416.0,12474.0,,,,
存貨（增加）減少,86995.0,40836.0,,,,
其他流動資產（增加）減少,-2742.0,1864.0,,,,
與營業活動相關之資產之淨變動合計,234014.0,51879.0,,,,
應付票據增加（減少）,6454.0,-4216.0,,,,
應付帳款增加（減少）,-23522.0,-52333.0,,,,
其他應付款增加（減少）,-57696.0,-37977.0,,,,
其他流動負債增加（減少）,-1611.0,8058.0,,,,
淨確定福利負債增加(減少),668.0,310.0,,,,
與營業活動相關之負債之淨變動合計,-75707.0,-86158.0,,,,
與營業活動相關之資產及負債之淨變動合計,158307.0,-34279.0,,,,
調整項目合計,222369.0,28625.0,,,,
營運產生之現金流入（流出）,308238.0,133856.0,,,,
收取之利息,2741.0,1532.0,,,,
支付之利息,-5751.0,-7254.0,,,,
退還（支付）之所得稅,-40122.0,-52935.0,,,,
營業活動之淨現金流入（流出）,265106.0,75199.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-37000.0,-8094.0,,,,
處分備供出售金融資產,27499.0,0.0,,,,
對子公司之收購（扣除所取得之現金）,-75.0,0.0,,,,
取得不動產、廠房及設備,-83839.0,-41548.0,,,,
處分不動產、廠房及設備,761.0,439.0,,,,
存出保證金減少,-1000.0,0.0,,,,
其他金融資產增加,-94775.0,-15853.0,,,,
其他非流動資產增加,-3168.0,-4910.0,,,,
投資活動之淨現金流入（流出）,-191597.0,-69966.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,43339.0,82636.0,,,,
短期借款減少,-51297.0,-156202.0,,,,
舉借長期借款,5000.0,0.0,,,,
償還長期借款,0.0,-4167.0,,,,
存入保證金減少,0.0,0.0,,,,
籌資活動之淨現金流入（流出）,-2958.0,-77733.0,,,,
匯率變動對現金及約當現金之影響,-10386.0,5225.0,,,,
本期現金及約當現金增加（減少）數,60165.0,-67275.0,,,,
期初現金及約當現金餘額,549005.0,609620.0,,,,
期末現金及約當現金餘額,609170.0,542345.0,,,,
資產負債表帳列之現金及約當現金,609170.0,542345.0,,,,
