民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,754527.0,100.0,823477.0,100.0,
營業收入合計,754527.0,100.0,823477.0,100.0,
銷貨成本,568801.0,75.39,621891.0,75.52,
營業成本合計,568801.0,75.39,621891.0,75.52,
營業毛利（毛損）,185726.0,24.61,201586.0,24.48,
營業毛利（毛損）淨額,185726.0,24.61,201586.0,24.48,
營業費用,,,,,
推銷費用,43942.0,5.82,49066.0,5.96,
管理費用,36754.0,4.87,41552.0,5.05,
研究發展費用,10643.0,1.41,11417.0,1.39,
營業費用合計,91339.0,12.11,102035.0,12.39,
其他收益及費損淨額,,,,,
其他收益及費損淨額,0.0,0.0,79.0,0.01,
營業利益（損失）,94387.0,12.51,99630.0,12.1,
營業外收入及支出,,,,,
其他收入,9572.0,1.27,10874.0,1.32,
其他利益及損失淨額,-12129.0,-1.61,1758.0,0.21,
財務成本淨額,5961.0,0.79,7031.0,0.85,
營業外收入及支出合計,-8518.0,-1.13,5601.0,0.68,
稅前淨利（淨損）,85869.0,11.38,105231.0,12.78,
所得稅費用（利益）合計,26541.0,3.52,29104.0,3.53,
繼續營業單位本期淨利（淨損）,59328.0,7.86,76127.0,9.24,
本期淨利（淨損）,59328.0,7.86,76127.0,9.24,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-16322.0,-2.16,12016.0,1.46,
備供出售金融資產未實現評價損益,-91.0,-0.01,643.0,0.08,
其他綜合損益（淨額）,-16413.0,-2.18,12659.0,1.54,
本期綜合損益總額,42915.0,5.69,88786.0,10.78,
母公司業主（淨利／損）,47353.0,6.28,59005.0,7.17,
非控制權益（淨利／損）,11975.0,1.59,17122.0,2.08,
母公司業主（綜合損益）,30961.0,4.1,71437.0,8.68,
非控制權益（綜合損益）,11954.0,1.58,17349.0,2.11,
基本每股盈餘,,,,,
基本每股盈餘,0.52,,0.65,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.52,,0.65,,
