民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,316736.0,100.29,377060.0,100.13,
銷貨退回,627.0,0.2,161.0,0.04,
銷貨折讓,278.0,0.09,335.0,0.09,
銷貨收入淨額,315831.0,100.0,376564.0,100.0,
營業收入合計,315831.0,100.0,376564.0,100.0,
營業成本合計,257059.0,81.39,312815.0,83.07,
營業毛利（毛損）,58772.0,18.61,63749.0,16.93,
營業毛利（毛損）淨額,58772.0,18.61,63749.0,16.93,
營業費用,,,,,
推銷費用,16273.0,5.15,17745.0,4.71,
管理費用,24944.0,7.9,24952.0,6.63,
研究發展費用,6976.0,2.21,6774.0,1.8,
營業費用合計,48193.0,15.26,49471.0,13.14,
營業利益（損失）,10579.0,3.35,14278.0,3.79,
營業外收入及支出,,,,,
其他收入,811.0,0.26,2360.0,0.63,
其他利益及損失淨額,192.0,0.06,1885.0,0.5,
財務成本淨額,8.0,0.0,8.0,0.0,
營業外收入及支出合計,995.0,0.32,4237.0,1.13,
稅前淨利（淨損）,11574.0,3.66,18515.0,4.92,
所得稅費用（利益）合計,4672.0,1.48,3365.0,0.89,
繼續營業單位本期淨利（淨損）,6902.0,2.19,15150.0,4.02,
本期淨利（淨損）,6902.0,2.19,15150.0,4.02,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-3509.0,-1.11,-1071.0,-0.28,
其他綜合損益（淨額）,-3509.0,-1.11,-1071.0,-0.28,
本期綜合損益總額,3393.0,1.07,14079.0,3.74,
母公司業主（淨利／損）,6902.0,2.19,15150.0,4.02,
母公司業主（綜合損益）,3393.0,1.07,14079.0,3.74,
基本每股盈餘,,,,,
基本每股盈餘,0.09,,0.2,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.09,,0.2,,
