會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,1014247.0,1301935.0,2471593.0,3025627.0
本期稅前淨利（淨損）,1014247.0,1301935.0,2471593.0,3025627.0
折舊費用,181547.0,328561.0,467272.0,599588.0
攤銷費用,1783.0,3213.0,4776.0,8454.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,13166.0,23897.0,-11228.0,16576.0
利息費用,2582.0,5086.0,7416.0,9662.0
利息收入,-10189.0,-20487.0,-36892.0,-52217.0
採用權益法認列之關聯企業及合資損失（利益）之份額,-862833.0,-1293638.0,-2522178.0,-3052224.0
處分及報廢不動產、廠房及設備損失（利益）,2751.0,2751.0,2751.0,2811.0
處分投資損失（利益）,-93576.0,7479.0,42267.0,8806.0
未實現外幣兌換損失（利益）,46060.0,35278.0,119353.0,365599.0
其他項目,-718709.0,76001.0,109562.0,133398.0
收益費損項目合計,-518000.0,-831859.0,-1816901.0,-1959547.0
強制透過損益按公允價值衡量之金融資產（增加）減少,235.0,-1179954.0,-1513103.0,-1820872.0
應收票據（增加）減少,21.0,235.0,-121.0,-695.0
應收票據－關係人（增加）減少,2854.0,21.0,21.0,21.0
應收帳款（增加）減少,-149550.0,205.0,2560.0,-233.0
應收帳款－關係人（增加）減少,35762.0,-154244.0,44298.0,-69634.0
其他應收款（增加）減少,8377.0,-92064.0,38822.0,36629.0
其他應收款－關係人（增加）減少,4398.0,63646.0,68439.0,36383.0
預付款項（增加）減少,-615903.0,-83906.0,-50407.0,1113.0
其他金融資產（增加）減少,188637.0,-1446061.0,-2120.0,-2120.0
與營業活動相關之資產之淨變動合計,221420.0,128019.0,-1411611.0,-1819408.0
合約負債增加（減少）,-25766.0,0.0,73199.0,70028.0
應付帳款增加（減少）,-118820.0,269829.0,0.0,55897.0
應付帳款－關係人增加（減少）,-37507.0,277893.0,201650.0,141871.0
其他應付款增加（減少）,1424.0,-184107.0,100038.0,-13411.0
其他應付款－關係人增加（減少）,-9680.0,-94473.0,-87379.0,-82213.0
負債準備增加（減少）,219708.0,-74331.0,-12705.0,-149035.0
其他流動負債增加（減少）,-396195.0,1268.0,-114229.0,1486.0
淨確定福利負債增加(減少),-1114904.0,-12256.0,1369.0,-14366.0
與營業活動相關之負債之淨變動合計,-100657.0,311842.0,-13468.0,10257.0
與營業活動相關之資產及負債之淨變動合計,-2582.0,-1134219.0,148475.0,-1809151.0
調整項目合計,-58048.0,-1966078.0,-1263136.0,-3768698.0
營運產生之現金流入（流出）,-161287.0,-664143.0,-3080037.0,-743071.0
支付之利息,,-5086.0,-608444.0,-9662.0
退還（支付）之所得稅,-47996.0,-513783.0,-7416.0,-1286119.0
營業活動之淨現金流入（流出）,756.0,-1183012.0,-897872.0,-2038852.0
投資活動之現金流量,76.0,,-1513732.0,
取得不動產、廠房及設備,-1901.0,-103933.0,,-204251.0
處分不動產、廠房及設備,10351.0,997.0,-140902.0,997.0
存出保證金減少,-38714.0,-119254.0,997.0,150267.0
取得無形資產,,0.0,-165842.0,-39650.0
收取之利息,-14376.0,-8690.0,-9410.0,50017.0
收取之股利,-14376.0,20390.0,36261.0,3280588.0
投資活動之淨現金流入（流出）,6067.0,-210490.0,3391685.0,3237968.0
籌資活動之現金流量,-208310.0,,3112789.0,
租賃本金償還,4044196.0,-28316.0,,-55870.0
發放現金股利,3835886.0,-28316.0,0.0,-2718000.0
籌資活動之淨現金流入（流出）,3835886.0,74988.0,-42080.0,-2773870.0
