會計項目,Q1金額,Q1百分比(%),Q2金額,Q2百分比(%),Q3金額,Q3百分比(%),Q4金額,Q4百分比(%)
流動資產,,,,,,,,
現金及約當現金,892094.0,7.34,763558.0,6.6,1432093.0,11.94,1556174.0,13.88
透過損益按公允價值衡量之金融資產－流動,686676.0,5.65,446213.0,3.86,344722.0,2.87,286136.0,2.55
透過其他綜合損益按公允價值衡量之金融資產－流動,290646.0,2.39,219199.0,1.89,206386.0,1.72,227497.0,2.03
應收票據淨額,119978.0,0.99,110676.0,0.96,132443.0,1.1,83208.0,0.74
應收帳款淨額,507350.0,4.17,631186.0,5.46,437830.0,3.65,461946.0,4.12
應收帳款－關係人淨額,194394.0,1.6,186817.0,1.61,153831.0,1.28,102498.0,0.91
其他應收款淨額,218696.0,1.8,337453.0,2.92,278334.0,2.32,33870.0,0.3
本期所得稅資產,544.0,0.0,0.0,0.0,789.0,0.01,877.0,0.01
存貨,950847.0,7.82,872758.0,7.54,1007301.0,8.4,1020996.0,9.11
其他流動資產,134296.0,1.1,222674.0,1.92,144245.0,1.2,72221.0,0.64
流動資產合計,3995521.0,32.87,3790534.0,32.76,4137974.0,34.5,3845423.0,34.31
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,82238.0,0.68,84130.0,0.73,84679.0,0.71,84982.0,0.76
透過其他綜合損益按公允價值衡量之金融資產－非流動,78792.0,0.65,77384.0,0.67,82592.0,0.69,81592.0,0.73
按攤銷後成本衡量之金融資產－非流動,0.0,0.0,1820629.0,15.74,1916517.0,15.98,2079087.0,18.55
採用權益法之投資,2183787.0,17.97,3902239.0,33.73,3849372.0,32.09,3811156.0,34.0
不動產、廠房及設備,3920623.0,32.26,644128.0,5.57,632568.0,5.27,618930.0,5.52
使用權資產,654355.0,5.38,552988.0,4.78,552988.0,4.61,552988.0,4.93
投資性不動產淨額,552988.0,4.55,90004.0,0.78,90004.0,0.75,78707.0,0.7
遞延所得稅資產,90004.0,0.74,608240.0,5.26,648488.0,5.41,55473.0,0.49
其他非流動資產,595861.0,4.9,7779742.0,67.24,7857208.0,65.5,7362915.0,65.69
非流動資產合計,8158648.0,67.13,11570276.0,100.0,11995182.0,100.0,11208338.0,100.0
資產總額,12154169.0,100.0,,,,,,
流動負債,,,565713.0,4.89,1024923.0,8.54,551581.0,4.92
短期借款,799199.0,6.58,30000.0,0.26,0.0,0.0,121269.0,1.08
應付短期票券,0.0,0.0,68276.0,0.59,94745.0,0.79,33568.0,0.3
合約負債－流動,144526.0,1.19,80358.0,0.69,108642.0,0.91,213878.0,1.91
應付帳款,68815.0,0.57,366030.0,3.16,286126.0,2.39,417055.0,3.72
應付帳款－關係人,259013.0,2.13,1797724.0,15.54,996111.0,8.3,385328.0,3.44
其他應付款,793023.0,6.52,195964.0,1.69,292223.0,2.44,28836.0,0.26
本期所得稅負債,229671.0,1.89,29468.0,0.25,28763.0,0.24,7168.0,0.06
租賃負債－流動,32155.0,0.26,10504.0,0.09,8408.0,0.07,1758683.0,15.69
其他流動負債,7638.0,0.06,3144037.0,27.17,2839941.0,23.68,,
流動負債合計,2334040.0,19.2,,,,,680000.0,6.07
非流動負債,,,300000.0,2.59,590000.0,4.92,0.0,0.0
長期借款,950000.0,7.82,5058.0,0.04,5058.0,0.04,590377.0,5.27
遞延所得稅負債,5058.0,0.04,603006.0,5.21,592537.0,4.94,103726.0,0.93
租賃負債－非流動,605129.0,4.98,152155.0,1.32,151453.0,1.26,1374103.0,12.26
其他非流動負債,152819.0,1.26,1060219.0,9.16,1339048.0,11.16,3132786.0,27.95
非流動負債合計,1713006.0,14.09,4204256.0,36.34,4178989.0,34.84,,
負債總額,4047046.0,33.3,,,,,,
歸屬於母公司業主之權益,,,,,,,2369044.0,21.14
股本,,,2369044.0,20.48,2369044.0,19.75,2369044.0,21.14
普通股股本,2369044.0,19.49,2369044.0,20.48,2369044.0,19.75,,
股本合計,2369044.0,19.49,,,,,902804.0,8.05
資本公積,,,883790.0,7.64,902804.0,7.53,,
資本公積合計,883790.0,7.27,,,,,2775710.0,24.76
保留盈餘,,,2775710.0,23.99,2775710.0,23.14,193150.0,1.72
法定盈餘公積,2666240.0,21.94,193150.0,1.67,193150.0,1.61,1845707.0,16.47
特別盈餘公積,193150.0,1.59,1024105.0,8.85,1472109.0,12.27,4814567.0,42.96
未分配盈餘（或待彌補虧損）,1522669.0,12.53,3992965.0,34.51,4440969.0,37.02,,
保留盈餘合計,4382059.0,36.05,,,,,25737.0,0.23
其他權益,,,-48677.0,-0.42,-85322.0,-0.71,-117638.0,-1.05
其他權益合計,314020.0,2.58,-117638.0,-1.02,-117638.0,-0.98,7994514.0,71.33
庫藏股票,-117638.0,-0.97,7079484.0,61.19,7509857.0,62.61,81038.0,0.72
歸屬於母公司業主之權益合計,7831275.0,64.43,286536.0,2.48,306336.0,2.55,8075552.0,72.05
非控制權益,275848.0,2.27,7366020.0,63.66,7816193.0,65.16,11208338.0,100.0
權益總額,8107123.0,66.7,11570276.0,100.0,11995182.0,100.0,0.0,
負債及權益總計,12154169.0,100.0,0.0,,0.0,,4753537.0,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,4753537.0,,4753537.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,4753537.0,,,,,,,
