民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,279979.0,100.0,292973.0,100.0,
營業收入合計,279979.0,100.0,292973.0,100.0,
銷貨成本,237619.0,84.87,260307.0,88.85,
營業成本合計,237619.0,84.87,260307.0,88.85,
營業毛利（毛損）,42360.0,15.13,32666.0,11.15,
營業毛利（毛損）淨額,42360.0,15.13,32666.0,11.15,
營業費用,,,,,
推銷費用,6929.0,2.47,6650.0,2.27,
管理費用,9036.0,3.23,8637.0,2.95,
研究發展費用,2313.0,0.83,2556.0,0.87,
營業費用合計,18278.0,6.53,17843.0,6.09,
營業利益（損失）,24082.0,8.6,14823.0,5.06,
營業外收入及支出,,,,,
其他收入,4146.0,1.48,6634.0,2.26,
其他利益及損失淨額,-6069.0,-2.17,3808.0,1.3,
財務成本淨額,19.0,0.01,32.0,0.01,
營業外收入及支出合計,-1942.0,-0.69,10410.0,3.55,
稅前淨利（淨損）,22140.0,7.91,25233.0,8.61,
所得稅費用（利益）合計,3901.0,1.39,4256.0,1.45,
繼續營業單位本期淨利（淨損）,18239.0,6.51,20977.0,7.16,
本期淨利（淨損）,18239.0,6.51,20977.0,7.16,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-5595.0,-2.0,4801.0,1.64,
備供出售金融資產未實現評價損益,33.0,0.01,66.0,0.02,
其他綜合損益（淨額）,-5562.0,-1.99,4867.0,1.66,
本期綜合損益總額,12677.0,4.53,25844.0,8.82,
母公司業主（淨利／損）,18494.0,6.61,20951.0,7.15,
非控制權益（淨利／損）,-255.0,-0.09,26.0,0.01,
母公司業主（綜合損益）,14463.0,5.17,24440.0,8.34,
非控制權益（綜合損益）,-1786.0,-0.64,1404.0,0.48,
基本每股盈餘,,,,,
基本每股盈餘,0.18,,0.21,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.18,,0.21,,
