民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,103年01月01日,103年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
流動資產,,,,,,,,,,
現金及約當現金,9353976.0,12.28,10412190.0,13.45,6075536.0,8.67,8186545.0,11.53,,
透過損益按公允價值衡量之金融資產－流動,1116893.0,1.47,942771.0,1.22,1138101.0,1.62,1088420.0,1.53,,
備供出售金融資產－流動淨額,191849.0,0.25,185589.0,0.24,0.0,0.0,0.0,0.0,,
應收帳款淨額,2683872.0,3.52,2305182.0,2.98,2671607.0,3.81,2223097.0,3.13,,
應收帳款－關係人淨額,60580.0,0.08,102484.0,0.13,114056.0,0.16,129608.0,0.18,,
其他應收款淨額,165710.0,0.22,103753.0,0.13,62097.0,0.09,53315.0,0.08,,
存貨,2075278.0,2.72,2169636.0,2.8,3052811.0,4.36,2708127.0,3.81,,
預付款項,524021.0,0.69,968644.0,1.25,711195.0,1.01,191530.0,0.27,,
其他流動資產,856656.0,1.12,722946.0,0.93,362321.0,0.52,333876.0,0.47,,
流動資產合計,17028835.0,22.36,17913195.0,23.14,14187724.0,20.24,14914518.0,21.01,,
非流動資產,,,,,,,,,,
備供出售金融資產－非流動淨額,1339561.0,1.76,1347769.0,1.74,1526754.0,2.18,1592009.0,2.24,,
以成本衡量之金融資產－非流動淨額,1173907.0,1.54,1173907.0,1.52,1285419.0,1.83,1285419.0,1.81,,
採用權益法之投資淨額,2594449.0,3.41,2685059.0,3.47,2500314.0,3.57,2503943.0,3.53,,
不動產、廠房及設備,16705747.0,21.93,16980407.0,21.93,18448537.0,26.32,18797074.0,26.47,,
投資性不動產淨額,37009324.0,48.59,37009324.0,47.8,31842895.0,45.43,31842895.0,44.85,,
無形資產,19719.0,0.03,20169.0,0.03,20882.0,0.03,21972.0,0.03,,
遞延所得稅資產,9365.0,0.01,9365.0,0.01,4204.0,0.01,4204.0,0.01,,
其他非流動資產,286168.0,0.38,289220.0,0.37,280235.0,0.4,39316.0,0.06,,
非流動資產合計,59138240.0,77.64,59515220.0,76.86,55909240.0,79.76,56086832.0,78.99,,
資產總計,76167075.0,100.0,77428415.0,100.0,70096964.0,100.0,71001350.0,100.0,,
流動負債,,,,,,,,,,
短期借款,1482354.0,1.95,2564933.0,3.31,3211040.0,4.58,3386798.0,4.77,,
應付帳款,1510935.0,1.98,1537757.0,1.99,1351330.0,1.93,2032514.0,2.86,,
應付帳款－關係人,22564.0,0.03,9349.0,0.01,16466.0,0.02,21295.0,0.03,,
其他應付款,351815.0,0.46,574667.0,0.74,289904.0,0.41,351728.0,0.5,,
本期所得稅負債,41279.0,0.05,31279.0,0.04,44566.0,0.06,53818.0,0.08,,
負債準備－流動,551104.0,0.72,626462.0,0.81,561353.0,0.8,697355.0,0.98,,
其他流動負債,548182.0,0.72,324062.0,0.42,143868.0,0.21,242411.0,0.34,,
流動負債合計,4508233.0,5.92,5668509.0,7.32,5618527.0,8.02,6785919.0,9.56,,
非流動負債,,,,,,,,,,
透過損益按公允價值衡量之金融負債－非流動,578103.0,0.76,706549.0,0.91,0.0,0.0,0.0,0.0,,
應付公司債,3836464.0,5.04,3843671.0,4.96,0.0,0.0,0.0,0.0,,
長期借款,2488793.0,3.27,2593793.0,3.35,1499418.0,2.14,999900.0,1.41,,
負債準備－非流動,2618250.0,3.44,2625100.0,3.39,1693710.0,2.42,1749270.0,2.46,,
遞延所得稅負債,8082362.0,10.61,8082362.0,10.44,8088799.0,11.54,8088816.0,11.39,,
其他非流動負債,488411.0,0.64,489140.0,0.63,353851.0,0.5,278327.0,0.39,,
非流動負債合計,18092383.0,23.75,18340615.0,23.69,11635778.0,16.6,11116313.0,15.66,,
負債總計,22600616.0,29.67,24009124.0,31.01,17254305.0,24.61,17902232.0,25.21,,
歸屬於母公司業主之權益,,,,,,,,,,
股本,,,,,,,,,,
普通股股本,23199897.0,30.46,23199897.0,29.96,23199897.0,33.1,23199897.0,32.68,,
股本合計,23199897.0,30.46,23199897.0,29.96,23199897.0,33.1,23199897.0,32.68,,
資本公積,,,,,,,,,,
資本公積合計,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
保留盈餘,,,,,,,,,,
法定盈餘公積,1062727.0,1.4,1062727.0,1.37,1823040.0,2.6,1823040.0,2.57,,
特別盈餘公積,29654282.0,38.93,29654282.0,38.3,29654282.0,42.3,29654282.0,41.77,,
未分配盈餘（或待彌補虧損）,472336.0,0.62,288648.0,0.37,-996423.0,-1.42,-760313.0,-1.07,,
保留盈餘合計,31189345.0,40.95,31005657.0,40.04,30480899.0,43.48,30717009.0,43.26,,
其他權益,,,,,,,,,,
國外營運機構財務報表換算之兌換差額,-65731.0,-0.09,-31944.0,-0.04,-123440.0,-0.18,-142972.0,-0.2,,
備供出售金融資產未實現損益,-985216.0,-1.29,-982649.0,-1.27,-950951.0,-1.36,-885919.0,-1.25,,
其他權益合計,-1050947.0,-1.38,-1014593.0,-1.31,-1074391.0,-1.53,-1028891.0,-1.45,,
歸屬於母公司業主之權益合計,53338295.0,70.03,53190961.0,68.7,52606405.0,75.05,52888015.0,74.49,,
非控制權益,228164.0,0.3,228330.0,0.29,236254.0,0.34,211103.0,0.3,,
權益總計,53566459.0,70.33,53419291.0,68.99,52842659.0,75.39,53099118.0,74.79,,
負債及權益總計,76167075.0,100.0,77428415.0,100.0,70096964.0,100.0,71001350.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
