民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,11129719.0,26.22,13568886.0,31.17,15108428.0,32.11,,
備供出售金融資產－流動淨額,820569.0,1.93,912935.0,2.1,715165.0,1.52,,
無活絡市場之債務工具投資－流動淨額,487551.0,1.15,534351.0,1.23,19960.0,0.04,,
應收票據淨額,556078.0,1.31,258451.0,0.59,484677.0,1.03,,
應收帳款淨額,2673359.0,6.3,2970336.0,6.82,4431014.0,9.42,,
其他應收款淨額,113028.0,0.27,97998.0,0.23,122837.0,0.26,,
其他應收款－關係人淨額,31379.0,0.07,25611.0,0.06,21763.0,0.05,,
本期所得稅資產,875.0,0.0,3172.0,0.01,21023.0,0.04,,
存貨,5800336.0,13.67,5733757.0,13.17,7282732.0,15.48,,
預付款項,32788.0,0.08,28886.0,0.07,26848.0,0.06,,
其他流動資產,2187177.0,5.15,1211029.0,2.78,1364369.0,2.9,,
流動資產合計,23832859.0,56.16,25345412.0,58.23,29598816.0,62.9,,
非流動資產,,,,,,,,
備供出售金融資產－非流動淨額,3377942.0,7.96,3238614.0,7.44,3481793.0,7.4,,
以成本衡量之金融資產－非流動淨額,499604.0,1.18,500104.0,1.15,488192.0,1.04,,
採用權益法之投資淨額,213091.0,0.5,218745.0,0.5,214640.0,0.46,,
不動產、廠房及設備,11502199.0,27.1,11682612.0,26.84,11230296.0,23.87,,
無形資產,2795.0,0.01,2986.0,0.01,3358.0,0.01,,
遞延所得稅資產,587911.0,1.39,590048.0,1.36,349829.0,0.74,,
其他非流動資產,2423205.0,5.71,1951255.0,4.48,1689202.0,3.59,,
非流動資產合計,18606747.0,43.84,18184364.0,41.77,17457310.0,37.1,,
資產總計,42439606.0,100.0,43529776.0,100.0,47056126.0,100.0,,
流動負債,,,,,,,,
短期借款,9713330.0,22.89,11429073.0,26.26,14854402.0,31.57,,
應付短期票券,1198865.0,2.82,399915.0,0.92,0.0,0.0,,
應付票據,279037.0,0.66,165835.0,0.38,232653.0,0.49,,
應付帳款,2735600.0,6.45,2176126.0,5.0,3454673.0,7.34,,
其他應付款,569626.0,1.34,646483.0,1.49,640406.0,1.36,,
本期所得稅負債,83918.0,0.2,85145.0,0.2,48849.0,0.1,,
負債準備－流動,174143.0,0.41,186783.0,0.43,186658.0,0.4,,
其他流動負債,861587.0,2.03,999350.0,2.3,825383.0,1.75,,
流動負債合計,15616106.0,36.8,16088710.0,36.96,20243024.0,43.02,,
非流動負債,,,,,,,,
長期借款,7414433.0,17.47,7919183.0,18.19,7399466.0,15.72,,
負債準備－非流動,2904.0,0.01,2844.0,0.01,3431.0,0.01,,
遞延所得稅負債,172918.0,0.41,170308.0,0.39,164898.0,0.35,,
其他非流動負債,522531.0,1.23,521482.0,1.2,366601.0,0.78,,
非流動負債合計,8112786.0,19.12,8613817.0,19.79,7934396.0,16.86,,
負債總計,23728892.0,55.91,24702527.0,56.75,28177420.0,59.88,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,11601226.0,27.34,11577843.0,26.6,11570991.0,24.59,,
預收股本,50884.0,0.12,20671.0,0.05,10969.0,0.02,,
股本合計,11652110.0,27.46,11598514.0,26.65,11581960.0,24.61,,
資本公積,,,,,,,,
資本公積合計,1110928.0,2.62,1113639.0,2.56,1127920.0,2.4,,
保留盈餘,,,,,,,,
法定盈餘公積,1920671.0,4.53,1920671.0,4.41,1860873.0,3.95,,
特別盈餘公積,341773.0,0.81,341773.0,0.79,341773.0,0.73,,
未分配盈餘（或待彌補虧損）,2082485.0,4.91,1994999.0,4.58,2629315.0,5.59,,
保留盈餘合計,4344929.0,10.24,4257443.0,9.78,4831961.0,10.27,,
其他權益,,,,,,,,
其他權益合計,1693181.0,3.99,1912561.0,4.39,1432822.0,3.04,,
庫藏股票,-90434.0,-0.21,-54908.0,-0.13,-95957.0,-0.2,,
歸屬於母公司業主之權益合計,18710714.0,44.09,18827249.0,43.25,18878706.0,40.12,,
非控制權益,0.0,0.0,0.0,0.0,0.0,0.0,,
權益總計,18710714.0,44.09,18827249.0,43.25,18878706.0,40.12,,
負債及權益總計,42439606.0,100.0,43529776.0,100.0,47056126.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,5073000.0,,2338250.0,,1194500.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,8305000.0,,5217000.0,,6883000.0,,,
