民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,10921052.0,99.87,13114534.0,99.75,
其他營業收入淨額,13943.0,0.13,33303.0,0.25,
營業收入合計,10934995.0,100.0,13147837.0,100.0,
銷貨成本,10397569.0,95.09,12813153.0,97.45,
其他營業成本,11407.0,0.1,24518.0,0.19,
營業成本合計,10408976.0,95.19,12837671.0,97.64,
營業毛利（毛損）,526019.0,4.81,310166.0,2.36,
營業毛利（毛損）淨額,526019.0,4.81,310166.0,2.36,
營業費用,,,,,
推銷費用,189718.0,1.73,179249.0,1.36,
管理費用,233246.0,2.13,203695.0,1.55,
營業費用合計,422964.0,3.87,382944.0,2.91,
營業利益（損失）,103055.0,0.94,-72778.0,-0.55,
營業外收入及支出,,,,,
其他收入,208141.0,1.9,110491.0,0.84,
其他利益及損失淨額,-113523.0,-1.04,-146669.0,-1.12,
財務成本淨額,87069.0,0.8,111915.0,0.85,
採用權益法認列之關聯企業及合資損益之份額淨額,-2567.0,-0.02,-2340.0,-0.02,
營業外收入及支出合計,4982.0,0.05,-150433.0,-1.14,
稅前淨利（淨損）,108037.0,0.99,-223211.0,-1.7,
所得稅費用（利益）合計,20551.0,0.19,-61541.0,-0.47,
繼續營業單位本期淨利（淨損）,87486.0,0.8,-161670.0,-1.23,
本期淨利（淨損）,87486.0,0.8,-161670.0,-1.23,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-267465.0,-2.45,240899.0,1.83,
備供出售金融資產未實現評價損益,46962.0,0.43,-97044.0,-0.74,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-2697.0,-0.02,2360.0,0.02,
與可能重分類之項目相關之所得稅,-3820.0,-0.03,7080.0,0.05,
其他綜合損益（淨額）,-219380.0,-2.01,139135.0,1.06,
本期綜合損益總額,-131894.0,-1.21,-22535.0,-0.17,
母公司業主（淨利／損）,87486.0,0.8,-161020.0,-1.22,
非控制權益（淨利／損）,0.0,0.0,-650.0,0.0,
母公司業主（綜合損益）,-131894.0,-1.21,-22127.0,-0.17,
非控制權益（綜合損益）,0.0,0.0,-408.0,0.0,
基本每股盈餘,,,,,
基本每股盈餘,0.08,,-0.14,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.08,,-0.14,,
