民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,269734.0,251967.0,,,,
本期稅前淨利（淨損）,269734.0,251967.0,,,,
折舊費用,33314.0,32471.0,,,,
攤銷費用,2077.0,1563.0,,,,
呆帳費用提列（轉列收入）數,431.0,474.0,,,,
利息費用,3267.0,2320.0,,,,
利息收入,-557.0,-676.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-239156.0,-193276.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,0.0,-350.0,,,,
不動產、廠房及設備轉列費用數,0.0,140.0,,,,
處分投資損失（利益）,1672.0,325.0,,,,
收益費損項目合計,-198952.0,-157009.0,,,,
應收票據（增加）減少,129333.0,57106.0,,,,
應收票據－關係人（增加）減少,-1997.0,7627.0,,,,
應收帳款（增加）減少,47330.0,34357.0,,,,
應收帳款－關係人（增加）減少,22357.0,21186.0,,,,
其他應收款（增加）減少,-4864.0,-453.0,,,,
存貨（增加）減少,-4144.0,34758.0,,,,
預付款項（增加）減少,2551.0,-927.0,,,,
其他流動資產（增加）減少,-2944.0,-3395.0,,,,
與營業活動相關之資產之淨變動合計,187622.0,150259.0,,,,
應付票據增加（減少）,-34426.0,-50667.0,,,,
應付票據－關係人增加（減少）,-14554.0,-12063.0,,,,
應付帳款增加（減少）,-26424.0,-63329.0,,,,
應付帳款－關係人增加（減少）,-34915.0,-32968.0,,,,
其他應付款增加（減少）,-36937.0,-17299.0,,,,
其他流動負債增加（減少）,7362.0,8009.0,,,,
淨確定福利負債增加(減少),819.0,-3632.0,,,,
與營業活動相關之負債之淨變動合計,-139075.0,-171949.0,,,,
與營業活動相關之資產及負債之淨變動合計,48547.0,-21690.0,,,,
調整項目合計,-150405.0,-178699.0,,,,
營運產生之現金流入（流出）,119329.0,73268.0,,,,
收取之利息,556.0,676.0,,,,
退還（支付）之所得稅,-9.0,-49.0,,,,
營業活動之淨現金流入（流出）,119876.0,73895.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-12978.0,-145325.0,,,,
處分備供出售金融資產,165.0,1769.0,,,,
取得不動產、廠房及設備,-343834.0,-49152.0,,,,
處分不動產、廠房及設備,0.0,350.0,,,,
其他金融資產增加,-13436.0,-12242.0,,,,
其他非流動資產增加,-74.0,0.0,,,,
其他非流動資產減少,0.0,93.0,,,,
投資活動之淨現金流入（流出）,-370157.0,-204507.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,-247000.0,305000.0,,,,
應付短期票券增加,400096.0,0.0,,,,
應付短期票券減少,0.0,-199879.0,,,,
存入保證金增加,0.0,-9.0,,,,
發放現金股利,0.0,-38.0,,,,
支付之利息,-3693.0,-2320.0,,,,
非控制權益變動,-26.0,0.0,,,,
籌資活動之淨現金流入（流出）,149377.0,102754.0,,,,
匯率變動對現金及約當現金之影響,-40.0,188.0,,,,
本期現金及約當現金增加（減少）數,-100944.0,-27670.0,,,,
期初現金及約當現金餘額,396132.0,429215.0,,,,
期末現金及約當現金餘額,295188.0,401545.0,,,,
資產負債表帳列之現金及約當現金,295188.0,401545.0,,,,
