民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,20079300.0,100.0,21742705.0,100.0,
營業成本合計,18212106.0,90.7,19579545.0,90.05,
營業毛利（毛損）,1867194.0,9.3,2163160.0,9.95,
營業毛利（毛損）淨額,1867194.0,9.3,2163160.0,9.95,
營業費用,,,,,
推銷費用,1082096.0,5.39,1096310.0,5.04,
管理費用,546499.0,2.72,617050.0,2.84,
研究發展費用,25868.0,0.13,24042.0,0.11,
營業費用合計,1654463.0,8.24,1737402.0,7.99,
營業利益（損失）,212731.0,1.06,425758.0,1.96,
營業外收入及支出,,,,,
其他收入,3726.0,0.02,4231.0,0.02,
其他利益及損失淨額,53282.0,0.27,102924.0,0.47,
財務成本淨額,58836.0,0.29,61041.0,0.28,
採用權益法認列之關聯企業及合資損益之份額淨額,-27830.0,-0.14,1473.0,0.01,
營業外收入及支出合計,-29658.0,-0.15,47587.0,0.22,
稅前淨利（淨損）,183073.0,0.91,473345.0,2.18,
所得稅費用（利益）合計,93381.0,0.47,105934.0,0.49,
繼續營業單位本期淨利（淨損）,89692.0,0.45,367411.0,1.69,
本期淨利（淨損）,89692.0,0.45,367411.0,1.69,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-219834.0,-1.09,155665.0,0.72,
備供出售金融資產未實現評價損益,306465.0,1.53,117281.0,0.54,
其他綜合損益（淨額）,86631.0,0.43,272946.0,1.26,
本期綜合損益總額,176323.0,0.88,640357.0,2.95,
母公司業主（淨利／損）,158238.0,0.79,356947.0,1.64,
非控制權益（淨利／損）,-68546.0,-0.34,10464.0,0.05,
母公司業主（綜合損益）,344772.0,1.72,528667.0,2.43,
非控制權益（綜合損益）,-168449.0,-0.84,111690.0,0.51,
基本每股盈餘,,,,,
基本每股盈餘,0.23,,0.52,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.23,,0.52,,
