民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,6542.0,1296.0,,,,
本期稅前淨利（淨損）,6542.0,1296.0,,,,
折舊費用,16545.0,15619.0,,,,
呆帳費用提列（轉列收入）數,-3955.0,-2286.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,7991.0,0.0,,,,
利息費用,2127.0,2277.0,,,,
利息收入,-519.0,-797.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,655.0,759.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,-24.0,0.0,,,,
處分投資損失（利益）,-4899.0,0.0,,,,
未實現外幣兌換損失（利益）,227.0,-2669.0,,,,
其他項目,600.0,582.0,,,,
收益費損項目合計,18748.0,13485.0,,,,
持有供交易之金融資產（增加）減少,0.0,-217.0,,,,
應收票據（增加）減少,48719.0,14962.0,,,,
應收帳款（增加）減少,107146.0,54256.0,,,,
應收帳款－關係人（增加）減少,1888.0,-772.0,,,,
其他應收款（增加）減少,5754.0,-967.0,,,,
其他應收款－關係人（增加）減少,-16.0,447.0,,,,
存貨（增加）減少,-5095.0,-46130.0,,,,
預付款項（增加）減少,-7306.0,-5296.0,,,,
其他流動資產（增加）減少,-28.0,4741.0,,,,
其他金融資產（增加）減少,-4241.0,698.0,,,,
與營業活動相關之資產之淨變動合計,146821.0,21722.0,,,,
應付票據增加（減少）,-33254.0,29727.0,,,,
應付帳款增加（減少）,36626.0,17251.0,,,,
應付帳款－關係人增加（減少）,-376.0,-7807.0,,,,
其他應付款增加（減少）,-40586.0,-40080.0,,,,
其他應付款－關係人增加（減少）,-133.0,-1681.0,,,,
其他流動負債增加（減少）,2371.0,1332.0,,,,
淨確定福利負債增加(減少),-1591.0,316.0,,,,
與營業活動相關之負債之淨變動合計,-36943.0,-942.0,,,,
與營業活動相關之資產及負債之淨變動合計,109878.0,20780.0,,,,
調整項目合計,128626.0,34265.0,,,,
營運產生之現金流入（流出）,135168.0,35561.0,,,,
收取之利息,518.0,775.0,,,,
收取之股利,0.0,853.0,,,,
支付之利息,-1949.0,-2277.0,,,,
退還（支付）之所得稅,-2759.0,-6059.0,,,,
營業活動之淨現金流入（流出）,130978.0,28853.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,0.0,-31611.0,,,,
處分備供出售金融資產,6884.0,0.0,,,,
取得採用權益法之投資,-211.0,0.0,,,,
預付投資款增加,0.0,-1179.0,,,,
取得不動產、廠房及設備,-12663.0,-11938.0,,,,
處分不動產、廠房及設備,25.0,0.0,,,,
存出保證金增加,0.0,-83.0,,,,
存出保證金減少,558.0,0.0,,,,
其他非流動資產減少,339.0,1036.0,,,,
投資活動之淨現金流入（流出）,-5068.0,-43775.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,24997.0,4111.0,,,,
應付短期票券減少,-30000.0,0.0,,,,
償還長期借款,-4711.0,-1749.0,,,,
存入保證金增加,0.0,31.0,,,,
存入保證金減少,-108.0,0.0,,,,
籌資活動之淨現金流入（流出）,-9822.0,2393.0,,,,
匯率變動對現金及約當現金之影響,-792.0,-3404.0,,,,
本期現金及約當現金增加（減少）數,115296.0,-15933.0,,,,
期初現金及約當現金餘額,465966.0,613668.0,,,,
期末現金及約當現金餘額,581262.0,597735.0,,,,
資產負債表帳列之現金及約當現金,581262.0,597735.0,,,,
