民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,581262.0,6.25,465966.0,5.05,597735.0,6.37,,
透過損益按公允價值衡量之金融資產－流動,5155.0,0.06,13226.0,0.14,793.0,0.01,,
備供出售金融資產－流動淨額,2283075.0,24.56,2158225.0,23.39,2126694.0,22.67,,
應收票據淨額,96244.0,1.04,144389.0,1.56,146612.0,1.56,,
應收帳款淨額,226304.0,2.43,330237.0,3.58,255450.0,2.72,,
應收帳款－關係人淨額,17161.0,0.18,19108.0,0.21,25176.0,0.27,,
其他應收款淨額,22837.0,0.25,28591.0,0.31,17300.0,0.18,,
其他應收款－關係人淨額,733.0,0.01,716.0,0.01,923.0,0.01,,
本期所得稅資產,2861.0,0.03,191.0,0.0,3635.0,0.04,,
存貨,672116.0,7.23,667021.0,7.23,749839.0,7.99,,
預付款項,39792.0,0.43,30696.0,0.33,37996.0,0.41,,
其他流動資產,89968.0,0.97,85699.0,0.93,76495.0,0.82,,
流動資產合計,4037508.0,43.43,3944065.0,42.75,4038648.0,43.06,,
非流動資產,,,,,,,,
以成本衡量之金融資產－非流動淨額,143599.0,1.54,143599.0,1.56,143599.0,1.53,,
採用權益法之投資淨額,322162.0,3.47,331891.0,3.6,350362.0,3.74,,
不動產、廠房及設備,1843631.0,19.83,1854504.0,20.1,1891730.0,20.17,,
投資性不動產淨額,2707656.0,29.12,2707687.0,29.35,2707778.0,28.87,,
遞延所得稅資產,150204.0,1.62,150202.0,1.63,150970.0,1.61,,
其他非流動資產,92082.0,0.99,94437.0,1.02,96982.0,1.03,,
非流動資產合計,5259334.0,56.57,5282320.0,57.25,5341421.0,56.94,,
資產總計,9296842.0,100.0,9226385.0,100.0,9380069.0,100.0,,
流動負債,,,,,,,,
短期借款,461688.0,4.97,436691.0,4.73,444855.0,4.74,,
應付短期票券,29985.0,0.32,59959.0,0.65,0.0,0.0,,
應付票據,120603.0,1.3,153857.0,1.67,139559.0,1.49,,
應付帳款,119616.0,1.29,82990.0,0.9,103365.0,1.1,,
應付帳款－關係人,0.0,0.0,376.0,0.0,0.0,0.0,,
其他應付款,129003.0,1.39,171320.0,1.86,127749.0,1.36,,
其他應付款項－關係人,4839.0,0.05,4972.0,0.05,1165.0,0.01,,
本期所得稅負債,29816.0,0.32,22383.0,0.24,11815.0,0.13,,
負債準備－流動,5843.0,0.06,5843.0,0.06,5843.0,0.06,,
其他流動負債,21003.0,0.23,19102.0,0.21,24137.0,0.26,,
流動負債合計,922396.0,9.92,957493.0,10.38,858488.0,9.15,,
非流動負債,,,,,,,,
長期借款,24391.0,0.26,28632.0,0.31,45661.0,0.49,,
遞延所得稅負債,744172.0,8.0,749264.0,8.12,743064.0,7.92,,
其他非流動負債,323679.0,3.48,325378.0,3.53,329611.0,3.51,,
非流動負債合計,1092242.0,11.75,1103274.0,11.96,1118336.0,11.92,,
負債總計,2014638.0,21.67,2060767.0,22.34,1976824.0,21.07,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,1980000.0,21.3,1980000.0,21.46,2200000.0,23.45,,
股本合計,1980000.0,21.3,1980000.0,21.46,2200000.0,23.45,,
資本公積,,,,,,,,
資本公積合計,62647.0,0.67,62647.0,0.68,54717.0,0.58,,
保留盈餘,,,,,,,,
保留盈餘合計,3635966.0,39.11,3629762.0,39.34,3616324.0,38.55,,
其他權益,,,,,,,,
其他權益合計,1722989.0,18.53,1609494.0,17.44,1649603.0,17.59,,
庫藏股票,-118879.0,-1.28,-118879.0,-1.29,-126809.0,-1.35,,
歸屬於母公司業主之權益合計,7282723.0,78.34,7163024.0,77.64,7393835.0,78.82,,
共同控制下前手權益,0.0,0.0,0.0,0.0,0.0,0.0,,
非控制權益,-519.0,-0.01,2594.0,0.03,9410.0,0.1,,
權益總計,7282204.0,78.33,7165618.0,77.66,7403245.0,78.93,,
負債及權益總計,9296842.0,100.0,9226385.0,100.0,9380069.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,7137000.0,,7137000.0,,7930000.0,,,
