會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,141653.0,315244.0,547361.0,820963.0
本期稅前淨利（淨損）,141653.0,315244.0,547361.0,820963.0
折舊費用,31115.0,64634.0,95081.0,127485.0
攤銷費用,7795.0,15003.0,20884.0,24160.0
呆帳費用提列（轉列收入）數,2248.0,2271.0,2523.0,2406.0
利息費用,2336.0,4751.0,8009.0,10973.0
利息收入,-3296.0,-9654.0,-13928.0,-18077.0
採用權益法認列之關聯企業及合資損失（利益）之份額,12432.0,-192.0,-7698.0,-10395.0
處分及報廢不動產、廠房及設備損失（利益）,379.0,27691.0,32326.0,30823.0
處分投資損失（利益）,0.0,420.0,-25.0,-4.0
非金融資產減損迴轉利益,0.0,-15494.0,0.0,0.0
其他項目,-70797.0,-76069.0,-15494.0,-15494.0
收益費損項目合計,-17788.0,13361.0,-84737.0,-82274.0
應收票據（增加）減少,10541.0,-11849.0,36941.0,69603.0
應收帳款（增加）減少,34739.0,38780.0,-11204.0,0.0
其他應收款（增加）減少,0.0,0.0,-19111.0,-7596.0
存貨（增加）減少,204532.0,333992.0,0.0,9355.0
預付款項（增加）減少,0.0,0.0,340933.0,0.0
其他流動資產（增加）減少,-2585.0,-20249.0,-22604.0,379556.0
與營業活動相關之資產之淨變動合計,247227.0,340674.0,0.0,0.0
應付票據增加（減少）,-91532.0,-49410.0,288014.0,30377.0
其他應付款增加（減少）,-81560.0,0.0,30046.0,411692.0
其他流動負債增加（減少）,-59302.0,-24095.0,0.0,-21892.0
與營業活動相關之負債之淨變動合計,-232394.0,-57548.0,0.0,0.0
與營業活動相關之資產及負債之淨變動合計,14833.0,24670.0,-4493.0,0.0
調整項目合計,-2955.0,-106383.0,-61148.0,-941.0
營運產生之現金流入（流出）,138698.0,234291.0,8907.0,-60248.0
收取之利息,2177.0,247652.0,-26688.0,-3946.0
支付之利息,-2360.0,562896.0,261326.0,-87027.0
退還（支付）之所得稅,-12129.0,9595.0,298267.0,324665.0
營業活動之淨現金流入（流出）,126386.0,192.0,845628.0,394268.0
投資活動之現金流量,,-4760.0,13871.0,1215231.0
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,-88294.0,7698.0,18078.0
取得無活絡市場之債務工具投資,-109.0,479629.0,-8023.0,10395.0
取得採用權益法之投資,0.0,,-160916.0,-11067.0
處分採用權益法之投資,0.0,0.0,698258.0,0.0
預付投資款增加,0.0,0.0,,-168144.0
取得不動產、廠房及設備,-21010.0,0.0,0.0,1064493.0
處分不動產、廠房及設備,0.0,-385.0,0.0,
存出保證金增加,-58.0,0.0,0.0,0.0
其他非流動資產減少,3827.0,0.0,44767.0,0.0
預付設備款增加,-4109.0,0.0,0.0,1000.0
其他投資活動,0.0,-29390.0,1000.0,-43462.0
投資活動之淨現金流入（流出）,-21459.0,0.0,1253.0,0.0
籌資活動之現金流量,,-48.0,0.0,1253.0
短期借款減少,80000.0,0.0,0.0,0.0
舉借長期借款,0.0,0.0,-39349.0,-2725.0
其他非流動負債增加,-836.0,0.0,0.0,-91322.0
非控制權益變動,0.0,1665.0,725.0,0.0
籌資活動之淨現金流入（流出）,79164.0,-6861.0,0.0,3333.0
匯率變動對現金及約當現金之影響,-5239.0,0.0,-2975.0,0.0
本期現金及約當現金增加（減少）數,178852.0,-35019.0,0.0,-5393.0
期初現金及約當現金餘額,1184617.0,,-9390.0,55875.0
期末現金及約當現金餘額,1363469.0,50000.0,-3969.0,-81441.0
資產負債表帳列之現金及約當現金,1363469.0,0.0,,
