民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,3661067.0,100.0,3528563.0,100.0,
營業收入合計,3661067.0,100.0,3528563.0,100.0,
銷貨成本,3158674.0,86.28,3093948.0,87.68,
營業成本合計,3158674.0,86.28,3093948.0,87.68,
營業毛利（毛損）,502393.0,13.72,434615.0,12.32,
營業毛利（毛損）淨額,502393.0,13.72,434615.0,12.32,
營業費用,,,,,
推銷費用,208006.0,5.68,182390.0,5.17,
管理費用,65639.0,1.79,64324.0,1.82,
研究發展費用,12290.0,0.34,11469.0,0.33,
營業費用合計,285935.0,7.81,258183.0,7.32,
其他收益及費損淨額,,,,,
其他收益及費損淨額,0.0,0.0,0.0,0.0,
營業利益（損失）,216458.0,5.91,176432.0,5.0,
營業外收入及支出,,,,,
其他收入,5690.0,0.16,9020.0,0.26,
其他利益及損失淨額,-6433.0,-0.18,16474.0,0.47,
財務成本淨額,7450.0,0.2,7094.0,0.2,
採用權益法認列之關聯企業及合資損益之份額淨額,-3179.0,-0.09,-531.0,-0.02,
營業外收入及支出合計,-11372.0,-0.31,17869.0,0.51,
稅前淨利（淨損）,205086.0,5.6,194301.0,5.51,
所得稅費用（利益）合計,28679.0,0.78,24559.0,0.7,
繼續營業單位本期淨利（淨損）,176407.0,4.82,169742.0,4.81,
停業單位損益,,,,,
停業單位損益合計,-6614.0,-0.18,-7838.0,-0.22,
本期淨利（淨損）,169793.0,4.64,161904.0,4.59,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-9040.0,-0.25,12710.0,0.36,
備供出售金融資產未實現評價損益,-661.0,-0.02,-309.0,-0.01,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-6208.0,-0.17,-5513.0,-0.16,
與可能重分類之項目相關之所得稅,-1537.0,-0.04,2160.0,0.06,
其他綜合損益（淨額）,-14372.0,-0.39,4728.0,0.13,
本期綜合損益總額,155421.0,4.25,166632.0,4.72,
母公司業主（淨利／損）,161693.0,4.42,154040.0,4.37,
非控制權益（淨利／損）,8100.0,0.22,7864.0,0.22,
母公司業主（綜合損益）,147361.0,4.03,158807.0,4.5,
非控制權益（綜合損益）,8060.0,0.22,7825.0,0.22,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.36,,0.35,,
停業單位淨利（淨損）,-0.01,,-0.02,,
基本每股盈餘,0.35,,0.33,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.36,,0.35,,
停業單位淨利（淨損）,-0.01,,-0.02,,
稀釋每股盈餘,0.35,,0.33,,
