民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,1643451.0,99.34,1488004.0,99.27,
專櫃銷貨收入,0.0,0.0,0.0,0.0,
分期付款銷貨收入,0.0,0.0,0.0,0.0,
銷貨退回,0.0,0.0,0.0,0.0,
銷貨折讓,0.0,0.0,0.0,0.0,
銷貨收入淨額,1643451.0,99.34,1488004.0,99.27,
投資收入,0.0,0.0,0.0,0.0,
租賃收入,10998.0,0.66,10950.0,0.73,
旅遊服務收入,0.0,0.0,0.0,0.0,
營建工程收入,0.0,0.0,0.0,0.0,
勞務收入,0.0,0.0,0.0,0.0,
其他營業收入淨額,0.0,0.0,0.0,0.0,
營業收入合計,1654449.0,100.0,1498954.0,100.0,
銷貨成本,1247445.0,75.4,1113329.0,74.27,
租賃成本,6355.0,0.38,6265.0,0.42,
租賃成本,6355.0,0.38,6265.0,0.42,
營業成本合計,1253800.0,75.78,1119594.0,74.69,
營業毛利（毛損）,400649.0,24.22,379360.0,25.31,
未實現銷貨（損）益,0.0,0.0,0.0,0.0,
已實現銷貨（損）益,0.0,0.0,0.0,0.0,
營業毛利（毛損）淨額,400649.0,24.22,379360.0,25.31,
營業費用,,,,,
推銷費用,164298.0,9.93,148714.0,9.92,
管理費用,50173.0,3.03,51816.0,3.46,
研究發展費用,1501.0,0.09,1639.0,0.11,
營業費用合計,215972.0,13.05,202169.0,13.49,
營業利益（損失）,184677.0,11.16,177191.0,11.82,
營業外收入及支出,,,,,
其他收入,44200.0,2.67,14343.0,0.96,
其他利益及損失淨額,66438.0,4.02,0.0,0.0,
除列按攤銷後成本衡量金融資產淨損益,0.0,0.0,0.0,0.0,
財務成本淨額,6057.0,0.37,9446.0,0.63,
採用權益法認列之關聯企業及合資損益之份額淨額,-32372.0,-1.96,-5853.0,-0.39,
營業外收入及支出合計,72209.0,4.36,-956.0,-0.06,
稅前淨利（淨損）,256886.0,15.53,176235.0,11.76,
所得稅費用（利益）合計,53655.0,3.24,48365.0,3.23,
繼續營業單位本期淨利（淨損）,203231.0,12.28,127870.0,8.53,
停業單位損益,,,,,
停業單位損益合計,0.0,0.0,0.0,0.0,
本期淨利（淨損）,203231.0,12.28,127870.0,8.53,
不重分類至損益之項目：,,,,,
確定福利計畫之再衡量數,-42.0,0.0,369.0,0.02,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,0.0,0.0,0.0,0.0,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,7854.0,0.47,101605.0,6.78,
備供出售金融資產未實現評價損益,6363.0,0.38,-8915.0,-0.59,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-1115.0,-0.07,3665.0,0.24,
其他綜合損益（淨額）,13060.0,0.79,96724.0,6.45,
本期綜合損益總額,216291.0,13.07,224594.0,14.98,
母公司業主（淨利／損）,118298.0,7.15,85357.0,5.69,
非控制權益（淨利／損）,84933.0,5.13,42513.0,2.84,
母公司業主（綜合損益）,130152.0,7.87,134380.0,8.96,
非控制權益（綜合損益）,86139.0,5.21,90214.0,6.02,
基本每股盈餘,,,,,
基本每股盈餘,0.5,,0.36,,
