民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,256886.0,176235.0,,,,
本期稅前淨利（淨損）,256886.0,176235.0,,,,
折舊費用,35616.0,43224.0,,,,
攤銷費用,7855.0,5519.0,,,,
呆帳費用提列（轉列收入）數,-9398.0,349.0,,,,
利息費用,6057.0,9446.0,,,,
利息收入,-4793.0,-2856.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,32372.0,5853.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,0.0,153.0,,,,
處分投資損失（利益）,-66438.0,0.0,,,,
非金融資產減損迴轉利益,0.0,0.0,,,,
其他項目,-2383.0,4784.0,,,,
收益費損項目合計,-1112.0,66472.0,,,,
應收票據（增加）減少,-26514.0,45817.0,,,,
應收帳款（增加）減少,27198.0,-50879.0,,,,
其他應收款（增加）減少,34129.0,2728.0,,,,
存貨（增加）減少,59277.0,-168605.0,,,,
預付款項（增加）減少,0.0,13709.0,,,,
其他流動資產（增加）減少,-4021.0,-14042.0,,,,
與營業活動相關之資產之淨變動合計,90069.0,-171272.0,,,,
應付票據增加（減少）,-56996.0,-13691.0,,,,
其他應付款增加（減少）,-41138.0,-47556.0,,,,
其他流動負債增加（減少）,-8426.0,6590.0,,,,
與營業活動相關之負債之淨變動合計,-106560.0,-54657.0,,,,
與營業活動相關之資產及負債之淨變動合計,-16491.0,-225929.0,,,,
調整項目合計,-17603.0,-159457.0,,,,
營運產生之現金流入（流出）,239283.0,16778.0,,,,
收取之利息,4793.0,2856.0,,,,
支付之利息,-6055.0,-8368.0,,,,
退還（支付）之所得稅,-20863.0,-10648.0,,,,
營業活動之淨現金流入（流出）,217158.0,618.0,,,,
投資活動之現金流量,,,,,,
取得透過其他綜合損益按公允價值衡量之金融資產,-341.0,0.0,,,,
取得無活絡市場之債務工具投資,-102219.0,-799.0,,,,
取得採用權益法之投資,0.0,0.0,,,,
處分採用權益法之投資,86913.0,0.0,,,,
預付投資款增加,0.0,0.0,,,,
取得不動產、廠房及設備,-16406.0,-10731.0,,,,
處分不動產、廠房及設備,0.0,0.0,,,,
存出保證金增加,922.0,34.0,,,,
其他非流動資產減少,-2826.0,2364.0,,,,
其他投資活動,-1.0,-1.0,,,,
投資活動之淨現金流入（流出）,-33958.0,-9133.0,,,,
籌資活動之現金流量,,,,,,
短期借款減少,-127449.0,111054.0,,,,
舉借長期借款,0.0,-2475.0,,,,
其他非流動負債增加,-94.0,599.0,,,,
非控制權益變動,-13304.0,0.0,,,,
籌資活動之淨現金流入（流出）,-140847.0,109178.0,,,,
匯率變動對現金及約當現金之影響,113374.0,48061.0,,,,
本期現金及約當現金增加（減少）數,155727.0,148724.0,,,,
期初現金及約當現金餘額,727297.0,539493.0,,,,
期末現金及約當現金餘額,883024.0,688217.0,,,,
資產負債表帳列之現金及約當現金,883024.0,688217.0,,,,
