會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,24085.0,46184.0,179723.0,208613.0
本期稅前淨利（淨損）,24085.0,46184.0,179723.0,208613.0
折舊費用,208.0,419.0,613.0,867.0
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,-152.0,-2237.0,-2162.0,-8206.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,8.0,8.0,-32.0,-11.0
利息費用,2898.0,6521.0,10409.0,26063.0
利息收入,-42.0,-45.0,-45.0,-53.0
股利收入,-30747.0,-19.0,-53116.0,-84393.0
採用權益法認列之關聯企業及合資損失（利益）之份額,0.0,-57945.0,-115281.0,-135962.0
處分及報廢不動產、廠房及設備損失（利益）,-27827.0,7.0,8.0,2.0
其他項目,0.0,-53291.0,-159606.0,0.0
收益費損項目合計,-447.0,0.0,0.0,-201693.0
強制透過損益按公允價值衡量之金融資產（增加）減少,498.0,351.0,-1579.0,0.0
應收票據（增加）減少,162.0,-307.0,-1115.0,-947.0
應收帳款（增加）減少,947.0,160.0,2162.0,5613.0
其他應收款（增加）減少,226.0,303.0,773.0,2155.0
存貨（增加）減少,-498.0,132.0,102.0,1821.0
預付款項（增加）減少,888.0,19.0,-125.0,296.0
其他流動資產（增加）減少,0.0,658.0,218.0,246.0
與營業活動相關之資產之淨變動合計,-2520.0,0.0,0.0,9184.0
應付帳款增加（減少）,26610.0,839.0,5317.0,2959.0
其他應付款增加（減少）,-267.0,-8197.0,-11936.0,-25854.0
其他流動負債增加（減少）,23823.0,-301.0,-274.0,-242.0
與營業活動相關之負債之淨變動合計,24711.0,-7659.0,-6893.0,-23137.0
與營業活動相關之資產及負債之淨變動合計,-3116.0,-7001.0,-6675.0,-13953.0
調整項目合計,20969.0,-60292.0,-166281.0,-215646.0
營運產生之現金流入（流出）,42.0,-14108.0,13442.0,-7033.0
收取之利息,-2009.0,45.0,45.0,53.0
支付之利息,-471.0,-5891.0,-9732.0,-19715.0
退還（支付）之所得稅,18531.0,-1153.0,-3018.0,-10938.0
營業活動之淨現金流入（流出）,,-21107.0,737.0,-37633.0
投資活動之現金流量,-49875.0,,,
取得透過其他綜合損益按公允價值衡量之金融資產,76279.0,-174105.0,-305184.0,-341556.0
處分透過其他綜合損益按公允價值衡量之金融資產,-2548.0,257376.0,492464.0,552318.0
透過其他綜合損益按公允價值衡量之金融資產減資退回股款,0.0,-2887.0,17.0,17.0
取得採用權益法之投資,0.0,-47.0,-87246.0,-96258.0
預付投資款增加,3090.0,0.0,-47.0,0.0
取得不動產、廠房及設備,26946.0,0.0,0.0,-2152.0
處分不動產、廠房及設備,,0.0,0.0,12.0
存出保證金減少,-38180.0,19.0,70868.0,0.0
因合併產生之現金流入,0.0,3090.0,3090.0,912.0
取得投資性不動產,-3.0,83446.0,173962.0,0.0
其他非流動資產增加,1859.0,,,-167.0
收取之股利,-151485.0,-43291.0,-27546.0,198616.0
其他投資活動,-187809.0,-49961.0,-49937.0,3090.0
投資活動之淨現金流入（流出）,-142332.0,0.0,0.0,314832.0
籌資活動之現金流量,152647.0,-1000.0,-4000.0,
短期借款減少,10315.0,24.0,24.0,-29743.0
應付短期票券減少,10315.0,0.0,16402.0,-69941.0
