民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入,508415.0,100.41,433934.0,100.51,
銷貨退回,1554.0,0.31,1472.0,0.34,
銷貨折讓,528.0,0.1,709.0,0.16,
銷貨收入淨額,506333.0,100.0,431753.0,100.0,
營業收入合計,506333.0,100.0,431753.0,100.0,
銷貨成本,358882.0,70.88,296450.0,68.66,
營業成本合計,358882.0,70.88,296450.0,68.66,
營業毛利（毛損）,147451.0,29.12,135303.0,31.34,
營業毛利（毛損）淨額,147451.0,29.12,135303.0,31.34,
營業費用,,,,,
推銷費用,30173.0,5.96,17430.0,4.04,
管理費用,39413.0,7.78,27641.0,6.4,
研究發展費用,6336.0,1.25,3761.0,0.87,
營業費用合計,75922.0,14.99,48832.0,11.31,
營業利益（損失）,71529.0,14.13,86471.0,20.03,
營業外收入及支出,,,,,
其他收入,1090.0,0.22,919.0,0.21,
其他利益及損失淨額,1346.0,0.27,-483.0,-0.11,
財務成本淨額,1701.0,0.34,576.0,0.13,
營業外收入及支出合計,735.0,0.15,-140.0,-0.03,
稅前淨利（淨損）,72264.0,14.27,86331.0,20.0,
所得稅費用（利益）合計,24754.0,4.89,29604.0,6.86,
繼續營業單位本期淨利（淨損）,47510.0,9.38,56727.0,13.14,
本期淨利（淨損）,47510.0,9.38,56727.0,13.14,
不重分類至損益之項目：,,,,,
不重分類至損益之其他項目,-7792.0,-1.54,-3323.0,-0.77,
後續可能重分類至損益之項目：,,,,,
其他綜合損益（淨額）,-7792.0,-1.54,-3323.0,-0.77,
本期綜合損益總額,39718.0,7.84,53404.0,12.37,
母公司業主（淨利／損）,47268.0,9.34,56591.0,13.11,
非控制權益（淨利／損）,242.0,0.05,136.0,0.03,
母公司業主（綜合損益）,39502.0,7.8,53278.0,12.34,
非控制權益（綜合損益）,216.0,0.04,126.0,0.03,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.91,,2.29,,
基本每股盈餘,1.91,,2.29,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,1.91,,2.29,,
稀釋每股盈餘,1.91,,2.29,,
