民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,4008464.0,100.0,4158339.0,100.0,
營業成本合計,3505592.0,87.45,3660679.0,88.03,
營業毛利（毛損）,502872.0,12.55,497660.0,11.97,
營業毛利（毛損）淨額,502872.0,12.55,497660.0,11.97,
營業費用,,,,,
推銷費用,185190.0,4.62,190457.0,4.58,
管理費用,88707.0,2.21,78823.0,1.9,
營業費用合計,273897.0,6.83,269280.0,6.48,
其他收益及費損淨額,,,,,
其他收益及費損淨額,-12346.0,-0.31,11382.0,0.27,
營業利益（損失）,216629.0,5.4,239762.0,5.77,
營業外收入及支出,,,,,
其他收入,684.0,0.02,446.0,0.01,
其他利益及損失淨額,12103.0,0.3,17977.0,0.43,
財務成本淨額,8400.0,0.21,9706.0,0.23,
營業外收入及支出合計,4387.0,0.11,8717.0,0.21,
稅前淨利（淨損）,221016.0,5.51,248479.0,5.98,
所得稅費用（利益）合計,42313.0,1.06,41867.0,1.01,
繼續營業單位本期淨利（淨損）,178703.0,4.46,206612.0,4.97,
本期淨利（淨損）,178703.0,4.46,206612.0,4.97,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-22858.0,-0.57,10624.0,0.26,
備供出售金融資產未實現評價損益,-277668.0,-6.93,-182184.0,-4.38,
其他綜合損益（淨額）,-300526.0,-7.5,-171560.0,-4.13,
本期綜合損益總額,-121823.0,-3.04,35052.0,0.84,
母公司業主（淨利／損）,174847.0,4.36,202586.0,4.87,
非控制權益（淨利／損）,3856.0,0.1,4026.0,0.1,
母公司業主（綜合損益）,-124666.0,-3.11,30117.0,0.72,
非控制權益（綜合損益）,2843.0,0.07,4935.0,0.12,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.72,,0.83,,
基本每股盈餘,0.72,,0.83,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.72,,0.83,,
稀釋每股盈餘,0.72,,0.83,,
