會計項目,Q1金額,Q2金額,Q3金額,Q4金額
營業活動之現金流量－間接法,,,,
繼續營業單位稅前淨利（淨損）,164949.0,204375.0,407577.0,530587.0
本期稅前淨利（淨損）,164949.0,204375.0,407577.0,530587.0
折舊費用,45639.0,91410.0,137436.0,183878.0
攤銷費用,2622.0,5313.0,8188.0,11070.0
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,995.0,840.0,1432.0,360.0
利息費用,1359.0,3051.0,4029.0,4523.0
利息收入,-2602.0,2779.0,-10202.0,-17875.0
處分及報廢不動產、廠房及設備損失（利益）,77.0,-5945.0,1223.0,1279.0
處分投資性不動產損失（利益）,0.0,706.0,2.0,2.0
處分其他資產損失（利益）,358.0,2.0,-23.0,-23.0
處分投資損失（利益）,48448.0,-23.0,0.0,0.0
其他項目,-48409.0,0.0,4455.0,5538.0
收益費損項目合計,-1876.0,2745.0,146540.0,188752.0
合約資產（增加）減少,-111341.0,100878.0,138315.0,89249.0
應收票據（增加）減少,-644.0,-168948.0,-3299.0,2574.0
應收帳款（增加）減少,-10929.0,-776.0,23480.0,15498.0
存貨（增加）減少,-173199.0,-38319.0,32421.0,-25231.0
其他流動資產（增加）減少,9561.0,9205.0,-22979.0,9223.0
與營業活動相關之資產之淨變動合計,-12867.0,6406.0,167938.0,91313.0
合約負債增加（減少）,-32707.0,-192432.0,31694.0,23210.0
應付票據增加（減少）,-131586.0,41840.0,45126.0,17985.0
應付帳款增加（減少）,9145.0,-12916.0,-64296.0,-104596.0
其他應付款增加（減少）,396.0,-29696.0,-47914.0,-21447.0
其他流動負債增加（減少）,-3359.0,-105578.0,17637.0,7627.0
淨確定福利負債增加(減少),-161417.0,-1065.0,-8903.0,-5349.0
其他營業負債增加（減少）,-334616.0,-6076.0,-26656.0,-13133.0
與營業活動相關之負債之淨變動合計,-286168.0,-113491.0,141282.0,-95703.0
與營業活動相關之資產及負債之淨變動合計,-121219.0,-305923.0,287822.0,-4390.0
調整項目合計,-199.0,-205045.0,695399.0,184362.0
營運產生之現金流入（流出）,-241.0,-670.0,-621.0,714949.0
支付之利息,-121659.0,-430.0,-132775.0,-816.0
退還（支付）之所得稅,,-76599.0,562003.0,-133444.0
營業活動之淨現金流入（流出）,1266.0,-77699.0,,580689.0
投資活動之現金流量,-407.0,,1266.0,
處分透過其他綜合損益按公允價值衡量之金融資產,0.0,1266.0,-2688.0,1266.0
取得按攤銷後成本衡量之金融資產,0.0,-8139.0,0.0,-1544.0
取得透過損益按公允價值衡量之金融資產,-29447.0,0.0,0.0,0.0
處分透過損益按公允價值衡量之金融資產,7.0,0.0,-220150.0,0.0
取得不動產、廠房及設備,0.0,-199423.0,144.0,-246113.0
處分不動產、廠房及設備,17.0,144.0,-2967.0,144.0
存出保證金增加,-168.0,-183.0,0.0,-592.0
存出保證金減少,0.0,0.0,-490.0,0.0
取得無形資產,3024.0,-263.0,0.0,-490.0
取得投資性不動產,-25708.0,0.0,0.0,0.0
收取之利息,,6282.0,10314.0,17694.0
投資活動之淨現金流入（流出）,0.0,-200316.0,-214571.0,-229635.0
籌資活動之現金流量,15260.0,,,
短期借款增加,-1071.0,220000.0,420000.0,440000.0
短期借款減少,2494.0,-184625.0,-707530.0,-707530.0
舉借長期借款,-2923.0,15260.0,15260.0,25260.0
償還長期借款,-1140.0,-2400.0,-3728.0,-5056.0
存入保證金增加,32.0,20495.0,17469.0,26120.0
租賃本金償還,12652.0,-5553.0,-8108.0,-10620.0
發放現金股利,624.0,-2295.0,-300000.0,-300000.0
支付之利息,-134091.0,32.0,-3580.0,-3860.0
非控制權益變動,1725781.0,60914.0,32.0,-12325.0
其他籌資活動,1591690.0,370.0,-570185.0,32.0
籌資活動之淨現金流入（流出）,1591690.0,-216731.0,514.0,-547979.0
