民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,103年01月01日至103年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,8369130.0,7665550.0,,,,
本期稅前淨利（淨損）,8369130.0,7665550.0,,,,
折舊費用,4808107.0,4393492.0,,,,
攤銷費用,173083.0,187928.0,,,,
呆帳費用提列（轉列收入）數,18470.0,-116011.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-38004.0,-11584.0,,,,
利息費用,598486.0,612644.0,,,,
利息收入,-291532.0,-184547.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-1117519.0,-1138179.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,18650.0,6475.0,,,,
處分投資性不動產損失（利益）,0.0,-625.0,,,,
處分無形資產損失（利益）,6394.0,15422.0,,,,
處分待出售非流動資產損失（利益）,-452780.0,-1118398.0,,,,
處分投資損失（利益）,-297198.0,-223312.0,,,,
金融資產減損損失,0.0,0.0,,,,
非金融資產減損迴轉利益,-3708.0,-6879.0,,,,
其他項目,64105.0,10614.0,,,,
收益費損項目合計,3486554.0,2427040.0,,,,
持有供交易之金融資產（增加）減少,-136714.0,-538873.0,,,,
應收票據（增加）減少,-18345.0,92332.0,,,,
應收票據－關係人（增加）減少,0.0,0.0,,,,
應收帳款（增加）減少,15131.0,-316722.0,,,,
其他應收款（增加）減少,688094.0,-532515.0,,,,
存貨（增加）減少,1472168.0,2335807.0,,,,
預付款項（增加）減少,-695414.0,-1770622.0,,,,
其他流動資產（增加）減少,44106.0,147903.0,,,,
與營業活動相關之資產之淨變動合計,1369026.0,-582690.0,,,,
應付票據增加（減少）,637084.0,-526950.0,,,,
應付帳款增加（減少）,-208750.0,837919.0,,,,
其他應付款增加（減少）,3371658.0,413278.0,,,,
預收款項增加（減少）,-2039927.0,-3002615.0,,,,
其他流動負債增加（減少）,5762.0,95086.0,,,,
淨確定福利負債增加(減少),-82785.0,-77320.0,,,,
與營業活動相關之負債之淨變動合計,1683042.0,-2260602.0,,,,
與營業活動相關之資產及負債之淨變動合計,3052068.0,-2843292.0,,,,
調整項目合計,6538622.0,-416252.0,,,,
營運產生之現金流入（流出）,14907752.0,7249298.0,,,,
收取之利息,177522.0,168798.0,,,,
支付之利息,-656111.0,-510685.0,,,,
退還（支付）之所得稅,-655487.0,-165987.0,,,,
營業活動之淨現金流入（流出）,13773676.0,6741424.0,,,,
投資活動之現金流量,,,,,,
取得備供出售金融資產,-357607.0,-122777.0,,,,
處分備供出售金融資產,798550.0,521978.0,,,,
備供出售金融資產減資退回股款,0.0,0.0,,,,
取得以成本衡量之金融資產,-38972.0,-6094.0,,,,
處分以成本衡量之金融資產,65238.0,0.0,,,,
以成本衡量之金融資產減資退回股款,0.0,0.0,,,,
取得採用權益法之投資,-128387.0,-549998.0,,,,
處分採用權益法之投資,32067.0,0.0,,,,
處分子公司,0.0,0.0,,,,
採用權益法之被投資公司減資退回股款,2425.0,134714.0,,,,
處分待出售非流動資產,275402.0,1445650.0,,,,
取得不動產、廠房及設備,-4447586.0,-6395801.0,,,,
處分不動產、廠房及設備,78742.0,159993.0,,,,
存出保證金減少,-248883.0,55881.0,,,,
其他應收款－關係人減少,276.0,-378.0,,,,
取得無形資產,-82536.0,-52707.0,,,,
取得投資性不動產,-99155.0,-33434.0,,,,
處分投資性不動產,0.0,1088.0,,,,
其他金融資產增加,-13053889.0,-8593088.0,,,,
其他非流動資產增加,-51796.0,-40408.0,,,,
預付設備款增加,-642901.0,-620854.0,,,,
其他預付款項增加,-469983.0,-270249.0,,,,
其他投資活動,0.0,2400.0,,,,
投資活動之淨現金流入（流出）,-18368995.0,-14364084.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,8891810.0,11038567.0,,,,
應付短期票券增加,116953.0,196115.0,,,,
發行公司債,717242.0,8500277.0,,,,
償還公司債,0.0,0.0,,,,
舉借長期借款,49031001.0,27446891.0,,,,
償還長期借款,-55579831.0,-39259579.0,,,,
存入保證金減少,133523.0,-75349.0,,,,
其他應付款－關係人減少,0.0,0.0,,,,
其他非流動負債增加,87097.0,-136777.0,,,,
發放現金股利,0.0,0.0,,,,
處分子公司股權（未喪失控制力）,137505.0,4009.0,,,,
非控制權益變動,-603867.0,-83489.0,,,,
籌資活動之淨現金流入（流出）,2931433.0,7630665.0,,,,
匯率變動對現金及約當現金之影響,80301.0,-118538.0,,,,
本期現金及約當現金增加（減少）數,-1583585.0,-110533.0,,,,
期初現金及約當現金餘額,43858837.0,40034826.0,,,,
期末現金及約當現金餘額,42275252.0,39924293.0,,,,
資產負債表帳列之現金及約當現金,42275252.0,39924293.0,,,,
