民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,104940238.0,100.0,107115302.0,100.0,
營業成本合計,70402856.0,67.09,74101402.0,69.18,
營業毛利（毛損）,34537382.0,32.91,33013900.0,30.82,
營業毛利（毛損）淨額,34537382.0,32.91,33013900.0,30.82,
營業費用,,,,,
推銷費用,22712282.0,21.64,22279182.0,20.8,
管理費用,5313022.0,5.06,5319936.0,4.97,
研究發展費用,234184.0,0.22,240423.0,0.22,
營業費用合計,28259488.0,26.93,27839541.0,25.99,
營業利益（損失）,6277894.0,5.98,5174359.0,4.83,
營業外收入及支出,,,,,
其他收入,1161732.0,1.11,1200743.0,1.12,
其他利益及損失淨額,410471.0,0.39,764913.0,0.71,
財務成本淨額,598486.0,0.57,612644.0,0.57,
採用權益法認列之關聯企業及合資損益之份額淨額,1117519.0,1.06,1138179.0,1.06,
營業外收入及支出合計,2091236.0,1.99,2491191.0,2.33,
稅前淨利（淨損）,8369130.0,7.98,7665550.0,7.16,
所得稅費用（利益）合計,1752853.0,1.67,1129288.0,1.05,
繼續營業單位本期淨利（淨損）,6616277.0,6.3,6536262.0,6.1,
本期淨利（淨損）,6616277.0,6.3,6536262.0,6.1,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-702395.0,-0.67,-450024.0,-0.42,
備供出售金融資產未實現評價損益,-204005.0,-0.19,-273363.0,-0.26,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,96254.0,0.09,92224.0,0.09,
其他綜合損益（淨額）,-810146.0,-0.77,-631163.0,-0.59,
本期綜合損益總額,5806131.0,5.53,5905099.0,5.51,
母公司業主（淨利／損）,4299459.0,4.1,4161367.0,3.88,
非控制權益（淨利／損）,2316818.0,2.21,2374895.0,2.22,
母公司業主（綜合損益）,3641583.0,3.47,4039305.0,3.77,
非控制權益（綜合損益）,2164548.0,2.06,1865794.0,1.74,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.79,,0.76,,
基本每股盈餘,0.79,,0.76,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.78,,0.76,,
稀釋每股盈餘,0.78,,0.76,,
