民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年01月01日至104年03月31日,104年01月01日至104年03月31日,103年01月01日至103年03月31日,103年01月01日至103年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,80909048.0,100.0,100960296.0,100.0,
營業成本合計,74716000.0,92.35,95975080.0,95.06,
營業毛利（毛損）,6193048.0,7.65,4985216.0,4.94,
營業毛利（毛損）淨額,6193048.0,7.65,4985216.0,4.94,
營業費用,,,,,
推銷費用,2221659.0,2.75,1949065.0,1.93,
管理費用,1304119.0,1.61,1348214.0,1.34,
營業費用合計,3525778.0,4.36,3297279.0,3.27,
營業利益（損失）,2667270.0,3.3,1687937.0,1.67,
營業外收入及支出,,,,,
其他收入,372501.0,0.46,413524.0,0.41,
其他利益及損失淨額,-225575.0,-0.28,3071900.0,3.04,
財務成本淨額,565390.0,0.7,645999.0,0.64,
採用權益法認列之關聯企業及合資損益之份額淨額,282616.0,0.35,2520514.0,2.5,
營業外收入及支出合計,-135848.0,-0.17,5359939.0,5.31,
稅前淨利（淨損）,2531422.0,3.13,7047876.0,6.98,
所得稅費用（利益）合計,474331.0,0.59,731453.0,0.72,
繼續營業單位本期淨利（淨損）,2057091.0,2.54,6316423.0,6.26,
本期淨利（淨損）,2057091.0,2.54,6316423.0,6.26,
後續可能重分類至損益之項目：,,,,,
國外營運機構財務報表換算之兌換差額,-1229904.0,-1.52,1205938.0,1.19,
備供出售金融資產未實現評價損益,2789591.0,3.45,-5651147.0,-5.6,
採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,216843.0,0.27,-388967.0,-0.39,
與可能重分類之項目相關之所得稅,-136044.0,-0.17,135910.0,0.13,
其他綜合損益（淨額）,1912574.0,2.36,-4970086.0,-4.92,
本期綜合損益總額,3969665.0,4.91,1346337.0,1.33,
母公司業主（淨利／損）,1486545.0,1.84,5678904.0,5.62,
非控制權益（淨利／損）,570546.0,0.71,637519.0,0.63,
母公司業主（綜合損益）,3758256.0,4.65,1465184.0,1.45,
非控制權益（綜合損益）,211409.0,0.26,-118847.0,-0.12,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.25,,0.97,,
基本每股盈餘,0.25,,0.97,,
