民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,103年01月01日,103年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
流動資產,,,,,,,,,,
現金及約當現金,24089070.0,4.54,14335920.0,2.7,14681663.0,2.76,11459481.0,2.18,,
透過損益按公允價值衡量之金融資產－流動,654750.0,0.12,654499.0,0.12,400978.0,0.08,1352.0,0.0,,
備供出售金融資產－流動淨額,88531297.0,16.69,85403726.0,16.09,67674941.0,12.7,71852908.0,13.67,,
應收票據淨額,9900320.0,1.87,11118245.0,2.09,9194542.0,1.73,12050211.0,2.29,,
應收票據－關係人淨額,3335.0,0.0,2743.0,0.0,4509.0,0.0,6963.0,0.0,,
應收帳款淨額,17264853.0,3.26,18966457.0,3.57,22610531.0,4.24,21756367.0,4.14,,
應收帳款－關係人淨額,7053202.0,1.33,6796500.0,1.28,7960615.0,1.49,9511848.0,1.81,,
其他應收款淨額,12288233.0,2.32,15221828.0,2.87,10914104.0,2.05,7913999.0,1.51,,
其他應收款－關係人淨額,19089056.0,3.6,18147440.0,3.42,17960000.0,3.37,13300700.0,2.53,,
存貨,39176855.0,7.39,48948094.0,9.22,55821437.0,10.48,53825396.0,10.24,,
其他流動資產,9062170.0,1.71,6335961.0,1.19,15550368.0,2.92,12240725.0,2.33,,
流動資產合計,227113141.0,42.82,225931413.0,42.56,222773688.0,41.81,213919950.0,40.69,,
非流動資產,,,,,,,,,,
備供出售金融資產－非流動淨額,36683525.0,6.92,37051836.0,6.98,43843932.0,8.23,45316216.0,8.62,,
以成本衡量之金融資產－非流動淨額,3538342.0,0.67,3513344.0,0.66,2878666.0,0.54,2878666.0,0.55,,
採用權益法之投資淨額,107955705.0,20.35,107070123.0,20.17,105872719.0,19.87,104466240.0,19.87,,
不動產、廠房及設備,144238589.0,27.19,144975464.0,27.31,144359462.0,27.1,145053156.0,27.59,,
無形資產,9353.0,0.0,5709.0,0.0,7011.0,0.0,7487.0,0.0,,
遞延所得稅資產,2235397.0,0.42,2496754.0,0.47,2970335.0,0.56,3210185.0,0.61,,
其他非流動資產,8626744.0,1.63,9774533.0,1.84,10061994.0,1.89,10847941.0,2.06,,
非流動資產合計,303287655.0,57.18,304887763.0,57.44,309994119.0,58.19,311779891.0,59.31,,
資產總計,530400796.0,100.0,530819176.0,100.0,532767807.0,100.0,525699841.0,100.0,,
流動負債,,,,,,,,,,
短期借款,29037715.0,5.47,29187199.0,5.5,30713305.0,5.76,27996683.0,5.33,,
應付短期票券,2699672.0,0.51,2349524.0,0.44,1249882.0,0.23,1349848.0,0.26,,
透過損益按公允價值衡量之金融負債－流動,0.0,0.0,5844.0,0.0,356.0,0.0,704.0,0.0,,
應付票據,266740.0,0.05,205567.0,0.04,222490.0,0.04,172083.0,0.03,,
應付帳款,8304966.0,1.57,6950717.0,1.31,8733960.0,1.64,7161965.0,1.36,,
應付帳款－關係人,14273872.0,2.69,15044168.0,2.83,20514594.0,3.85,24476468.0,4.66,,
其他應付款,7572932.0,1.43,9264670.0,1.75,5550967.0,1.04,6624633.0,1.26,,
其他應付款項－關係人,1484681.0,0.28,2815901.0,0.53,3868017.0,0.73,3214692.0,0.61,,
本期所得稅負債,401168.0,0.08,286812.0,0.05,2801516.0,0.53,2190113.0,0.42,,
其他流動負債,30164927.0,5.69,25154683.0,4.74,22422553.0,4.21,24689782.0,4.7,,
流動負債合計,94206673.0,17.76,91265085.0,17.19,96077640.0,18.03,97876971.0,18.62,,
非流動負債,,,,,,,,,,
應付公司債,56000000.0,10.56,56000000.0,10.55,60000000.0,11.26,50000000.0,9.51,,
長期借款,40728569.0,7.68,47985578.0,9.04,51391461.0,9.65,54078987.0,10.29,,
遞延所得稅負債,736124.0,0.14,923110.0,0.17,259586.0,0.05,251529.0,0.05,,
其他非流動負債,11458204.0,2.16,11345303.0,2.14,11272770.0,2.12,11093892.0,2.11,,
非流動負債合計,108922897.0,20.54,116253991.0,21.9,122923817.0,23.07,115424408.0,21.96,,
負債總計,203129570.0,38.3,207519076.0,39.09,219001457.0,41.11,213301379.0,40.57,,
歸屬於母公司業主之權益,,,,,,,,,,
股本,,,,,,,,,,
普通股股本,58611863.0,11.05,58611863.0,11.04,58611863.0,11.0,58611863.0,11.15,,
股本合計,58611863.0,11.05,58611863.0,11.04,58611863.0,11.0,58611863.0,11.15,,
資本公積,,,,,,,,,,
資本公積－發行溢價,8224586.0,1.55,8224586.0,1.55,8224586.0,1.54,8224586.0,1.56,,
資本公積－庫藏股票交易,131706.0,0.02,131706.0,0.02,119962.0,0.02,119962.0,0.02,,
資本公積－實際取得或處分子公司股權價格與帳面價值差額,9447.0,0.0,9447.0,0.0,4573.0,0.0,3771.0,0.0,,
資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,98598.0,0.02,98598.0,0.02,94120.0,0.02,80035.0,0.02,,
資本公積－其他,204224.0,0.04,204224.0,0.04,204224.0,0.04,204224.0,0.04,,
資本公積合計,8668561.0,1.63,8668561.0,1.63,8647465.0,1.62,8632578.0,1.64,,
保留盈餘,,,,,,,,,,
法定盈餘公積,42852687.0,8.08,42852687.0,8.07,40366323.0,7.58,40366323.0,7.68,,
特別盈餘公積,41927550.0,7.9,41927550.0,7.9,39506782.0,7.42,39506782.0,7.52,,
未分配盈餘（或待彌補虧損）,35375251.0,6.67,33888706.0,6.38,48789995.0,9.16,43111091.0,8.2,,
保留盈餘合計,120155488.0,22.65,118668943.0,22.36,128663100.0,24.15,122984196.0,23.39,,
其他權益,,,,,,,,,,
國外營運機構財務報表換算之兌換差額,3509452.0,0.66,4235625.0,0.8,1586412.0,0.3,684059.0,0.13,,
備供出售金融資產未實現損益,90543803.0,17.07,87580223.0,16.5,71357188.0,13.39,76475419.0,14.55,,
現金流量避險中屬有效避險部分之避險工具利益（損失）,31682.0,0.01,-2622.0,0.0,3950.0,0.0,1792.0,0.0,,
其他權益合計,94084937.0,17.74,91813226.0,17.3,72947550.0,13.69,77161270.0,14.68,,
庫藏股票,-333494.0,-0.06,-332413.0,-0.06,-236522.0,-0.04,-236522.0,-0.04,,
歸屬於母公司業主之權益合計,281187355.0,53.01,277430180.0,52.26,268633456.0,50.42,267153385.0,50.82,,
非控制權益,46083871.0,8.69,45869920.0,8.64,45132894.0,8.47,45245077.0,8.61,,
權益總計,327271226.0,61.7,323300100.0,60.91,313766350.0,58.89,312398462.0,59.43,,
負債及權益總計,530400796.0,100.0,530819176.0,100.0,532767807.0,100.0,525699841.0,100.0,,
待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,16871610.0,,16801610.0,,11219610.0,,11219610.0,,,
